id,ru,ja,ru_negated,ja_negated,count
P1591,обвиняемый,被告,нет обвиняемый,いいえ 被告,4610
P642,относится к,以下についての,нет относится к,いいえ 以下についての,5091
P1703,опылитель,送粉者,нет опылитель,いいえ 送粉者,79
P3780,является активным ингредиентом в,以下の有効成分,нет является активным ингредиентом в,いいえ 以下の有効成分,2529
P2414,сырьё для,以下の基質,нет сырьё для,いいえ 以下の基質,9
P4000,имеет плод типа,果実の種類,нет имеет плод типа,いいえ 果実の種類,3039
P834,железнодорожное депо,列車車庫,нет железнодорожное депо,いいえ 列車車庫,691
P702,кодирующий ген,コードしている遺伝子,нет кодирующий ген,いいえ コードしている遺伝子,976836
P2831,тотем,トーテム,нет тотем,いいえ トーテム,21
P545,кем зажжён факел,聖火点火者,нет кем зажжён факел,いいえ 聖火点火者,73
P459,метод определения,使用された手段・手法,нет метод определения,いいえ 使用された手段・手法,329
P1299,изображается на,描写した作品,нет изображается на,いいえ 描写した作品,10979
P3989,род деятельности членов,メンバーの職業,нет род деятельности членов,いいえ メンバーの職業,1768
P462,цвет,色,нет цвет,いいえ 色,195178
P1776,из круга,作者と関わりがあったと考えられる人物,нет из круга,いいえ 作者と関わりがあったと考えられる人物,7
P6540,многоканальная сеть,マルチチャンネルネットワーク,нет многоканальная сеть,いいえ マルチチャンネルネットワーク,44
P3261,анатомически ответвляется от,以下の解剖学的分枝,нет анатомически ответвляется от,いいえ 以下の解剖学的分枝,415
P5314,используется как,プロパティの適用範囲,нет используется как,いいえ プロパティの適用範囲,1
P241,вид или род войск,軍種,нет вид или род войск,いいえ 軍種,114815
P1064,ширина колеи,軌間,нет ширина колеи,いいえ 軌間,24421
P1891,подписавшийся,調印者,нет подписавшийся,いいえ 調印者,17166
P8864,нейтральный элемент,単位元,нет нейтральный элемент,いいえ 単位元,6
P2842,место свадьбы,結婚した場所,нет место свадьбы,いいえ 結婚した場所,3
P3174,арт-директор,美術監督,нет арт-директор,いいえ 美術監督,1254
P4850,допустимая пищевая добавка,許可された食品添加物,нет допустимая пищевая добавка,いいえ 許可された食品添加物,1
P2429,ожидаемая полнота,期待される完全性,нет ожидаемая полнота,いいえ 期待される完全性,3866
P421,часовой пояс,標準時間帯,нет часовой пояс,いいえ 標準時間帯,2008070
P6587,система спортивных лиг,リーグ制度,нет система спортивных лиг,いいえ リーグ制度,231
P3335,грозящая опасность,関連する危険,нет грозящая опасность,いいえ 関連する危険,71
P1445,вымышленная вселенная описана в,舞台とする作品,нет вымышленная вселенная описана в,いいえ 舞台とする作品,4613
P7078,типизация данных,型システム,нет типизация данных,いいえ 型システム,774
P3701,воплощение для,以下の化身,нет воплощение для,いいえ 以下の化身,88
P5132,предполагает болезнь,以下の存在を示唆する,нет предполагает болезнь,いいえ 以下の存在を示唆する,234
P3447,повторяет данные из,データのミラー元,нет повторяет данные из,いいえ データのミラー元,8
P4224,категория содержит,このカテゴリは以下を含む,нет категория содержит,いいえ このカテゴリは以下を含む,824636
P765,тип покрытия,サーフェス,нет тип покрытия,いいえ サーフェス,3968
P634,капитан,主将,нет капитан,いいえ 主将,539
P7936,бизнес-модель,ビジネスモデル,нет бизнес-модель,いいえ ビジネスモデル,2359
P9549,официальный подкаст,公式ポッドキャスト番組,нет официальный подкаст,いいえ 公式ポッドキャスト番組,143
P101,область деятельности,専門分野,нет область деятельности,いいえ 専門分野,252599
P5323,подтверждено в,典拠,нет подтверждено в,いいえ 典拠,121128
P3025,дни работы,営業日,нет дни работы,いいえ 営業日,3283
P924,лечение,治療,нет лечение,いいえ 治療,699
P1196,род смерти,死亡状況,нет род смерти,いいえ 死亡状況,100146
P3095,практикуется,従事者,нет практикуется,いいえ 従事者,4814
P2376,суперсимметричный партнёр для,以下の超対称性粒子,нет суперсимметричный партнёр для,いいえ 以下の超対称性粒子,21
P1880,шкала измерения,測定単位,нет шкала измерения,いいえ 測定単位,181
P1536,является непосредственной причиной,以下の直接の原因,нет является непосредственной причиной,いいえ 以下の直接の原因,18761
P1479,способствовавшим фактором является,寄与因子,нет способствовавшим фактором является,いいえ 寄与因子,588
P6977,рецензия на,以下の評論,нет рецензия на,いいえ 以下の評論,9683
P780,симптомы,症状,нет симптомы,いいえ 症状,10915
P970,неврологическая функция,神経機能,нет неврологическая функция,いいえ 神経機能,4
P8411,происходит в типе места,物語のロケーション,нет происходит в типе места,いいえ 物語のロケーション,15928
P3781,имеет активный ингредиент,有効成分,нет имеет активный ингредиент,いいえ 有効成分,2691
P612,головной монастырь,母院,нет головной монастырь,いいえ 母院,820
P748,кем назначен,任命者,нет кем назначен,いいえ 任命者,5538
P8738,разрешает,以下を許可する,нет разрешает,いいえ 以下を許可する,23
P1029,члены экипажа,乗組員,нет члены экипажа,いいえ 乗組員,2976
P1283,фильмография,映画作品目録,нет фильмография,いいえ 映画作品目録,1518
P3902,последняя трапеза,最後に摂った食事,нет последняя трапеза,いいえ 最後に摂った食事,72
P872,отпечатано,印刷者,нет отпечатано,いいえ 印刷者,2905
P4967,предпосылка,前提条件,нет предпосылка,いいえ 前提条件,191
P5196,способ вывода,出力機器,нет способ вывода,いいえ 出力機器,305
P6193,ратифицирован(о/а),批准,нет ратифицирован(о/а),いいえ 批准,2631
P5248,медицинская эвакуация в,搬送先医療機関,нет медицинская эвакуация в,いいえ 搬送先医療機関,36
P789,съедобность,食用可能,нет съедобность,いいえ 食用可能,792
P4032,рецензент,査読者,нет рецензент,いいえ 査読者,510
P194,законодательный орган,立法府,нет законодательный орган,いいえ 立法府,4257
P9059,делится на единицы,下位の単位,нет делится на единицы,いいえ 下位の単位,133
P567,висячий бок,上位層,нет висячий бок,いいえ 上位層,1542
P7075,мод для,以下のMOD,нет мод для,いいえ 以下のMOD,186
P5021,оценивался тест,受けた試験,нет оценивался тест,いいえ 受けた試験,25144
P248,утверждается в,出典,нет утверждается в,いいえ 出典,785
P6339,интервал значений,測定間隔,нет интервал значений,いいえ 測定間隔,18159
P887,на основе эвристики,推測に基づく,нет на основе эвристики,いいえ 推測に基づく,1
P1074,аналог в реальном мире,現実世界で対応する概念,нет аналог в реальном мире,いいえ 現実世界で対応する概念,1877
P553,учётная запись в социальных медиа,ソーシャルメディア,нет учётная запись в социальных медиа,いいえ ソーシャルメディア,2218
P4791,командир,指揮官,нет командир,いいえ 指揮官,3546
P1433,опубликовано в,叢書,нет опубликовано в,いいえ 叢書,37916091
P751,новая фунциональность,導入機能,нет новая фунциональность,いいえ 導入機能,814
P8670,дизайнер персонажей,キャラクターデザイナー,нет дизайнер персонажей,いいえ キャラクターデザイナー,1818
P2738,является одним и только одним из,以下の非交和,нет является одним и только одним из,いいえ 以下の非交和,458
P790,получил одобрение от,承認者,нет получил одобрение от,いいえ 承認者,29098
P817,тип распада,崩壊モード,нет тип распада,いいえ 崩壊モード,3
P3831,значение выступает в роли,オブジェクトの役割,нет значение выступает в роли,いいえ オブジェクトの役割,65
P8929,"отношение к религии, взгляд на мир",宗教または世界観,"нет отношение к религии, взгляд на мир",いいえ 宗教または世界観,
P2575,измеряет,測定対象,нет измеряет,いいえ 測定対象,252
P2445,метаподкласс от,以下のメタサブクラス,нет метаподкласс от,いいえ 以下のメタサブクラス,41
P7152,исключение из авторского права,著作権適用除外,нет исключение из авторского права,いいえ 著作権適用除外,1
P2770,источник дохода,収入源,нет источник дохода,いいえ 収入源,500
P926,постсинаптическая связь,シナプス後細胞,нет постсинаптическая связь,いいえ シナプス後細胞,7
P530,дипломатические отношения,国交のある国,нет дипломатические отношения,いいえ 国交のある国,7046
P47,имеет границы с,隣の国または行政区画,нет имеет границы с,いいえ 隣の国または行政区画,605173
P461,противоположно,反対の概念,нет противоположно,いいえ 反対の概念,23857
P460,предположительно одно и то же с,同一とされる事物,нет предположительно одно и то же с,いいえ 同一とされる事物,285208
P3373,брат/сестра,兄弟姉妹,нет брат/сестра,いいえ 兄弟姉妹,407131
P26,супруг(а),配偶者,нет супруг(а),いいえ 配偶者,731197
P7047,враг,敵,нет враг,いいえ 敵,3809
P451,сожитель,婚姻関係にないパートナー,нет сожитель,いいえ 婚姻関係にないパートナー,14156
P1889,не путать с,以下と異なる,нет не путать с,いいえ 以下と異なる,801466
P3403,занимает ту же территорию с,同一境界,нет занимает ту же территорию с,いいえ 同一境界,4076
P190,город-побратим,姉妹都市,нет город-побратим,いいえ 姉妹都市,48990
P2152,античастица,反粒子,нет античастица,いいえ 反粒子,79
P1382,частично совпадает с,重複,нет частично совпадает с,いいえ 重複,17887
P4777,имеет границей,以下を境界として持つ,нет имеет границей,いいえ 以下を境界として持つ,1156
P1038,родственник,親族,нет родственник,いいえ 親族,52123
P197,соседний остановочный пункт,隣の駅,нет соседний остановочный пункт,いいえ 隣の駅,209079
P833,станция пересадки,乗換駅,нет станция пересадки,いいえ 乗換駅,3685
P2789,соединяется с,以下と接続,нет соединяется с,いいえ 以下と接続,183333
P3342,значимый человек,重要な人物,нет значимый человек,いいえ 重要な人物,15439
P1327,партнёр в спорте или профессии,専門家またはスポーツのパートナー,нет партнёр в спорте или профессии,いいえ 専門家またはスポーツのパートナー,17571
P399,компаньон,伴天体,нет компаньон,いいえ 伴天体,4476
P1420,синоним таксона,シノニム,нет синоним таксона,いいえ シノニム,21387
P129,взаимодействует с,物理的相互作用,нет взаимодействует с,いいえ 物理的相互作用,9480
P1322,двойственнен к,双対,нет двойственнен к,いいえ 双対,351
P2375,суперсимметричный партнёр,超対称性パートナー,нет суперсимметричный партнёр,いいえ 超対称性パートナー,20
P1639,пандан для,以下と対,нет пандан для,いいえ 以下と対,2268
P3032,смежное здание,隣接する建築物,нет смежное здание,いいえ 隣接する建築物,5242
P6185,таутомер,以下の互変異性体,нет таутомер,いいえ 以下の互変異性体,1063
P3179,территория перекрывается с,重なる地域,нет территория перекрывается с,いいえ 重なる地域,8370
P144,создано на основе,派生元,нет создано на основе,いいえ 派生元,52294
P737,испытал влияние от,影響を受けたもの,нет испытал влияние от,いいえ 影響を受けたもの,18552
P2444,омоглиф,ホモグリフ,нет омоглиф,いいえ ホモグリフ,1752
P8865,обратно к,数学的な逆,нет обратно к,いいえ 数学的な逆,84
P2329,мышца-антагонист,拮抗筋,нет мышца-антагонист,いいえ 拮抗筋,101
P684,ортолог,オーソログ,нет ортолог,いいえ オーソログ,4320878
P2652,в партнёрстве с,連携先,нет в партнёрстве с,いいえ 連携先,3328
P3364,стереоизомер для,以下の立体異性体,нет стереоизомер для,いいえ 以下の立体異性体,2013
P53,род,家系,нет род,いいえ 家系,89379
P1416,принадлежит к,所属機関,нет принадлежит к,いいえ 所属機関,86685
P3113,не включает,以下を含まない,нет не включает,いいえ 以下を含まない,499
P2860,ссылается на,引用文献,нет ссылается на,いいえ 引用文献,285213488
P807,отделилось от,以下より分立,нет отделилось от,いいえ 以下より分立,2321
P1557,является воплощением,表現する概念,нет является воплощением,いいえ 表現する概念,2120
P2210,по отношению к,以下を基準として,нет по отношению к,いいえ 以下を基準として,48
P4675,появляется в виде,変身先,нет появляется в виде,いいえ 変身先,373
P6477,не обладает свойством,持たない特性,нет не обладает свойством,いいえ 持たない特性,344
P2650,область интересов,興味の対象,нет область интересов,いいえ 興味の対象,14947
P547,в память о,記念対象,нет в память о,いいえ 記念対象,26003
P5004,против,以下に反対,нет против,いいえ 以下に反対,461
P1268,представляет,以下の代表,нет представляет,いいえ 以下の代表,5411
P825,посвящено,献呈先,нет посвящено,いいえ 献呈先,50406
P31,это частный случай понятия,分類,нет это частный случай понятия,いいえ 分類,103114325
P1441,представлено в работе,登場する作品,нет представлено в работе,いいえ 登場する作品,126749
P828,причиной является,原因,нет причиной является,いいえ 原因,9257
P1542,вызывает,以下の原因,нет вызывает,いいえ 以下の原因,5715
P2737,является объединением,以下の和集合,нет является объединением,いいえ 以下の和集合,375
