id,en,zh,en_negated,zh_negated,count
P552,handedness,利手,not handedness,不是 利手,2257
P6193,ratified by,批准方,not ratified by,不是 批准方,2631
P5589,microstructure,微觀結構,not microstructure,不是 微觀結構,5
P5707,samples from work,樣本,not samples from work,不是 樣本,160
P624,guidance system,导引系统,not guidance system,不是 导引系统,248
P789,edibility,食用性,not edibility,不是 食用性,792
P832,public holiday,公立假日,not public holiday,不是 公立假日,1481
P2868,subject has role,主體角色,not subject has role,不是 主體角色,353857
P194,legislative body,立法机构,not legislative body,不是 立法机构,4257
P9419,personal library at,私人圖書館在,not personal library at,不是 私人圖書館在,285
P8194,hardiness zone,抗寒帶,not hardiness zone,不是 抗寒帶,19
P1594,judge,法官,not judge,不是 法官,9995
P2975,host,宿主,not host,不是 宿主,7413
P7075,mod of,模组基于,not mod of,不是 模组基于,186
P5021,assessment,参与考试,not assessment,不是 参与考试,25144
P248,stated in,载于,not stated in,不是 载于,785
P887,based on heuristic,基於啟發法,not based on heuristic,不是 基於啟發法,1
P4792,dam,水壩,not dam,不是 水壩,3135
P607,conflict,军事冲突,not conflict,不是 军事冲突,221623
P553,website account on,开设账户网站,not website account on,不是 开设账户网站,2218
P1593,defender,辯護人,not defender,不是 辯護人,278
P4791,commanded by,指揮者,not commanded by,不是 指揮者,3546
P1303,instrument,樂器,not instrument,不是 樂器,210870
P1433,published in,发表于,not published in,不是 发表于,37916091
P937,work location,工作地點,not work location,不是 工作地點,339031
P610,highest point,最高点,not highest point,不是 最高点,5503
P208,executive body,行政机构,not executive body,不是 行政机构,1672
P8670,character designer,角色設計,not character designer,不是 角色設計,1818
P790,approved by,獲准自,not approved by,不是 獲准自,29098
P3831,object has role,客体角色,not object has role,不是 客体角色,65
P1779,possible creator,可能的創作者,not possible creator,不是 可能的創作者,38
P86,composer,作曲者,not composer,不是 作曲者,188471
P3776,inhibitor of,抑制剂,not inhibitor of,不是 抑制剂,101
P2770,source of income,收入來源,not source of income,不是 收入來源,500
P530,diplomatic relation,邦交國,not diplomatic relation,不是 邦交國,7046
P47,shares border with,接壤,not shares border with,不是 接壤,605173
P461,opposite of,相反面,not opposite of,不是 相反面,23857
P460,said to be the same as,据称相同,not said to be the same as,不是 据称相同,285208
P3373,sibling,兄弟姊妹,not sibling,不是 兄弟姊妹,407131
P26,spouse,配偶,not spouse,不是 配偶,731197
P7047,enemy of,敌人,not enemy of,不是 敌人,3809
P451,unmarried partner,非婚伴侣,not unmarried partner,不是 非婚伴侣,14156
P1889,different from,相异於,not different from,不是 相异於,801466
P3403,coextensive with,空间重合实体,not coextensive with,不是 空间重合实体,4076
P190,twinned administrative body,友好城市,not twinned administrative body,不是 友好城市,48990
P1382,partially coincident with,部分重合物,not partially coincident with,不是 部分重合物,17887
P1038,relative,亲属,not relative,不是 亲属,52123
P197,adjacent station,相邻车站,not adjacent station,不是 相邻车站,209079
P833,interchange station,换乘车站,not interchange station,不是 换乘车站,3685
P2789,connects with,连接,not connects with,不是 连接,183333
P3342,significant person,重要人物,not significant person,不是 重要人物,15439
P1327,partner in business or sport,专业或体育合作伙伴,not partner in business or sport,不是 专业或体育合作伙伴,17571
P399,companion of,伴天体,not companion of,不是 伴天体,4476
P1420,taxon synonym,同物異名,not taxon synonym,不是 同物異名,21387
P129,physically interacts with,物理相互作用于,not physically interacts with,不是 物理相互作用于,9480
P1322,dual to,對偶幾何圖形,not dual to,不是 對偶幾何圖形,351
P2375,has superpartner,其超對稱粒子為,not has superpartner,不是 其超對稱粒子為,20
P3032,adjacent building,相邻建筑,not adjacent building,不是 相邻建筑,5242
P6185,tautomer of,互变异构体,not tautomer of,不是 互变异构体,1063
P3179,territory overlaps,领土重合于,not territory overlaps,不是 领土重合于,8370
P144,based on,改編自,not based on,不是 改編自,52294
P737,influenced by,影响自,not influenced by,不是 影响自,18552
P2444,homoglyph,同形字,not homoglyph,不是 同形字,1752
P684,ortholog,种间同源基因,not ortholog,不是 种间同源基因,4320878
P3364,stereoisomer of,立體異構體,not stereoisomer of,不是 立體異構體,2013
P53,family,家族,not family,不是 家族,89379
P1416,affiliation,所属机构,not affiliation,不是 所属机构,86685
P3113,does not have part,不包含的部分,not does not have part,不是 不包含的部分,499
P2860,cites work,引用作品,not cites work,不是 引用作品,285213488
P807,separated from,分离自,not separated from,不是 分离自,2321
P1557,manifestation of,表现概念,not manifestation of,不是 表现概念,2120
P4675,appears in the form of,形态,not appears in the form of,不是 形态,373
P6477,does not have quality,不具备的特性,not does not have quality,不是 不具备的特性,344
P2650,interested in,关注对象,not interested in,不是 关注对象,14947
P547,commemorates,紀念對象,not commemorates,不是 紀念對象,26003
P5004,in opposition to,反對,not in opposition to,不是 反對,461
P1268,represents,代表对象,not represents,不是 代表对象,5411
P825,dedicated to,呈献对象,not dedicated to,不是 呈献对象,50406
P31,instance of,隶属于,not instance of,不是 隶属于,103114325
P1441,present in work,登场作品,not present in work,不是 登场作品,126749
P828,has cause,起因,not has cause,不是 起因,9257
P1542,has effect,導致,not has effect,不是 導致,5715
P2737,union of,并集,not union of,不是 并集,375
