,id,en,de,es,fr,count,en_negated,de_negated,fr_negated,es_negated
188,P4185,iconographic symbol,ikonografisches Symbol,símbolo iconográfico,symbole iconographique,223,not iconographic symbol,nicht ikonografisches Symbol,ne pas symbole iconographique,no símbolo iconográfico
189,P415,radio format,Radioformat,formato de radio,format radio,3611,not radio format,nicht Radioformat,ne pas format radio,no formato de radio
190,P3833,diaspora,Diaspora,diáspora,diaspora,271,not diaspora,nicht Diaspora,ne pas diaspora,no diáspora
191,P5872,perfume note,Duftnote,nota del perfume,note d'un parfum,20,not perfume note,nicht Duftnote,ne pas note d'un parfum,no nota del perfume
192,P1910,decreased expression in,verringerte Expression in,expresión reducida por,expression réduite par,27,not decreased expression in,nicht verringerte Expression in,ne pas expression réduite par,no expresión reducida por
193,P654,direction relative to location,Richtung relativ zur Position,dirección relativa a la posición,direction relative au lieu,25,not direction relative to location,nicht Richtung relativ zur Position,ne pas direction relative au lieu,no dirección relativa a la posición
194,P1310,statement disputed by,Aussage bestritten von,afirmación disputada por,contesté par,5,not statement disputed by,nicht Aussage bestritten von,ne pas contesté par,no afirmación disputada por
195,P1444,destination point,geografischer Endpunkt,lugar de finalización,destination du parcours,25418,not destination point,nicht geografischer Endpunkt,ne pas destination du parcours,no lugar de finalización
196,P1678,has vertex figure,Folgefläche beim Abstumpfen,figura de vértice,figure de sommet,223,not has vertex figure,nicht Folgefläche beim Abstumpfen,ne pas figure de sommet,no figura de vértice
197,P5353,school district,Schulbezirk,distrito escolar,district scolaire,9776,not school district,nicht Schulbezirk,ne pas district scolaire,no distrito escolar
198,P4330,contains,enthält,contiene,contient,8223,not contains,nicht enthält,ne pas contient,no contiene
199,P1032,Digital Rights Management system,Digital-Rights-Management-System,sistema de gestión de derechos digitales,système de mesures techniques de protection,119,not Digital Rights Management system,nicht Digital-Rights-Management-System,ne pas système de mesures techniques de protection,no sistema de gestión de derechos digitales
200,P803,professorship,Professur,cátedra universitaria,chaire universitaire,12294,not professorship,nicht Professur,ne pas chaire universitaire,no cátedra universitaria
201,P5095,fault,Verwerfung,falla,faille,20,not fault,nicht Verwerfung,ne pas faille,no falla
202,P118,league,Liga,liga,ligue,192606,not league,nicht Liga,ne pas ligue,no liga
203,P2633,geography of topic,Geographie,geografía,géographie,726,not geography of topic,nicht Geographie,ne pas géographie,no geografía
204,P800,notable work,bedeutende Werke,obra destacada,œuvre notable,96303,not notable work,nicht bedeutende Werke,ne pas œuvre notable,no obra destacada
205,P1775,follower of,Anhänger von,seguidor de,suiveur de,22,not follower of,nicht Anhänger von,ne pas suiveur de,no seguidor de
206,P1606,natural reservoir of,Erregerreservoir von,reservorio natural de,réservoir naturel de,17,not natural reservoir of,nicht Erregerreservoir von,ne pas réservoir naturel de,no reservorio natural de
207,P1264,valid in period,betroffener Zeitraum,periodo aplicable,période applicable,219,not valid in period,nicht betroffener Zeitraum,ne pas période applicable,no periodo aplicable
208,P4774,biological phase,biologische Phase,fase biológica,phase biologique,21,not biological phase,nicht biologische Phase,ne pas phase biologique,no fase biológica
209,P3739,inflorescence,Blütenstand,inflorescencia,inflorescence,166,not inflorescence,nicht Blütenstand,ne pas inflorescence,no inflorescencia
210,P27,country of citizenship,Land der Staatsangehörigkeit,país de nacionalidad,pays de citoyenneté,4414018,not country of citizenship,nicht Land der Staatsangehörigkeit,ne pas pays de citoyenneté,no país de nacionalidad
211,P1660,has index case,hat Indexpatient,tiene como caso índice,patient zéro,28,not has index case,nicht hat Indexpatient,ne pas patient zéro,no tiene como caso índice
212,P3274,content deliverer,Serviceprovider,proveedor de contenido,fournisseur du contenu,6,not content deliverer,nicht Serviceprovider,ne pas fournisseur du contenu,no proveedor de contenido
213,P2679,author of foreword,Autor des Vorworts,autor del prefacio,auteur de la préface,1524,not author of foreword,nicht Autor des Vorworts,ne pas auteur de la préface,no autor del prefacio
214,P913,notation,Notation,notación,notation,213,not notation,nicht Notation,ne pas notation,no notación
215,P1909,side effect,Nebenwirkung,efecto secundario,effet secondaire,40,not side effect,nicht Nebenwirkung,ne pas effet secondaire,no efecto secundario
216,P1534,end cause,Ursache der Beendigung,causa del fin,motif de fin,166,not end cause,nicht Ursache der Beendigung,ne pas motif de fin,no causa del fin
217,P2079,fabrication method,Herstellungsmethode,método de fabricación,méthode de fabrication,126027,not fabrication method,nicht Herstellungsmethode,ne pas méthode de fabrication,no método de fabricación
218,P1605,has natural reservoir,hat Erregerreservoir,tiene reservorio natural,a pour réservoir naturel,443,not has natural reservoir,nicht hat Erregerreservoir,ne pas a pour réservoir naturel,no tiene reservorio natural
219,P5052,supervisory board member,Aufsichtsratmitglied,miembro del consejo de supervisión,membre du conseil de surveillance,745,not supervisory board member,nicht Aufsichtsratmitglied,ne pas membre du conseil de surveillance,no miembro del consejo de supervisión
220,P8852,facial hair,Gesichtshaar,vello facial,pilosité faciale,362,not facial hair,nicht Gesichtshaar,ne pas pilosité faciale,no vello facial
221,P1537,contributing factor of,Co-Faktor von,factor contribuyente de,facteur contributif de,324,not contributing factor of,nicht Co-Faktor von,ne pas facteur contributif de,no factor contribuyente de
222,P6099,clinical trial phase,Studienphase,fase de ensayo clínico,phase d'essai clinique,177424,not clinical trial phase,nicht Studienphase,ne pas phase d'essai clinique,no fase de ensayo clínico
223,P6259,epoch,Epoche,época,époque,8076516,not epoch,nicht Epoche,ne pas époque,no época
224,P9234,supplement to,Beilage,suplemento de,supplément de,140,not supplement to,nicht Beilage,ne pas supplément de,no suplemento de
225,P9745,translation of,Übersetzung von,traducción de,traduction de,403,not translation of,nicht Übersetzung von,ne pas traduction de,no traducción de
226,P1211,fuel system,Kraftstoffversorgung,sistema de alimentación,type d'alimentation en carburant,179,not fuel system,nicht Kraftstoffversorgung,ne pas type d'alimentation en carburant,no sistema de alimentación
227,P4195,category for employees of the organization,Kategorie für Angestellte der Organisation,categoría para empleados de la organización,catégorie pour les employés de l'organisation,3215,not category for employees of the organization,nicht Kategorie für Angestellte der Organisation,ne pas catégorie pour les employés de l'organisation,no categoría para empleados de la organización
228,P2881,promoted,Aufsteiger,promovido,promu,1221,not promoted,nicht Aufsteiger,ne pas promu,no promovido
229,P469,lakes on river,See im Verlauf,lagos y embalses en el curso de agua,lac sur le cours d'eau,3369,not lakes on river,nicht See im Verlauf,ne pas lac sur le cours d'eau,no lagos y embalses en el curso de agua
230,P542,officially opened by,offiziell eröffnet von,abierto oficialmente por,officiellement ouvert par,1043,not officially opened by,nicht offiziell eröffnet von,ne pas officiellement ouvert par,no abierto oficialmente por
231,P8739,prohibits,verbietet,prohíbe,interdit,16,not prohibits,nicht verbietet,ne pas interdit,no prohíbe
232,P2318,debut participant,Debütteilnehmer,debutante,première participation,217,not debut participant,nicht Debütteilnehmer,ne pas première participation,no debutante
233,P2675,reply to,Antwort auf,respuesta a,réponse à,381,not reply to,nicht Antwort auf,ne pas réponse à,no respuesta a
234,P3433,biological variant of,biologische Nebenform von,variante biológica de,variante biologique de,2085,not biological variant of,nicht biologische Nebenform von,ne pas variante biologique de,no variante biológica de
235,P87,librettist,Librettist,libretista,librettiste,7348,not librettist,nicht Librettist,ne pas librettiste,no libretista
236,P1078,Valvetrain configuration,Ventiltrieb,Sistema mecánico,configuration de la commande des soupapes,225,not Valvetrain configuration,nicht Ventiltrieb,ne pas configuration de la commande des soupapes,no Sistema mecánico
237,P1363,points/goal scored by,Punkt/Treffer erzielt durch,puntos/goles marcados por,point/but marqué par,2441,not points/goal scored by,nicht Punkt/Treffer erzielt durch,ne pas point/but marqué par,no puntos/goles marcados por
238,P768,electoral district,Wahlbezirk,circunscripción electoral,circonscription électorale,18984,not electoral district,nicht Wahlbezirk,ne pas circonscription électorale,no circunscripción electoral
239,P1227,astronomical filter,astronomischer Filter,filtro astronómico,filtre astronomique,19,not astronomical filter,nicht astronomischer Filter,ne pas filtre astronomique,no filtro astronómico
240,P1060,pathogen transmission process,Krankheitserregerübertragungsprozess,proceso de transmisión del patógeno,processus de transmission pathogène,315,not pathogen transmission process,nicht Krankheitserregerübertragungsprozess,ne pas processus de transmission pathogène,no proceso de transmisión del patógeno
241,P1068,instruction set,Befehlssatz,conjunto de instrucciones,jeu d'instructions,446,not instruction set,nicht Befehlssatz,ne pas jeu d'instructions,no conjunto de instrucciones
242,P358,discography,Diskografie,discografía,discographie,11845,not discography,nicht Diskografie,ne pas discographie,no discografía
243,P84,architect,Architekt,arquitecto,architecte,74959,not architect,nicht Architekt,ne pas architecte,no arquitecto
244,P3496,teams classification by points,Mannschaftsklassifikation nach Punkten,clasificación de equipos por puntos,classement par équipe aux points,963,not teams classification by points,nicht Mannschaftsklassifikation nach Punkten,ne pas classement par équipe aux points,no clasificación de equipos por puntos
245,P6118,season ends,Saisonende,fin de la temporada,fin de la saison,38,not season ends,nicht Saisonende,ne pas fin de la saison,no fin de la temporada
246,P3985,supports programming language,unterstützte Programmiersprache,lenguaje de programación soportado,langage de programmation supporté,228,not supports programming language,nicht unterstützte Programmiersprache,ne pas langage de programmation supporté,no lenguaje de programación soportado
247,P8810,parent,Elternteil,padres,parent (non spécifié),12,not parent,nicht Elternteil,ne pas parent (non spécifié),no padres
248,P4733,produced sound,erzeugtes Geräusch,sonido producido,son émis,56,not produced sound,nicht erzeugtes Geräusch,ne pas son émis,no sonido producido
249,P2505,carries,überführt,permite el paso de,permet de faire passer,12347,not carries,nicht überführt,ne pas permet de faire passer,no permite el paso de
250,P1057,chromosome,Chromosom,cromosoma,chromosome,608704,not chromosome,nicht Chromosom,ne pas chromosome,no cromosoma
251,P2680,author of afterword,Autor des Nachworts,autor del epílogo,auteur de la postface,96,not author of afterword,nicht Autor des Nachworts,ne pas auteur de la postface,no autor del epílogo
252,P5054,cabinet,Kabinett,gabinete,gouvernement,5,not cabinet,nicht Kabinett,ne pas gouvernement,no gabinete
253,P744,asteroid family,Asteroidenfamilie,familia de asteroides,famille d'astéroïdes,184,not asteroid family,nicht Asteroidenfamilie,ne pas famille d'astéroïdes,no familia de asteroides
254,P1080,from narrative universe,aus narrativem Universum,del universo de ficción,tiré de l'univers de fiction,30781,not from narrative universe,nicht aus narrativem Universum,ne pas tiré de l'univers de fiction,no del universo de ficción
255,P1875,represented by,repräsentiert von,representante,représenté par,8007,not represented by,nicht repräsentiert von,ne pas représenté par,no representante
256,P135,movement,Bewegung,movimiento,mouvement,58509,not movement,nicht Bewegung,ne pas mouvement,no movimiento
257,P1210,supercharger,Kompressor,supercargador,système de suralimentation,7,not supercharger,nicht Kompressor,ne pas système de suralimentation,no supercargador
258,P7500,comorbidity,Komorbidität,comorbilidad,comorbidité,19,not comorbidity,nicht Komorbidität,ne pas comorbidité,no comorbilidad
259,P618,source of energy,Energiequelle,fuente de energía,source d'énergie,6176,not source of energy,nicht Energiequelle,ne pas source d'énergie,no fuente de energía
260,P923,medical examinations,medizinische Untersuchungen,exámenes posibles,examens possibles,989,not medical examinations,nicht medizinische Untersuchungen,ne pas examens possibles,no exámenes posibles
261,P788,mushroom ecological type,Lebensart des Pilzes,tipo de ecología de la seta,type écologique de champignon,967,not mushroom ecological type,nicht Lebensart des Pilzes,ne pas type écologique de champignon,no tipo de ecología de la seta
262,P2632,place of detention,Haftort,lugar de encarcelamiento,lieu de détention,144480,not place of detention,nicht Haftort,ne pas lieu de détention,no lugar de encarcelamiento
263,P2935,connector,Anschluss,conector,connecteur,786,not connector,nicht Anschluss,ne pas connecteur,no conector
264,P1012,including,einschließlich,incluyendo,pris en compte,59,not including,nicht einschließlich,ne pas pris en compte,no incluyendo
265,P4322,best sprinter classification,Sprintwertung,Clasificación de las metas volantes,classement du meilleur sprinteur,1461,not best sprinter classification,nicht Sprintwertung,ne pas classement du meilleur sprinteur,no Clasificación de las metas volantes
266,P1547,depends on software,abhängig von,depende del software,dépend de,18184,not depends on software,nicht abhängig von,ne pas dépend de,no depende del software
267,P8032,victim,Opfer,víctima,victime,848,not victim,nicht Opfer,ne pas victime,no víctima
268,P272,production company,Produktionsgesellschaft,empresa productora,société de production,117973,not production company,nicht Produktionsgesellschaft,ne pas société de production,no empresa productora
269,P1419,shape,Form,forma,forme géométrique,1775,not shape,nicht Form,ne pas forme géométrique,no forma
270,P5824,is retracted by,ist zurückgezogen worden von,es retractado por,rétractation,1462,not is retracted by,nicht ist zurückgezogen worden von,ne pas rétractation,no es retractado por
271,P2416,sports discipline competed in,Sportdisziplin,disciplina deportiva,discipline sportive pratiquée en compétition,47958,not sports discipline competed in,nicht Sportdisziplin,ne pas discipline sportive pratiquée en compétition,no disciplina deportiva
272,P3828,wears,trägt,vestimenta,élément de parure,1707,not wears,nicht trägt,ne pas élément de parure,no vestimenta
273,P5389,permanent resident of,mit Niederlassungserlaubnis in,residente permanente de,résident permanent de,1285,not permanent resident of,nicht mit Niederlassungserlaubnis in,ne pas résident permanent de,no residente permanente de
274,P4006,overrules,überstimmen,prevalece sobre,l'emporte sur,10,not overrules,nicht überstimmen,ne pas l'emporte sur,no prevalece sobre
275,P69,educated at,besuchte Bildungseinrichtung,educado en,scolarité,2263949,not educated at,nicht besuchte Bildungseinrichtung,ne pas scolarité,no educado en
276,P189,location of discovery,Fundort,lugar de descubrimiento,lieu de découverte,26237,not location of discovery,nicht Fundort,ne pas lieu de découverte,no lugar de descubrimiento
277,P3094,develops from,entwickelt sich aus,se desarrolla de,se développe de,106,not develops from,nicht entwickelt sich aus,ne pas se développe de,no se desarrolla de
278,P2825,via,via,vía,via,851,not via,nicht via,ne pas via,no vía
279,P4934,calculated from,berechnet aus,calculado a partir de,calculé à partir de,578,not calculated from,nicht berechnet aus,ne pas calculé à partir de,no calculado a partir de
280,P2462,member of the deme,Mitglied im Demos,miembro del demo,membre du dème,195,not member of the deme,nicht Mitglied im Demos,ne pas membre du dème,no miembro del demo
281,P2937,parliamentary term,Legislaturperiode,legislatura,législature,6368,not parliamentary term,nicht Legislaturperiode,ne pas législature,no legislatura
282,P2828,corporate officer,leitender Angestellter,funcionario de la corporación,cadre dirigeant,95,not corporate officer,nicht leitender Angestellter,ne pas cadre dirigeant,no funcionario de la corporación
283,P400,platform,Plattform,plataforma,plateforme,95318,not platform,nicht Plattform,ne pas plateforme,no plataforma
284,P4353,nominated by,vorgeschlagen von,nominado por,nommé à ce poste par,230,not nominated by,nicht vorgeschlagen von,ne pas nommé à ce poste par,no nominado por
285,P690,space group,Raumgruppe,grupo espacial,groupe spatial,2226,not space group,nicht Raumgruppe,ne pas groupe spatial,no grupo espacial
286,P681,cell component,Zellkomponente,componente celular,composant cellulaire,899727,not cell component,nicht Zellkomponente,ne pas composant cellulaire,no componente celular
287,P425,field of this occupation,Betätigungsfeld des Berufes,ámbito de la ocupación,domaine d'occupation,5724,not field of this occupation,nicht Betätigungsfeld des Berufes,ne pas domaine d'occupation,no ámbito de la ocupación
288,P6364,official color,offizielle Farbe,color oficial,couleur officielle,3085,not official color,nicht offizielle Farbe,ne pas couleur officielle,no color oficial
289,P1789,chief operating officer,Chief Operating Officer,jefe de operaciones,directeur de l'exploitation,68,not chief operating officer,nicht Chief Operating Officer,ne pas directeur de l'exploitation,no jefe de operaciones
290,P1049,worshipped by,Gottheit von,venerado por,fait l'objet d'une vénération par,2328,not worshipped by,nicht Gottheit von,ne pas fait l'objet d'une vénération par,no venerado por
291,P831,parent club,Mutterverein,club principal,club parent,4469,not parent club,nicht Mutterverein,ne pas club parent,no club principal
292,P1881,list of characters,Liste der Charaktere,lista de personajes,liste des personnages,877,not list of characters,nicht Liste der Charaktere,ne pas liste des personnages,no lista de personajes
293,P2289,venous drainage,venöse Abstrom,drenaje venoso,drainage veineux,164,not venous drainage,nicht venöse Abstrom,ne pas drainage veineux,no drenaje venoso
294,P2175,medical condition treated,zur Behandlung von benutzt,condición médica tratada,maladie traitée,6990,not medical condition treated,nicht zur Behandlung von benutzt,ne pas maladie traitée,no condición médica tratada
295,P3512,means of locomotion,Fortbewegungsweise,medio de locomoción,moyen de locomotion,102,not means of locomotion,nicht Fortbewegungsweise,ne pas moyen de locomotion,no medio de locomoción
296,P3741,seed dispersal,Samenausbreitung,dispersión de semillas,dissémination des graines,9,not seed dispersal,nicht Samenausbreitung,ne pas dissémination des graines,no dispersión de semillas
297,P8701,has census,hat Volkszählung,censo de la población,recensement de la population effectué,596,not has census,nicht hat Volkszählung,ne pas recensement de la population effectué,no censo de la población
298,P1731,Fach,Stimmfach,especialización vocal,Fach,390,not Fach,nicht Stimmfach,ne pas Fach,no especialización vocal
299,P2353,statistical unit,statistische Einheit,unidad estadística,granularité,25,not statistical unit,nicht statistische Einheit,ne pas granularité,no unidad estadística
300,P1571,codomain,Zielmenge,codominio,ensemble d'arrivée,76,not codomain,nicht Zielmenge,ne pas ensemble d'arrivée,no codominio
301,P972,catalog,Katalog,catálogo,catalogue,69053,not catalog,nicht Katalog,ne pas catalogue,no catálogo
302,P3461,designated as terrorist by,als terroristisch eingestuft von,considerado terrorista por,désigné comme terroriste par,236,not designated as terrorist by,nicht als terroristisch eingestuft von,ne pas désigné comme terroriste par,no considerado terrorista por
303,P688,encodes,codiert,codifica,synthètise,973832,not encodes,nicht codiert,ne pas synthètise,no codifica
304,P1898,lowest note,tiefste Note,nota más baja,note la plus basse,9,not lowest note,nicht tiefste Note,ne pas note la plus basse,no nota más baja
305,P6116,chord progression,Akkordprogression,progresión armónica,progression d'accords,25,not chord progression,nicht Akkordprogression,ne pas progression d'accords,no progresión armónica
306,P1592,prosecutor,Ankläger,fiscal,procureur,426,not prosecutor,nicht Ankläger,ne pas procureur,no fiscal
307,P5051,towards,Endhaltestelle,destino,destination,64,not towards,nicht Endhaltestelle,ne pas destination,no destino
308,P200,inflows,Zufluss,alimentación,alimentation,14492,not inflows,nicht Zufluss,ne pas alimentation,no alimentación
309,P1924,vaccine for,Impfstoff für,vacuna para,vaccin pour,203,not vaccine for,nicht Impfstoff für,ne pas vaccin pour,no vacuna para
310,P703,found in taxon,auffindbar in Taxon,hallado en el taxón,trouvé dans le taxon,2881165,not found in taxon,nicht auffindbar in Taxon,ne pas trouvé dans le taxon,no hallado en el taxón
311,P4954,may prevent,kann verhindern,puede prevenir,peut prévenir,10,not may prevent,nicht kann verhindern,ne pas peut prévenir,no puede prevenir
312,P5816,state of conservation,Erhaltungszustand,estado de conservación,état de conservation,32874,not state of conservation,nicht Erhaltungszustand,ne pas état de conservation,no estado de conservación
313,P4614,drainage basin,Einzugsgebiet,cuenca hidrográfica,bassin versant,79349,not drainage basin,nicht Einzugsgebiet,ne pas bassin versant,no cuenca hidrográfica
314,P2308,class,Klasse,clase,classe,2,not class,nicht Klasse,ne pas classe,no clase
315,P3501,Christian liturgical rite,katholischer Ritus,rito cristiano,rite catholique,14867,not Christian liturgical rite,nicht katholischer Ritus,ne pas rite catholique,no rito cristiano
316,P2673,next crossing upstream,nächste Querung flussaufwärts,próximo cruce río arriba,précédent franchissement en amont,1546,not next crossing upstream,nicht nächste Querung flussaufwärts,ne pas précédent franchissement en amont,no próximo cruce río arriba
317,P1706,together with,zusammen mit,junto con,avec,71,not together with,nicht zusammen mit,ne pas avec,no junto con
318,P1318,proved by,bewiesen durch,probado por,prouvé ou démontré par,124,not proved by,nicht bewiesen durch,ne pas prouvé ou démontré par,no probado por
319,P2551,used metre,Metrum,métrica usada,métrique utilisée,344,not used metre,nicht Metrum,ne pas métrique utilisée,no métrica usada
320,P2578,studies,studiert,estudia,objet de la discipline,1945,not studies,nicht studiert,ne pas objet de la discipline,no estudia
321,P812,academic major,Hauptfach im Studium,especialización académica,principale spécialité d'étude,2802,not academic major,nicht Hauptfach im Studium,ne pas principale spécialité d'étude,no especialización académica
322,P1887,vice-county,Vice-County,vicecondado,vice-comté,47,not vice-county,nicht Vice-County,ne pas vice-comté,no vicecondado
323,P8058,symbol of,Symbol von,símbolo de,symbole de,48,not symbol of,nicht Symbol von,ne pas symbole de,no símbolo de
324,P8764,port calls,Angelaufener Hafen,puerto de escala,port d'escale,25,not port calls,nicht Angelaufener Hafen,ne pas port d'escale,no puerto de escala
325,P4584,first appearance,erstes Erscheinen,primera aparición,première apparition,6813,not first appearance,nicht erstes Erscheinen,ne pas première apparition,no primera aparición
326,P1456,list of monuments,Liste der Denkmale,lista de monumentos,liste de biens patrimoniaux,20112,not list of monuments,nicht Liste der Denkmale,ne pas liste de biens patrimoniaux,no lista de monumentos
327,P4446,reward program,Bonusprogramm,programa de beneficios,programme de récompense,276,not reward program,nicht Bonusprogramm,ne pas programme de récompense,no programa de beneficios
328,P65,site of astronomical discovery,astronomischer Entdeckungsort,lugar de descubrimiento astronómico,lieu de découverte astronomique,53748,not site of astronomical discovery,nicht astronomischer Entdeckungsort,ne pas lieu de découverte astronomique,no lugar de descubrimiento astronómico
329,P1809,choreographer,Choreograf,coreógrafo,chorégraphe,4202,not choreographer,nicht Choreograf,ne pas chorégraphe,no coreógrafo
330,P522,type of orbit,Umlaufbahn,tipo de órbita,type d'orbite,1169,not type of orbit,nicht Umlaufbahn,ne pas type d'orbite,no tipo de órbita
331,P344,director of photography,Kameramann,director de fotografía,directeur de la photographie,91420,not director of photography,nicht Kameramann,ne pas directeur de la photographie,no director de fotografía
332,P2319,elector,Wahlleute,elector,électeur,67,not elector,nicht Wahlleute,ne pas électeur,no elector
333,P500,exclave of,Exklave von,exclave de,exclave de,130,not exclave of,nicht Exklave von,ne pas exclave de,no exclave de
334,P2396,image of function,Bildmenge,imagen de la función,image d'une application,47,not image of function,nicht Bildmenge,ne pas image d'une application,no imagen de la función
335,P1454,legal form,Rechtsform,forma jurídica,forme juridique,196617,not legal form,nicht Rechtsform,ne pas forme juridique,no forma jurídica
336,P467,legislated by,verabschiedet durch,legislado por,législateur,46713,not legislated by,nicht verabschiedet durch,ne pas législateur,no legislado por
337,P795,located on linear feature,befindet sich entlang,situado a lo largo de,situé le long de,1430,not located on linear feature,nicht befindet sich entlang,ne pas situé le long de,no situado a lo largo de
338,P375,space launch vehicle,Trägerrakete,vehículo de lanzamiento espacial,lanceur,6754,not space launch vehicle,nicht Trägerrakete,ne pas lanceur,no vehículo de lanzamiento espacial
339,P3349,designed to carry,transportiert,diseñado para transportar,conçu pour transporter,164,not designed to carry,nicht transportiert,ne pas conçu pour transporter,no diseñado para transportar
340,P2500,league level below,niedrigere Liga,liga inferior,ligue inférieure,6575,not league level below,nicht niedrigere Liga,ne pas ligue inférieure,no liga inferior
341,P1372,binding of software library,Sprachanbindung für,binding de biblioteca software,liaison de la bibliothèque,29,not binding of software library,nicht Sprachanbindung für,ne pas liaison de la bibliothèque,no binding de biblioteca software
342,P2851,payment types accepted,akzeptierte Zahlungsarten,métodos de pago aceptados,méthode de paiement acceptée,39222,not payment types accepted,nicht akzeptierte Zahlungsarten,ne pas méthode de paiement acceptée,no métodos de pago aceptados
343,P264,record label,Plattenlabel,sello discográfico,label discographique,338037,not record label,nicht Plattenlabel,ne pas label discographique,no sello discográfico
344,P1312,has facet polytope,Facette des Polytops,faceta del politopo,polytope de facette,1089,not has facet polytope,nicht Facette des Polytops,ne pas polytope de facette,no faceta del politopo
345,P5102,nature of statement,Art der Behauptung,naturaleza de la declaración,nature de la déclaration,29,not nature of statement,nicht Art der Behauptung,ne pas nature de la déclaration,no naturaleza de la declaración
346,P8625,bibliography,Bibliographie,bibliografía,bibliographie,69,not bibliography,nicht Bibliographie,ne pas bibliographie,no bibliografía
347,P736,cover art by,Covergestalter,artista de la portada,auteur de la couverture ou de la pochette,6641,not cover art by,nicht Covergestalter,ne pas auteur de la couverture ou de la pochette,no artista de la portada
348,P6112,category for members of a team,Kategorie für Vereinsmitglieder,categoría para miembros de un equipo,catégorie pour les membres de cette équipe,16667,not category for members of a team,nicht Kategorie für Vereinsmitglieder,ne pas catégorie pour les membres de cette équipe,no categoría para miembros de un equipo
349,P2820,cardinality of this set,Mächtigkeit dieser Menge,cardinalidad de este conjunto,cardinalité de cet ensemble,45,not cardinality of this set,nicht Mächtigkeit dieser Menge,ne pas cardinalité de cet ensemble,no cardinalidad de este conjunto
350,P9071,character type,Charaktertypus,tipo de personaje,personnage type,3191,not character type,nicht Charaktertypus,ne pas personnage type,no tipo de personaje
351,P770,cause of destruction,Grund der Zerstörung,causa de destrucción,cause de la destruction,1374,not cause of destruction,nicht Grund der Zerstörung,ne pas cause de la destruction,no causa de destrucción
352,P1393,proxy,Bevollmächtigte,apoderado,fondé de pouvoir,49,not proxy,nicht Bevollmächtigte,ne pas fondé de pouvoir,no apoderado
353,P1170,transmitted signal type,übertragenes Signal,señal transmitida,signal transmis,12,not transmitted signal type,nicht übertragenes Signal,ne pas signal transmis,no señal transmitida
354,P531,diplomatic mission sent,diplomatische Vertretung,misión diplomática enviada,mission diplomatique envoyée,1693,not diplomatic mission sent,nicht diplomatische Vertretung,ne pas mission diplomatique envoyée,no misión diplomática enviada
355,P4743,animal breed,Tierrasse,raza animal,race animale,8600,not animal breed,nicht Tierrasse,ne pas race animale,no raza animal
356,P1313,office held by head of government,oberstes Regierungsamt,cargo ocupado por el jefe de gobierno,poste occupé par le chef de l'exécutif,62768,not office held by head of government,nicht oberstes Regierungsamt,ne pas poste occupé par le chef de l'exécutif,no cargo ocupado por el jefe de gobierno
357,P3037,spatial reference system,Koordinatenbezugssystem,sistema de referencia espacial,système de coordonnées,3,not spatial reference system,nicht Koordinatenbezugssystem,ne pas système de coordonnées,no sistema de referencia espacial
358,P7045,chassis,Fahrgestell,chasis,châssis,48,not chassis,nicht Fahrgestell,ne pas châssis,no chasis
359,P1026,academic thesis,Hochschulschrift,tesis académica,thèse académique,10992,not academic thesis,nicht Hochschulschrift,ne pas thèse académique,no tesis académica
360,P7261,use restriction status,Status der Verwendungsbeschränkung,restricción de uso,restrictions d'utilisation,415384,not use restriction status,nicht Status der Verwendungsbeschränkung,ne pas restrictions d'utilisation,no restricción de uso
361,P5460,grants,verleiht akademischen Grad,confiere,diplôme ou distinction délivré,689,not grants,nicht verleiht akademischen Grad,ne pas diplôme ou distinction délivré,no confiere
362,P6149,running mate,Mitkandidat,candidato a la vicepresidencia,candidat à la vice-présidence,2,not running mate,nicht Mitkandidat,ne pas candidat à la vice-présidence,no candidato a la vicepresidencia
363,P5023,activity policy in this place,Verhaltensanweisung für den Ort,actividad reglamentada en este lugar,politique réglementaire en vigueur sur place,126,not activity policy in this place,nicht Verhaltensanweisung für den Ort,ne pas politique réglementaire en vigueur sur place,no actividad reglamentada en este lugar
364,P4745,is proceedings from,ausgehend von,actas de,actes de,1584,not is proceedings from,nicht ausgehend von,ne pas actes de,no actas de
365,P3161,has grammatical mood,hat grammatische Stimmung,tiene como modo gramatical,a comme mode grammatical,109,not has grammatical mood,nicht hat grammatische Stimmung,ne pas a comme mode grammatical,no tiene como modo gramatical
366,P4312,camera setup,Filmkameraaufbau,posición de cámara,position de caméra,1869,not camera setup,nicht Filmkameraaufbau,ne pas position de caméra,no posición de cámara
367,P8791,digitised by,digitalisiert von,digitalizado por,numérisé par,2702,not digitised by,nicht digitalisiert von,ne pas numérisé par,no digitalizado por
368,P1194,received signal type,empfangenes Signal,señal recibida,signal capté,3,not received signal type,nicht empfangenes Signal,ne pas signal capté,no señal recibida
369,P2095,co-driver,Beifahrer,copiloto,copilote,48,not co-driver,nicht Beifahrer,ne pas copilote,no copiloto
370,P720,asteroid spectral type,Spektraltyp des Asteroiden,tipo espectral de asteroide,type spectral de l'astéroïde,419,not asteroid spectral type,nicht Spektraltyp des Asteroiden,ne pas type spectral de l'astéroïde,no tipo espectral de asteroide
371,P658,tracklist,Titelliste,lista de canciones,liste des chansons,33672,not tracklist,nicht Titelliste,ne pas liste des chansons,no lista de canciones
372,P991,successful candidate,erfolgreicher Kandidat,elegido,élu,23166,not successful candidate,nicht erfolgreicher Kandidat,ne pas élu,no elegido
