id,en,ru,en_negated,ru_negated,count
P3310,muscle action,действие мышцы,not muscle action,не действие мышцы,253
P2974,habitat,среда обитания,not habitat,не среда обитания,162
P3301,broadcast by,транслируется на,not broadcast by,не транслируется на,7431
P1654,wing configuration,аэродинамическая схема,not wing configuration,не аэродинамическая схема,1109
P2681,is recto of,лицевая сторона для,not is recto of,не лицевая сторона для,164
P1568,definition domain,область определения,not definition domain,не область определения,125
P1914,gene insertion association with,генная вставка связана с,not gene insertion association with,не генная вставка связана с,2
P5236,prime factor,простой множитель,not prime factor,не простой множитель,151194
P2964,right to vote,право голоса,not right to vote,не право голоса,68
P97,noble title,титул,not noble title,не титул,54552
P1136,solved by,кем решена,not solved by,не кем решена,116
P1851,input set,область определения частично определённой функции,not input set,не область определения частично определённой функции,32
P16,transport network,система автомагистралей,not transport network,не система автомагистралей,52704
P1622,driving side,сторона автомобильного движения,not driving side,не сторона автомобильного движения,428
P4082,captured with,снято на,not captured with,не снято на,20
P5025,gens,древнеримский род,not gens,не древнеримский род,6395
P1897,highest note,верхняя нота,not highest note,не верхняя нота,6
P3093,recovered by,возвращён,not recovered by,не возвращён,57
P4661,reservoir created,дамбовое водохранилище,not reservoir created,не дамбовое водохранилище,3203
P3148,repeals,отменяет,not repeals,не отменяет,28838
P6153,research site,место проведения исследования,not research site,не место проведения исследования,266976
P5642,risk factor,фактор риска,not risk factor,не фактор риска,198
P4878,symbolizes,символизирует,not symbolizes,не символизирует,51
P5072,presented in,представлено на,not presented in,не представлено на,846
P3919,contributed to creative work,является соавтором опубликованной работы,not contributed to creative work,не является соавтором опубликованной работы,5086
P5658,railway traffic side,сторона железнодорожного движения,not railway traffic side,не сторона железнодорожного движения,282
P9883,created for,создано для,not created for,не создано для,35
P811,academic minor,второстепенный общеобразовательный предмет,not academic minor,не второстепенный общеобразовательный предмет,103
P19,place of birth,место рождения,not place of birth,не место рождения,3035164
P4320,mountains classification,горная классификация,not mountains classification,не горная классификация,10054
P501,enclave within,анклав в,not enclave within,не анклав в,249
P8258,field of training,область обучения,not field of training,не область обучения,19
P3415,start period,начало периода,not start period,не начало периода,58
P9714,taxon range,ареал таксона,not taxon range,не ареал таксона,60
P5133,has evaluation,имеет оценку,not has evaluation,не имеет оценку,24
P3091,mount,верховое животное,not mount,не верховое животное,746
P3440,time signature,размер такта,not time signature,не размер такта,81
P1429,has pet,питомец,not has pet,не питомец,318
P3938,named by,кем названо,not named by,не кем названо,628
P6087,coach of sports team,тренер спортивной команды,not coach of sports team,не тренер спортивной команды,11850
P3871,tributary orientation,сторона притока,not tributary orientation,не сторона притока,547
P3082,destroyed,уничтожено,not destroyed,не уничтожено,283
P1591,defendant,обвиняемый,not defendant,не обвиняемый,4610
P642,of,относится к,not of,не относится к,5091
P1703,is pollinated by,опылитель,not is pollinated by,не опылитель,79
P6195,funding scheme,схема финансирования,not funding scheme,не схема финансирования,3765
P3780,active ingredient in,является активным ингредиентом в,not active ingredient in,не является активным ингредиентом в,2529
P2414,substrate of,сырьё для,not substrate of,не сырьё для,9
P4000,has fruit type,имеет плод типа,not has fruit type,не имеет плод типа,3039
P2746,production statistics,статистика производства,not production statistics,не статистика производства,52
P4600,polymer of,полимер для,not polymer of,не полимер для,71
P4444,reward,вознаграждение,not reward,не вознаграждение,24
P3858,route diagram,маршрутная карта,not route diagram,не маршрутная карта,3626
P2852,emergency phone number,номер телефона экстренной службы,not emergency phone number,не номер телефона экстренной службы,634
P834,train depot,железнодорожное депо,not train depot,не железнодорожное депо,691
P702,encoded by,кодирующий ген,not encoded by,не кодирующий ген,976836
P9899,music created for,музыка создана для,not music created for,не музыка создана для,182
P2682,is verso of,оборотная сторона для,not is verso of,не оборотная сторона для,165
P2279,ambitus,амбитус,not ambitus,не амбитус,37
P9597,type of lens,тип линз,not type of lens,не тип линз,1726
P545,torch lit by,кем зажжён факел,not torch lit by,не кем зажжён факел,73
P4151,game mechanics,игровая механика,not game mechanics,не игровая механика,1760
P2869,record or record progression,рекорд или история рекордов,not record or record progression,не рекорд или история рекордов,172
P725,voice actor,актёр озвучивания,not voice actor,не актёр озвучивания,63208
P6962,narrative motif,литературный мотив,not narrative motif,не литературный мотив,431
P1620,plaintiff,истец,not plaintiff,не истец,365
P397,parent astronomical body,родительское тело,not parent astronomical body,не родительское тело,12507
P459,determination method,метод определения,not determination method,не метод определения,329
P1299,depicted by,изображается на,not depicted by,не изображается на,10979
P3989,members have occupation,род деятельности членов,not members have occupation,не род деятельности членов,1768
P7959,historic county,историческое графство,not historic county,не историческое графство,782765
P462,color,цвет,not color,не цвет,195178
P1776,circle of,из круга,not circle of,не из круга,7
P6540,multi-channel network,многоканальная сеть,not multi-channel network,не многоканальная сеть,44
P3261,anatomical branch of,анатомически ответвляется от,not anatomical branch of,не анатомически ответвляется от,415
P5314,property scope,используется как,not property scope,не используется как,1
P241,military branch,вид или род войск,not military branch,не вид или род войск,114815
P1891,signatory,подписавшийся,not signatory,не подписавшийся,17166
P8864,identity element,нейтральный элемент,not identity element,не нейтральный элемент,6
P2842,place of marriage,место свадьбы,not place of marriage,не место свадьбы,3
P3174,art director,арт-директор,not art director,не арт-директор,1254
P734,family name,фамилия,not family name,не фамилия,3641074
P2429,expected completeness,ожидаемая полнота,not expected completeness,не ожидаемая полнота,3866
P421,located in time zone,часовой пояс,not located in time zone,не часовой пояс,2008070
P6587,league system,система спортивных лиг,not league system,не система спортивных лиг,231
P410,military rank,воинское звание,not military rank,не воинское звание,157572
P3335,associated hazard,грозящая опасность,not associated hazard,не грозящая опасность,71
P1640,curator,куратор,not curator,не куратор,1600
P546,docking port,док-порт,not docking port,не док-порт,56
P1046,discovery method,метод обнаружения,not discovery method,не метод обнаружения,4253
P942,theme music,музыкальная тема,not theme music,не музыкальная тема,3967
P8363,study type,тип исследования,not study type,не тип исследования,349385
P2989,has grammatical case,имеет падежи,not has grammatical case,не имеет падежи,430
P7419,gender educated,пол студентов,not gender educated,не пол студентов,2904
P5012,special rank,специальное звание или классный чин,not special rank,не специальное звание или классный чин,715
P1445,fictional universe described in,вымышленная вселенная описана в,not fictional universe described in,не вымышленная вселенная описана в,4613
P7078,typing discipline,типизация данных,not typing discipline,не типизация данных,774
P3701,incarnation of,воплощение для,not incarnation of,не воплощение для,88
P3438,vehicle normally used,обычно используемое транспортное средство,not vehicle normally used,не обычно используемое транспортное средство,2901
P9600,oral history at,устная история в,not oral history at,не устная история в,743
P5132,suggests the existence of,предполагает болезнь,not suggests the existence of,не предполагает болезнь,234
P826,tonality,тональность,not tonality,не тональность,5039
P873,phase point,фазовая точка,not phase point,не фазовая точка,27
P1652,referee,рефери,not referee,не рефери,19997
P3447,mirrors data from,повторяет данные из,not mirrors data from,не повторяет данные из,8
P765,surface played on,тип покрытия,not surface played on,не тип покрытия,3968
P3262,has anatomical branch,анатомически ветвится на,not has anatomical branch,не анатомически ветвится на,286
P5026,lighting designer,художник-осветитель,not lighting designer,не художник-осветитель,5171
P9215,set during recurring event,происходит во время повторяющегося события,not set during recurring event,не происходит во время повторяющегося события,3770
P634,captain,капитан,not captain,не капитан,539
P3150,birthday,день рождения,not birthday,не день рождения,3191
P7936,business model,бизнес-модель,not business model,не бизнес-модель,2359
P9353,does not have cause,не имеет причиной,not does not have cause,не не имеет причиной,11
P101,field of work,область деятельности,not field of work,не область деятельности,252599
P562,central bank/issuer,эмитент,not central bank/issuer,не эмитент,443
P1589,lowest point,глубочайшая точка,not lowest point,не глубочайшая точка,512
P5323,attested in,подтверждено в,not attested in,не подтверждено в,121128
P924,possible treatment,лечение,not possible treatment,не лечение,699
P1595,charge,предъявленное обвинение,not charge,не предъявленное обвинение,4516
P1196,manner of death,род смерти,not manner of death,не род смерти,100146
P3095,practiced by,практикуется,not practiced by,не практикуется,4814
P8413,academic appointment,академическое назначение,not academic appointment,не академическое назначение,3220
P2376,superpartner of,суперсимметричный партнёр для,not superpartner of,не суперсимметричный партнёр для,21
P102,member of political party,член политической партии,not member of political party,не член политической партии,502780
P1536,immediate cause of,является непосредственной причиной,not immediate cause of,не является непосредственной причиной,18761
P1479,has contributing factor,способствовавшим фактором является,not has contributing factor,не способствовавшим фактором является,588
P9831,release of,является релизом,not release of,не является релизом,2480
P870,instrumentation,инструментовка,not instrumentation,не инструментовка,7611
P6977,review of,рецензия на,not review of,не рецензия на,9683
P199,business division,бизнес-подразделения,not business division,не бизнес-подразделения,1686
P669,located on street or square,расположен на улице,not located on street or square,не расположен на улице,164995
P780,symptoms and signs,симптомы,not symptoms and signs,не симптомы,10915
P970,neurological function,неврологическая функция,not neurological function,не неврологическая функция,4
P3263,base,основание фигуры,not base,не основание фигуры,116
P878,avionics,авионика,not avionics,не авионика,168
P1349,ploidy,плоидия,not ploidy,не плоидия,41
P8411,set in environment,происходит в типе места,not set in environment,не происходит в типе места,15928
P7501,audio system,аудио-система,not audio system,не аудио-система,2087
P7010,imprimatur granted by,Имприматур дан,not imprimatur granted by,не Имприматур дан,5
P3781,has active ingredient,имеет активный ингредиент,not has active ingredient,не имеет активный ингредиент,2691
P612,mother house,головной монастырь,not mother house,не головной монастырь,820
P748,appointed by,кем назначен,not appointed by,не кем назначен,5538
P3931,copyright holder,владелец авторских прав,not copyright holder,не владелец авторских прав,3231
P8693,fandom,фэндом,not fandom,не фэндом,63
P8738,permits,разрешает,not permits,не разрешает,23
P1029,crew member(s),члены экипажа,not crew member(s),не члены экипажа,2976
P3679,stock market index,фондовый индекс,not stock market index,не фондовый индекс,76
P1283,filmography,фильмография,not filmography,не фильмография,1518
P2388,office held by head of the organization,должность руководителя организации,not office held by head of the organization,не должность руководителя организации,12812
P3902,had as last meal,последняя трапеза,not had as last meal,не последняя трапеза,72
P172,ethnic group,этническая группа,not ethnic group,не этническая группа,160731
P872,printed by,отпечатано,not printed by,не отпечатано,2905
P4967,prerequisite,предпосылка,not prerequisite,не предпосылка,191
P4884,court,суд,not court,не суд,21138
P5196,output method,способ вывода,not output method,не способ вывода,305
P552,handedness,рабочая рука,not handedness,не рабочая рука,2257
P7779,member of military unit,состоит в воинском формировании,not member of military unit,не состоит в воинском формировании,2490
P6193,ratified by,ратифицирован(о/а),not ratified by,не ратифицирован(о/а),2631
P5589,microstructure,микроструктура,not microstructure,не микроструктура,5
P5248,medical evacuation to,медицинская эвакуация в,not medical evacuation to,не медицинская эвакуация в,36
P5707,samples from work,образец,not samples from work,не образец,160
P624,guidance system,тип системы наведения,not guidance system,не тип системы наведения,248
P789,edibility,съедобность,not edibility,не съедобность,792
P4032,reviewed by,рецензент,not reviewed by,не рецензент,510
P832,public holiday,официальный праздник,not public holiday,не официальный праздник,1481
P2868,subject has role,в качестве,not subject has role,не в качестве,353857
P2012,cuisine,кухня,not cuisine,не кухня,2328
P194,legislative body,законодательный орган,not legislative body,не законодательный орган,4257
P9059,subdivision of this unit,делится на единицы,not subdivision of this unit,не делится на единицы,133
P567,underlies,висячий бок,not underlies,не висячий бок,1542
P1604,biosafety level,уровень биологической безопасности,not biosafety level,не уровень биологической безопасности,12
P9419,personal library at,личная библиотека хранится в,not personal library at,не личная библиотека хранится в,285
P3416,end period,окончание периода,not end period,не окончание периода,15
P1290,godparent,крёстный родитель,not godparent,не крёстный родитель,1464
P1594,judge,судья,not judge,не судья,9995
P8431,course,тип блюда,not course,не тип блюда,95
P2975,host,носитель,not host,не носитель,7413
P7075,mod of,мод для,not mod of,не мод для,186
P5021,assessment,оценивался тест,not assessment,не оценивался тест,25144
P2384,statement describes,элемент или утверждение описывает,not statement describes,не элемент или утверждение описывает,197
P248,stated in,утверждается в,not stated in,не утверждается в,785
P6339,reports periodicity,интервал значений,not reports periodicity,не интервал значений,18159
P4622,trophy awarded,вручаемая награда,not trophy awarded,не вручаемая награда,255
P887,based on heuristic,на основе эвристики,not based on heuristic,не на основе эвристики,1
P4792,dam,плотина,not dam,не плотина,3135
P6291,advertises,рекламирует,not advertises,не рекламирует,866
P739,ammunition,патрон,not ammunition,не патрон,2509
P1074,fictional analog of,аналог в реальном мире,not fictional analog of,не аналог в реальном мире,1877
P607,conflict,война/сражение,not conflict,не война/сражение,221623
P553,website account on,учётная запись в социальных медиа,not website account on,не учётная запись в социальных медиа,2218
P4791,commanded by,командир,not commanded by,не командир,3546
P1303,instrument,музыкальный инструмент,not instrument,не музыкальный инструмент,210870
P3028,open period to,сезон открыт до,not open period to,не сезон открыт до,13
P7378,item disputed by,оспаривается,not item disputed by,не оспаривается,13
P1433,published in,опубликовано в,not published in,не опубликовано в,37916091
P937,work location,место активности,not work location,не место активности,339031
P610,highest point,наивысшая точка,not highest point,не наивысшая точка,5503
P208,executive body,исполнительная власть,not executive body,не исполнительная власть,1672
P8670,character designer,дизайнер персонажей,not character designer,не дизайнер персонажей,1818
P2738,disjoint union of,является одним и только одним из,not disjoint union of,не является одним и только одним из,458
P790,approved by,получил одобрение от,not approved by,не получил одобрение от,29098
P817,decay mode,тип распада,not decay mode,не тип распада,3
P3831,object has role,значение выступает в роли,not object has role,не значение выступает в роли,65
P2575,measures,измеряет,not measures,не измеряет,252
P2445,metasubclass of,метаподкласс от,not metasubclass of,не метаподкласс от,41
P1779,possible creator,возможный создатель,not possible creator,не возможный создатель,38
P86,composer,композитор,not composer,не композитор,188471
P7781,exonerated of,реабилитрован в,not exonerated of,не реабилитрован в,48
P5769,editor-in-chief,шеф-редактор,not editor-in-chief,не шеф-редактор,2325
P7152,copyright exemption,исключение из авторского права,not copyright exemption,не исключение из авторского права,1
P2770,source of income,источник дохода,not source of income,не источник дохода,500
P926,postsynaptic connection,постсинаптическая связь,not postsynaptic connection,не постсинаптическая связь,7
P530,diplomatic relation,дипломатические отношения,not diplomatic relation,не дипломатические отношения,7046
P47,shares border with,имеет границы с,not shares border with,не имеет границы с,605173
P461,opposite of,противоположно,not opposite of,не противоположно,23857
P460,said to be the same as,предположительно одно и то же с,not said to be the same as,не предположительно одно и то же с,285208
P3373,sibling,брат/сестра,not sibling,не брат/сестра,407131
P26,spouse,супруг(а),not spouse,не супруг(а),731197
P7047,enemy of,враг,not enemy of,не враг,3809
P451,unmarried partner,сожитель,not unmarried partner,не сожитель,14156
P1889,different from,не путать с,not different from,не не путать с,801466
P3403,coextensive with,занимает ту же территорию с,not coextensive with,не занимает ту же территорию с,4076
P190,twinned administrative body,город-побратим,not twinned administrative body,не город-побратим,48990
P2152,antiparticle,античастица,not antiparticle,не античастица,79
P1382,partially coincident with,частично совпадает с,not partially coincident with,не частично совпадает с,17887
P4777,has boundary,имеет границей,not has boundary,не имеет границей,1156
P1038,relative,родственник,not relative,не родственник,52123
P197,adjacent station,соседний остановочный пункт,not adjacent station,не соседний остановочный пункт,209079
P833,interchange station,станция пересадки,not interchange station,не станция пересадки,3685
P2789,connects with,соединяется с,not connects with,не соединяется с,183333
P3342,significant person,значимый человек,not significant person,не значимый человек,15439
P1327,partner in business or sport,партнёр в спорте или профессии,not partner in business or sport,не партнёр в спорте или профессии,17571
P399,companion of,компаньон,not companion of,не компаньон,4476
P1420,taxon synonym,синоним таксона,not taxon synonym,не синоним таксона,21387
P129,physically interacts with,взаимодействует с,not physically interacts with,не взаимодействует с,9480
P1322,dual to,двойственнен к,not dual to,не двойственнен к,351
P2375,has superpartner,суперсимметричный партнёр,not has superpartner,не суперсимметричный партнёр,20
P1639,pendant of,пандан для,not pendant of,не пандан для,2268
P3032,adjacent building,смежное здание,not adjacent building,не смежное здание,5242
P6185,tautomer of,таутомер,not tautomer of,не таутомер,1063
P3179,territory overlaps,территория перекрывается с,not territory overlaps,не территория перекрывается с,8370
P144,based on,создано на основе,not based on,не создано на основе,52294
P737,influenced by,испытал влияние от,not influenced by,не испытал влияние от,18552
P2444,homoglyph,омоглиф,not homoglyph,не омоглиф,1752
P8865,mathematical inverse,обратно к,not mathematical inverse,не обратно к,84
P2329,antagonist muscle,мышца-антагонист,not antagonist muscle,не мышца-антагонист,101
P684,ortholog,ортолог,not ortholog,не ортолог,4320878
P2652,partnership with,в партнёрстве с,not partnership with,не в партнёрстве с,3328
P3364,stereoisomer of,стереоизомер для,not stereoisomer of,не стереоизомер для,2013
P53,family,род,not family,не род,89379
P1416,affiliation,принадлежит к,not affiliation,не принадлежит к,86685
P3113,does not have part,не включает,not does not have part,не не включает,499
P514,interleaves with,перемежается с,not interleaves with,не перемежается с,31
P2860,cites work,ссылается на,not cites work,не ссылается на,285213488
P8956,compatible with,совместим с,not compatible with,не совместим с,222
P807,separated from,отделилось от,not separated from,не отделилось от,2321
P1557,manifestation of,является воплощением,not manifestation of,не является воплощением,2120
P2210,relative to,по отношению к,not relative to,не по отношению к,48
P4675,appears in the form of,появляется в виде,not appears in the form of,не появляется в виде,373
P6477,does not have quality,не обладает свойством,not does not have quality,не не обладает свойством,344
P2650,interested in,область интересов,not interested in,не область интересов,14947
P547,commemorates,в память о,not commemorates,не в память о,26003
P5004,in opposition to,против,not in opposition to,не против,461
P1268,represents,представляет,not represents,не представляет,5411
P825,dedicated to,посвящено,not dedicated to,не посвящено,50406
P7719,generalization of,влечёт за собой,not generalization of,не влечёт за собой,37
P31,instance of,это частный случай понятия,not instance of,не это частный случай понятия,103114325
P1441,present in work,представлено в работе,not present in work,не представлено в работе,126749
P828,has cause,причиной является,not has cause,не причиной является,9257
P1542,has effect,вызывает,not has effect,не вызывает,5715
P2737,union of,является объединением,not union of,не является объединением,375
