id,en,de,es,fr,count
P6886,writing language,geschriebene Sprache,lengua(s) de escritura,langues d'écriture (pour les auteurs publiés seulement),160586
P1221,compressor type,Kompressortyp,tipo de compresor,type de compresseur,2
P1002,engine configuration,Motorbauform,configuración del motor,architecture du moteur,1031
P693,cleavage,Spaltbarkeit,exfoliación,clivage,63
P1777,manner of,nach Art von,a la manera de,à la manière de,9
P1574,exemplar of,Exemplar von,ejemplar de,exemplaire de,1726
P1387,political alignment,politische Ausrichtung,posición política,position politique,4177
P5444,model year,Modelljahr,año del modelo,année modèle,63
P91,sexual orientation,sexuelle Orientierung,orientación sexual,orientation sexuelle,4087
P30,continent,Kontinent,continente,continent,82969
P2515,costume designer,Kostümbildner,diseñador de vestuario,costumier,12653
P2577,admissible rule in,gültige Regel in,regla admisible en,admissible en,8
P2550,recording or performance of,Aufnahme oder Ausführung von,grabación o ejecución de,enregistrement ou interprétation de,14735
P2647,source of material,Herkunft des Materials,origen del material,source du matériau,147
P611,religious order,Ordensgemeinschaft,orden religiosa,ordre religieux,31990
P2541,operating area,Versorgungsgebiet,área de operación,zone opérationnelle,17718
P3294,encoding,Kodierung,codificación,encodage,2
P479,input method,Eingabegerät,dispositivo de entrada,périphérique d'entrée,15055
P6885,historical region,historische Region,región histórica,région historique,15035
P837,day in year for periodic occurrence,Jahrestag,día del año de una ocurrencia periódica,jour de l'année,3293
P2058,depositary,Depositar,depositario,dépositaire,229
P541,office contested,zur Wahl stehendes Amt,cargo que elige,poste en jeu,41494
P588,coolant,Kühlmedium,refrigerante,réfrigérant,484
P1576,lifestyle,Lebensstil,estilo de vida,style de vie,1287
P1774,workshop of,Werkstatt von,taller de,atelier de,7
P543,oath made by,Eid abgeleistet von,juramento tomado por,serment prêté par,90
P504,home port,Heimathafen,puerto de origen,port d'attache,5856
P511,honorific prefix,ehrende Anrede,prefijo honorífico,titre honorifique,52343
P8127,tournament format,Turnierformat,formato de torneo,format du tournoi,1801
P9237,reissue of,Wiederveröffentlichung,reedición de,réédition de,197
P4908,season,Staffel,temporada,saison,63279
P1199,mode of inheritance,Vererbungsgang,modo de herencia,mode de transmission,85
P6166,quotes work,wörtlich zitiertes Werk,cita la obra,cite l'œuvre,409
P193,main building contractor,Generalbauunternehmer,constructor,maître d'œuvre,2893
P945,allegiance,Treuepflicht,lealtad,allégeance envers,60809
P5185,grammatical gender,grammatikalisches Geschlecht,género gramatical,genre grammatical,236557
P4647,location of first performance,Ort der Uraufführung oder Erstausstrahlung,lugar de primera representación,lieu de la première représentation,18236
P1399,convicted of,verurteilt wegen,condenado por,condamné pour,10492
P114,airline alliance,Luftfahrtallianz,alianza aérea,alliance aérienne,278
P512,academic degree,akademischer Grad,grado académico,diplôme universitaire,131615
P8706,ritual object,Ritualobjekt,objeto ritual,objet rituel,631
P3279,statistical leader,Erster in einer Statistik,líder estadístico,auteur de la meilleure performance,2638
P4220,order of battle,Schlachtordnung,orden de batalla,ordre de bataille,409
P5514,accredited by,akkreditiert von,acreditación,accrédité par,4149
P735,given name,Vorname,nombre de pila,prénom,6659405
P126,maintained by,Betreuer,mantenido por,maintenance assurée par,528275
P1408,licensed to broadcast to,Sendelizenz in,licenciado para emitir en,ville de licence,16647
P5137,item for this sense,Objekt für diesen Sinn,elemento para este sentido,élément pour ce sens,113852
P5009,complies with,erfüllt,conforme a,est conforme à,162
P1437,plea,Plädoyer der Verteidigung,declaración de culpabilidad,plaidoyer,7
P8626,opening time,Öffnungszeit,hora de apertura,heure d'ouverture,9
P533,target,Angriffsziel,objetivo,cible,1480
P306,operating system,Betriebssystem,sistema operativo,système d'exploitation,39208
P816,decays to,zerfällt zu,se desintegra en,se désintègre spontanément en,7387
P2291,charted in,Chartplatzierung,clasificado en,classé dans,1600
P1383,contains settlement,enthält Siedlung,núcleo de población,contient la localité,32828
P2849,produced by,produziert durch,producido por,produit par,270
P21,sex or gender,Geschlecht,sexo o género,sexe ou genre,7855753
P682,biological process,biologischer Prozess,proceso biológico,processus biologique,1194172
P6758,supported sports team,unterstützt Sportmannschaft,equipo deportivo apoyado,supporter de,700
P5817,state of use,Nutzungszustand,estado de uso,état d'usage,29051
P3005,valid in place,gilt für Ort,válido en,valide en/à,174
P3643,significant environmental impact,Einfluss auf die Umwelt,impacto ambiental significativo,problème environnemental,13095
P655,translator,Übersetzer,traductor,traducteur,17950
P8196,voting system,Abstimmungssystem,sistema de votación,système de vote,1329
P1840,investigated by,untersucht von,investigado por,investigué par,573
P5422,has pattern,hat dekoratives Muster,patrón decorativo,motif décoratif,404
P912,has facility,verfügt über Einrichtung,instalaciones,équipement,16505
P3967,final event,Finale,evento final,événement final,1767
P3014,laws applied,angewendete Gesetze,leyes aplicadas,lois appliquées,173
P4634,premiere type,Erstaufführungstyp,tipo de estreno,type de première,469
P1192,connecting service,Linienangehörigkeit,servicio de conexión,service de transport,41093
P8031,perpetrator,Täter,perpetrador,perpétrateur,785
P4379,youth wing,Jugendorganisation,organización juvenil,section de jeunesse,205
P4101,dissertation submitted to,Abschlussarbeit eingereicht bei,disertación presentada en,organisme de soutenance,63801
P2563,superhuman feature or ability,übermenschliche Eigenschaft oder Fähigkeit,superpoder,super-pouvoir,6707
P2360,intended public,Zielgruppe,público objetivo,audience cible,7836
P2839,gait,Gangart,andadura,allure,17
P7084,related category,verwandte Kategorie,categoría relacionada,catégorie liée,16225
P57,director,Regisseur,director,réalisateur ou metteur en scène,331768
P7604,supervised by,Vorgesetzter,supervisor,encadrant,75
P2922,month of the year,Monat des Jahres,mes del año,mois de l'année,4518
P2408,set in period,Zeit der Handlung,época de ambientación,époque de l'action,7356
P2239,first aid measures,Erste-Hilfe-Maßnahmen,primeros auxilios,premiers secours,2825
P1637,undercarriage,Fahrwerk,tren de aterrizaje,train d'atterrissage,225
P560,direction,Richtung,dirección,direction,36
P6241,collection creator,Sammlungsgründer,creador de colección,producteur d'archives,6035
P3015,backup or reserve team or crew,Ersatzmannschaft,equipo de reserva,équipe ou équipage de réserve,220
P2846,wheelchair accessibility,Rollstuhlzugänglichkeit,accesibilidad para silla de ruedas,accessibilité aux fauteuils roulants,3117
P1596,penalty,Strafe,condena,condamnation,1910
P881,type of variable star,Typ des veränderlichen Sterns,tipo de estrella variable,type d'étoile variable,385882
P5131,possible medical findings,mögliche medizinische Befunde,hallazgos médicos posibles,observation médicale possible,96
P4387,update method,Aktualisierungsmethode,método de actualización,méthode de mise à jour,117
P2341,indigenous to,einheimisch,nativo de,autochtone de,18192
P4132,linguistic typology,Sprachtypologie,tipología lingüística,typologie linguistique,2248
P8938,artistic director,Künstlerischer Leiter,director artístico de una organización,directeur artistique d'une organisation,72
P1027,conferred by,verliehen von,conferido por,décerné par,14995
P4070,identifier shared with,teilt Identifikator mit,identificador compartido con,identifiant partagé avec,19
P3019,railway signalling system,Zugsicherungssystem,sistema de señalización ferroviaria,système de signalisation ferroviaire,109
P941,inspired by,inspiriert von,inspirado por,inspiré de,5702
P1877,after a work by,nach einem Werk von,inspirado en la obra de,d'après une œuvre de,12273
P4969,derivative work,Bearbeitung,obra derivada,œuvre dérivée,19698
P9239,affiliated worker organisation,Gewerkschaft im Betrieb,sindicato afiliado,organisation de travailleurs affiliés,23
P6440,maintenance method,Instandhaltung,método de mantenimiento,méthode d'entretien,38
P3969,signed form,lautsprachbegleitende Gebärden,forma gestual,forme signée,3
P6237,real estate developer,Immobilienentwickler,promotor inmobiliario,promoteur immobilier,78
P92,main regulatory text,Rechtsgrundlage,texto regulador principal,principal texte régulateur,9314
P520,armament,Bewaffnung,armamento,armement,5478
P922,magnetic ordering,magnetische Ordnung,ordenamiento magnético,effet magnétique,2
P5028,sound designer,Tondesigner,diseñador de sonido,designer sonore,3210
P925,presynaptic connection,präsynaptische Verbindung,conexión presináptica,connexion présynaptique,6
P4844,research intervention,Forschungsintervention,intervención de investigación,variable de recherche,148107
P8111,recommended unit of measurement,empfohlene Maßeinheit,unidad de medida recomendada,unité de mesure recommandée,1165
P943,programmer,Programmierer,programador,programmeur,388
P8744,economy of topic,Wirtschaft des Themas,economía del sujeto,économie du sujet,1377
P3773,antagonist of,Antagonist zu,antagonista de,antagoniste de,12
P7727,legislative committee,Legislativkomitee,comité legislativo,comité législatif,123710
P1028,donated by,gestifted von,donado por,donné par,9668
P8225,is metaclass for,Metaklasse für,es una metaclase para,est une métaclasse pour,371
P3452,inferred from,abgeleitet von,deducido de,déduit de,2
P447,review score by,bewertet von,calificado por,noté par,14
P2392,teaching method,Lehrmethode,método de enseñanza,méthode pédagogique,58
P2817,appears in the heritage monument list,ist in der Kulturdenkmal-Liste,aparece en la lista de los monumentos clasificados,apparaît dans la liste des monuments classifiés,267974
P2596,culture,Kultur,cultura,culture,10007
P1478,has immediate cause,hat unmittelbare Ursache,causa inmediata,a pour cause immédiate,123514
P1018,language regulatory body,Kontrollorgan der Sprache,institución de normalización,institution de normalisation,208
P485,archives at,archiviert in,archivado en,archivé par,75122
P2912,distinctive jersey,Wertungstrikot,maillot distintivo,maillot distinctif,2
P3310,muscle action,Bewegungstyp des Muskels,acción muscular,action du muscle,253
P6855,emergency services,Notfalleinrichtungen,servicios de emergencia,accueil et traitement des urgences,766
P3301,broadcast by,ausgestrahlt von,transmitido por,diffusé par,7411
P1654,wing configuration,Flügelanordnung,configuración alar,configuration d'aile,1104
P2681,is recto of,ist Vorderseite von,es recto de,est le recto,162
P1568,definition domain,Definitionsmenge,dominio,domaine de définition,123
P5236,prime factor,Primfaktor,factor primo,facteur premier,151179
P2964,right to vote,Wahlrecht,derecho de voto,corps électoral,68
P3490,muscle origin,Muskelursprung,origen del músculo,origine du muscle,61
P97,noble title,Adelstitel,título nobiliario,titre de noblesse,54140
P1136,solved by,Gelöst von,resuelto por,résolu par,116
P1851,input set,Eingabemenge,conjunto de entrada,ensemble de départ,32
P16,transport network,Straßennetz,red de transporte,réseau de transport,52612
P1622,driving side,Fahrseite,lado de conducción,conduite à,427
P4082,captured with,aufgenommen mit,tomada con,pris avec,20
P3093,recovered by,zurückerlangt von,recuperado por,récupéré par,55
P550,chivalric order,Ritterorden,orden de caballería,ordre de chevalerie,65
P1202,carries scientific instrument,mitgeführtes wissenschaftliches Gerät,instrumentos científicos a bordo,instruments embarqués,212
P868,foods traditionally associated,Traditionsgericht,alimentos tradicionalmente asociados,nourriture traditionnellement associée,399
P437,distribution format,Materialart/Vertriebsweg,distribución,format de distribution,200508
P1853,blood type,Blutgruppe,grupo sanguíneo,groupe sanguin,31850
P3148,repeals,hebt auf,revoca,abroge,28835
P6153,research site,Forschungsort,sitio de investigación,site de recherche,266968
P5642,risk factor,Risikofaktor,factor de riesgo,facteur de risque,198
P1406,script directionality,Schreibrichtung,dirección de la escritura,sens de l'écriture,324
P4878,symbolizes,symbolisiert,simboliza,symbolise,51
P3815,volcano observatory,Vulkanobservatorium,observatorio vulcanológico,observatoire volcanologique,598
P5072,presented in,aufgeführt bei,presentado en,présenté à,844
P5658,railway traffic side,Fahrordnung,sentido de circulación de trenes,sens de circulation des trains,282
P9883,created for,gemacht für,creado para,créé(e) pour,36
P811,academic minor,Nebenfach im Studium,especialización académica secundaria,seconde spécialité d'études,104
P19,place of birth,Geburtsort,lugar de nacimiento,lieu de naissance,3028025
P4320,mountains classification,Bergwertung,Clasificación de la montaña,classement de la montagne,10021
P501,enclave within,Enklave in,enclave en,enclavé dans,248
P8258,field of training,Fach der Fachausbildung,campo de estudios profesionales,domaine d'études professionnelles,19
P9714,taxon range,Verbreitungsgebiet,ámbito de distribución,aire de répartition,56
P5133,has evaluation,hat Auswertung,tiene evaluación,a pour évaluation,24
P3091,mount,Reittier,montura,monture,737
P3440,time signature,Taktart,compás musical,chiffrage de mesure,81
P1429,has pet,hat Haustier,animal de compañía,animal de compagnie,317
P3938,named by,benannt durch,acuñado por,dénommé par,620
P3871,tributary orientation,Richtung als Nebenfluss,orientación del tributario,rive de confluence,547
P3082,destroyed,zerstört,ha destruido,détruit,280
P1591,defendant,Angeklagter,imputado,défendeur,4583
P642,of,von,de,de,5090
P1703,is pollinated by,bestäubt durch,polinización,pollinisé par,79
P6195,funding scheme,Fördertopf,método de financiamiento,plan de financement,3765
P3780,active ingredient in,Wirkstoff in,es el principio activo en,est le principe actif dans,2529
P2414,substrate of,Substrat von,sustrato de,substrat de,9
P4000,has fruit type,Fruchttyp,tipo de fruto,type de fruit,3039
P2746,production statistics,Produktionsstatistik,estadísticas de producción,statistiques de production,52
P4444,reward,Prämie,recompensa,récompense,29
P2852,emergency phone number,Notrufnummer,teléfono de emergencia,numéro d'appel d'urgence,634
P834,train depot,Zug-Depot,terminal ferroviario,dépôt ferroviaire,690
P702,encoded by,codiert von,codificado por,codé par,976841
P9899,music created for,Musik gemacht für,música creada para,musique créée pour,179
P7643,covered period,betroffene Epoche,periodo cubierto,période couverte,12
P2682,is verso of,ist Rückseite von,es verso de,est le verso,163
P2279,ambitus,Tonumfang,ámbito,ambitus,37
P9700,delta of,Flussdelta von,delta de,delta de,71
P9597,type of lens,Linsentyp,tipo de lente,type de lentille optique,1721
P545,torch lit by,Flamme entzündet von,antorcha encendida por,flamme allumée par,73
P4151,game mechanics,Spielmechanik,sistema de juego,système de jeu,1757
P725,voice actor,Sprecher,actor de voz,comédien de doublage,61713
P6962,narrative motif,literarisches Motiv,tópico literario,motif narratif,431
P1620,plaintiff,Kläger,demandante,demandeur,344
P6840,student organization of,Studentenorganisation von,organización estudiantil de,organisation étudiante de,34
P397,parent astronomical body,übergeordneter astronomischer Körper,objeto astronómico padre,orbite autour de,12506
P459,determination method,Bestimmungsmethode,método de determinación,méthode de détermination,329
P1299,depicted by,dargestellt von,representado por,est dépeint par,10899
P3989,members have occupation,Mitglieder haben den Beruf,ocupación de los miembros,occupation des membres,1755
P462,color,Farbe,color,couleur,194389
P1776,circle of,Umkreis von,círculo de,cercle de,7
P5314,property scope,Anwendungsbereich der Eigenschaft,alcance de la propiedad,champ d'application,1
P241,military branch,Teilstreitkraft,rama militar,arme,114591
P1064,track gauge,Spurweite,ancho de vía,écartement des rails,24331
P1891,signatory,Unterzeichner,signatario,signataire,17071
P2842,place of marriage,Ort der Eheschließung,lugar de matrimonio,lieu du mariage,3
P734,family name,Familienname,apellido,nom de famille,3619572
P2429,expected completeness,erwartete Vollständigkeit,grado de completitud,degré de complétude,3826
P6587,league system,Ligasystem,sistema de liga,structure pyramidale de la ligue,231
P3264,radix,Grundzahl,base aritmética,base (arithmétique),58
P410,military rank,militärischer Dienstgrad,rango militar alcanzado,grade militaire,157188
P3335,associated hazard,Gefährdung,peligro,danger sur place,71
P1640,curator,Kurator,conservador o comisario,conservateur ou commissaire,1561
P546,docking port,Andockziel,puerto de atraque o de acople,port d'arrimage,56
P1046,discovery method,Nachweismethode,método de descubrimiento,méthode de découverte,4253
P942,theme music,Titelmusik,tema musical,thème musical,3542
P8571,external auditor,externer Rechnungsprüfer,auditor externo,auditeur comptable,125
P8363,study type,Studientyp,tipo de estudio,type d'étude,349385
P2989,has grammatical case,hat grammatischen Fall,tiene el caso gramatical,a comme cas grammatical,430
P1445,fictional universe described in,fiktives Universum wird beschrieben in,universo ficticio descrito en,univers de fiction décrit dans,4597
P7078,typing discipline,Typisierung,sistema de tipos,système de typage,774
P1672,this taxon is source of,Ursprung von,este taxón es una fuente de,ce taxon produit,2391
P3701,incarnation of,Inkarnation von,encarnación de,incarnation de,88
P3438,vehicle normally used,normalerweise verwendetes Fahrzeug,vehículo usado normalmente,véhicule habituellement utilisé,2892
P5132,suggests the existence of,vermutet das Vorhandensein von,sugiere la existencia de,suggère l'existence de,234
P826,tonality,Tonart,tonalidad,tonalité,5023
P873,phase point,Phasenpunkt,punto de fase,point de phase,26
P1652,referee,Schiedsrichter,árbitro,arbitre,19978
P3447,mirrors data from,spiegelt Daten von,replica datos de,données miroirs de,8
P4224,category contains,Kategorie enthält,categoría contiene,type d'élément contenu dans la catégorie,823005
P765,surface played on,Belag,tipo de superficie,type de surface,3956
P376,located on astronomical body,auf astronomischem Körper,en el cuerpo astronómico,sur le corps astronomique,9234
P5026,lighting designer,Lichtgestalter,diseñador de iluminación,éclairagiste,5168
P634,captain,Mannschaftskapitän,capitán,capitaine,529
P3150,birthday,Geburtstag,cumpleaños,anniversaire,3173
P3489,pregnancy category,Schwangerschaftskategorie,categoría farmacológica en el embarazo,catégorie de grossesse,1546
P7936,business model,Geschäftsmodell,modelo de negocio,modèle d'affaires,2352
P9353,does not have cause,nicht verursacht durch,no tiene como causa,n'a pas pour cause,11
P101,field of work,Arbeitsgebiet,campo de trabajo,domaine d'activité,251365
P1589,lowest point,tiefster Punkt,punto más bajo,point le plus bas,511
P2517,category for recipients of this award,Kategorie für Preisträger,categoría para los galardonados con este premio,catégorie pour les lauréats de cette récompense,6162
P5323,attested in,bestätigt in,atestiguado en,attesté dans,121113
P924,possible treatment,medizinische Behandlungen,tratamiento posible,traitements possibles,695
P3022,flag bearer,Flaggenträger,abanderado,porte-drapeau,4191
P1595,charge,Anklagepunkt,imputación,inculpation,4508
P2894,day of week,Wochentag,día de la semana,jour de la semaine,192690
P1196,manner of death,Todesart,circunstancias de la muerte,circonstances de la mort,99833
P4624,squadron embarked,eingeschifftes Geschwader,escuadrón embarcado,escadron embarqué,6
P3095,practiced by,praktiziert von,practicado por,pratiqué par,4774
P7514,landscape architect,Landschaftsarchitekt,arquitecto del paisaje,architecte paysagiste,190
P9660,not found in,nicht nachgewiesen in,no encontrado en,non présent dans,11878
P102,member of political party,Parteizugehörigkeit,miembro del partido político,parti politique,501195
P1880,measurement scale,gemessen mit,medido por,mesuré par,181
P1536,immediate cause of,direkte Ursache von,causa inmediata de,cause immédiate de,16711
P1479,has contributing factor,hat mitwirkenden Faktor,factor contribuyente,a comme facteur contributif,584
P9831,release of,Release von,publicación musical de,sortie musciale de,2450
P870,instrumentation,Instrumentation,instrumentación,instrumentation,7569
P6977,review of,Rezension von,reseña sobre,compte-rendu de,9669
P199,business division,Geschäftsbereich,división comercial,division,1679
P669,located on street or square,Straße oder Platz,situado en la calle,voie,161576
P8001,endorsed by,Schirmherrschaft durch,apoyado por,soutenu par,193
P970,neurological function,neurologische Funktion,función neurológica,fonction neurologique,4
P209,highest judicial authority,höchstes Gericht,máxima autoridad judicial,Corps judiciaire suprême,183
P3263,base,Grundfläche,base geométrica,base (géométrie),116
P8411,set in environment,Umgebung der Handlung,lugar de ambientación,se déroule dans l'environnement,15915
P5873,place of devotion,Andachtsstätte,lugar de devoción,lieu de culte,916
P3781,has active ingredient,hat Wirkstoff,contiene el principio activo,contient le principe actif,2690
P612,mother house,Mutterkloster,casa madre,maison mère,819
P748,appointed by,ernannt durch,designado por,nommé par,5536
P3931,copyright holder,Urheberrechtsinhaber,titular de los derechos de autor,détenteur des droits d'auteur,3223
P8738,permits,erlaubt,permite,permet,23
P1029,crew member(s),Mannschaftsmitglied,tripulante,équipage,2956
P3679,stock market index,Aktienindex,índice bursátil,indice boursier,76
P1283,filmography,Filmografie,filmografía,filmographie,1519
P2388,office held by head of the organization,Amt des Leiters,cargo ocupado por el dirigente,fonction à la tête de l'organisation,12722
P3902,had as last meal,letzte Mahlzeit,última comida,dernier repas,72
P172,ethnic group,Bevölkerungsgruppe,etnia,groupe ethnique,159525
P872,printed by,Drucker,impreso por,imprimé par,2884
P4967,prerequisite,Voraussetzung,prerrequisito,prérequis,191
P4884,court,Gericht,tribunal,tribunal,21126
P5196,output method,Ausgabemethode,dispositivo de salida,périphérique de sortie,303
P552,handedness,Händigkeit,lateralidad,latéralisation,2256
P565,crystal habit,Kristallhabitus,hábito cristalino,habitus du cristal,9
P7779,member of military unit,Mitglied der Militäreinheit,miembro de la unidad militar,unité,2362
P5248,medical evacuation to,medizinische Evakuierung nach,evacuación sanitaria a,lieu d'évacuation des blessés,36
P6022,"expression, gesture or body pose",Körperhaltung oder -bewegung,"expresión, gesto o postura","expression, geste ou posture",1
P5109,has grammatical gender,hat grammatisches Geschlecht,tiene el género gramatical,a pour genre grammatical,136
P624,guidance system,Lenksystem,sistema de guiado,système de guidage,248
P789,edibility,Essbarkeit,comestibilidad,comestibilité,792
P4032,reviewed by,überprüft von,revisado por,examiné par,507
P832,public holiday,Feiertag,día festivo,jour férié,1481
P2868,subject has role,Subjekt fungiert als,tiene el rol de,tient le rôle de,353488
P2012,cuisine,Küche,cocina,cuisine servie,2291
P194,legislative body,gesetzgebende Körperschaft,órgano legislativo,assemblée délibérante,4254
P567,underlies,Hangend,infrayacente a,toit,1542
P105,taxon rank,taxonomischer Rang,categoría taxonómica,rang taxinomique,3580266
P1604,biosafety level,biologische Schutzstufe,nivel de bioseguridad,niveau de sécurité biologique,12
P3416,end period,Schlussperiode,periodo final,période de fin,15
P8194,hardiness zone,Winterhärtezone,zona de rusticidad,zone de rusticité,19
P1290,godparent,Pate,padrino,parrain ou marraine,1457
P1594,judge,Richter,juez,juge,9996
P2975,host,Wirt,huésped,hôte,7314
P5021,assessment,abgelegte Prüfung,examen realizado,examen ou concours effectué,25102
P2384,statement describes,Aussage beschreibt,declaración describe,formule décrivant,197
P248,stated in,nachgewiesen in,afirmado en,affirmé dans,784
P6339,reports periodicity,Datenintervall,intervalo de datos,périodicité des relevés,18160
P4622,trophy awarded,ausgezeichnet mit Trophäe,trofeo recibido,trophée remis,242
P887,based on heuristic,basierend auf Heuristik,basado en la heurística,déterminé par l'heuristique,1
P4792,dam,Talsperre,presa,barrage,3109
P5623,type of water supply,Art der Wasserversorgung,tipo de suministro de agua,type d'alimentation en eau,1475
P6291,advertises,bewirbt,publicita,promeut,862
P739,ammunition,Patrone,munición,munition,2488
P607,conflict,Kriegseinsatz,participó en el conflicto,conflit,220972
P1593,defender,Verteidiger,defensor,défenseur,277
P4791,commanded by,befohlen von,comandado por,commandé par,3519
P1433,published in,veröffentlicht in,publicado en,publié dans,37895192
P1582,natural product of taxon,erzeugt aus,producto natural del taxón,produit par le taxon,2577
P937,work location,Wirkungsort,lugar de trabajo,lieu de travail,338232
P610,highest point,höchster Punkt,punto más alto,point culminant,5501
P208,executive body,Exekutivorgan,órgano ejecutivo,exécutif,1672
P790,approved by,anerkannt von,aprobado por,approuvé par,29092
P817,decay mode,Zerfallsart,modo de desintegración,mode de rayonnement radioactif,3
P3831,object has role,Objekt fungiert als,valor tiene el rol de,rôle de l'objet,65
P2575,measures,misst,mide,mesure,251
P1779,possible creator,möglicher Urheber,presunto creador,créateur présumé,38
P86,composer,Komponist,compositor,compositeur ou compositrice,188072
P3776,inhibitor of,Hemmstoff von,inhibidor de,inhibiteur de,101
P7781,exonerated of,freigesprochen von,exonerado de,exonéré de,47
P5769,editor-in-chief,Chefredakteur,redactor en jefe,responsable éditorial,2294
P8627,closing time,Schließzeit,hora de cierre,heure de fermeture,7
P2770,source of income,Herkunft des Einkommens,fuente de ingreso,source de revenu,496
P4794,season starts,Saisonstart,inicio de la temporada,début de la saison,2049
P926,postsynaptic connection,postsynaptische Verbindung,conexión postsináptica,connexion postsynaptique,7
P530,diplomatic relation,diplomatische Beziehung,relación diplomática,relation diplomatique,7046
P47,shares border with,gemeinsame Grenze mit,comparte fronteras con,limitrophe de,604494
P461,opposite of,Gegenteil von,opuesto a,contraire,23655
P460,said to be the same as,eventuell gleichwertig,se dice que es lo mismo que,réputé identique à,284533
P3373,sibling,Geschwister,hermano o hermana,frère ou sœur,405548
P26,spouse,Ehepartner(in),cónyuge,conjoint,729722
P7047,enemy of,Feind von,enemigo de,ennemi de,3796
P451,unmarried partner,Lebenspartner/-in,pareja,partenaire,14093
P1889,different from,verschieden von,diferente de,à ne pas confondre avec,797811
P3403,coextensive with,koexistiert mit,mismo territorio que,a le même territoire que,4066
P190,twinned administrative body,Partnerkommune,ciudad hermana,jumelage ou partenariat,48951
P2152,antiparticle,Antiteilchen,antipartícula,antiparticule,77
P1382,partially coincident with,teilweise übereinstimmend mit,parcialmente coincidente con,coïncide partiellement avec,17886
P4777,has boundary,hat als Grenze,delimitado por,délimité par,1140
P1038,relative,Verwandte,pariente,parentèle,51652
P197,adjacent station,benachbarte Station,estación adyacente,gare voisine,207794
P833,interchange station,Umsteigebahnhof,estación de intercambio,pôle d'échanges,3568
P2789,connects with,physisch verbunden mit,se conecta con,se connecte avec,182527
P3342,significant person,relevante Person,persona relevante,personne clé,15016
P1327,partner in business or sport,Berufs- oder Sportpartner,en conjunto con,partenaire professionnel ou sportif,17399
P399,companion of,Begleiter,compañero de,compagnon de,4476
P1420,taxon synonym,taxonomische Synonyme,sinónimo taxonómico,synonyme taxinomique,21321
P129,physically interacts with,interagiert physikalisch mit,interactúa físicamente con,interagit physiquement avec,9480
P1322,dual to,dual zu,dual de,dual de,351
P2375,has superpartner,hat Superpartner,tiene como s-partícula,a comme superpartenaire,20
P8702,parallel street,Parallelstraße,calle paralela,rue parallèle,54
P1639,pendant of,Pendant,pendant de,pendant de,2235
P3032,adjacent building,Nachbargebäude,edificio adyacente,bâtiment adjacent,5173
P6185,tautomer of,Tautomer von,tautómero de,tautomère de,1059
P3179,territory overlaps,Territorium überschneidet sich mit,solapamiento territorial,recouvrement territorial,8207
P144,based on,basiert auf,basado en,basé sur,51986
P737,influenced by,beeinflusst von,influenciado por,influencé par,18452
P2444,homoglyph,Homoglyph,homoglifo,homoglyphe,1751
P8865,mathematical inverse,mathematische Umkehroperation,inverso matemático,inverse mathématique,84
P2329,antagonist muscle,antagonistischer Muskel,músculo antagonista,muscle antagoniste,101
P684,ortholog,ortholog,ortólogo,gène orthologue,4320867
P2652,partnership with,Geschäftsbeziehung zu,en sociedad con,en partenariat avec,3272
P3364,stereoisomer of,Stereoisomer von,estereoisómero de,stéréoisomère de,2013
P53,family,Familie,familia,famille,89007
P1416,affiliation,Zugehörigkeit zu,afiliación,affilié à,86502
P3113,does not have part,enthält nicht,no contiene,ne comprend pas,488
P514,interleaves with,verzahnt mit,intercalada con,s'imbrique avec,31
P2860,cites work,zitiert,referencia,cite le document,285110038
P8956,compatible with,kompatibel mit,compatible con,compatible avec,213
P807,separated from,abgetrennt von,separado de,séparé de,2292
P1557,manifestation of,Manifestation von,manifestación de,manifestation de,2107
P2210,relative to,Bezugspunkt,relativo a,relatif à,48
P4675,appears in the form of,angenommene Gestalt,aparece bajo la forma de,se métamorphose en,373
P6477,does not have quality,Mangel an,no tiene la cualidad,caractérisé par l'absence de,339
P2650,interested in,interessiert an,interesado en,intéressé par,14871
P547,commemorates,erinnert an,conmemora,commémore,24672
P5004,in opposition to,in Opposition zu,en oposición a,en opposition à,401
P1268,represents,repräsentiert,representa,représente,5370
P825,dedicated to,Widmung an,dedicado a,dédicataire,50233
P7719,generalization of,impliziert,implica,généralisation de,37
P31,instance of,ist ein(e),instancia de,nature de l'élément,102954591
P1441,present in work,kommt vor in,presente en la obra,présent dans l'œuvre,126014
P828,has cause,Ursache,causado por,a pour cause,9219
P1542,has effect,Ursache von,causa de,a pour effet,5673
P2737,union of,Vereinigung von,unión de,union de,375
