id,en,de,es,fr
P193,main building contractor,Generalbauunternehmer,constructor,maître d'œuvre
P945,allegiance,Treuepflicht,lealtad,allégeance envers
P5185,grammatical gender,grammatikalisches Geschlecht,género gramatical,genre grammatical
P4647,location of first performance,Ort der Uraufführung oder Erstausstrahlung,lugar de primera representación,lieu de la première représentation
P1399,convicted of,verurteilt wegen,condenado por,condamné pour
P114,airline alliance,Luftfahrtallianz,alianza aérea,alliance aérienne
P512,academic degree,akademischer Grad,grado académico,diplôme universitaire
P8706,ritual object,Ritualobjekt,objeto ritual,objet rituel
P3279,statistical leader,Erster in einer Statistik,líder estadístico,auteur de la meilleure performance
P4220,order of battle,Schlachtordnung,orden de batalla,ordre de bataille
P5514,accredited by,akkreditiert von,acreditación,accrédité par
P735,given name,Vorname,nombre de pila,prénom
P126,maintained by,Betreuer,mantenido por,maintenance assurée par
P1408,licensed to broadcast to,Sendelizenz in,licenciado para emitir en,ville de licence
P5137,item for this sense,Objekt für diesen Sinn,elemento para este sentido,élément pour ce sens
P5009,complies with,erfüllt,conforme a,est conforme à
P1437,plea,Plädoyer der Verteidigung,declaración de culpabilidad,plaidoyer
P8626,opening time,Öffnungszeit,hora de apertura,heure d'ouverture
P533,target,Angriffsziel,objetivo,cible
P306,operating system,Betriebssystem,sistema operativo,système d'exploitation
P816,decays to,zerfällt zu,se desintegra en,se désintègre spontanément en
P2291,charted in,Chartplatzierung,clasificado en,classé dans
P1383,contains settlement,enthält Siedlung,núcleo de población,contient la localité
P2849,produced by,produziert durch,producido por,produit par
P21,sex or gender,Geschlecht,sexo o género,sexe ou genre
P682,biological process,biologischer Prozess,proceso biológico,processus biologique
P6758,supported sports team,unterstützt Sportmannschaft,equipo deportivo apoyado,supporter de
P5817,state of use,Nutzungszustand,estado de uso,état d'usage
P3005,valid in place,gilt für Ort,válido en,valide en/à
P3643,significant environmental impact,Einfluss auf die Umwelt,impacto ambiental significativo,problème environnemental
P655,translator,Übersetzer,traductor,traducteur
P8196,voting system,Abstimmungssystem,sistema de votación,système de vote
P1840,investigated by,untersucht von,investigado por,investigué par
P5422,has pattern,hat dekoratives Muster,patrón decorativo,motif décoratif
P912,has facility,verfügt über Einrichtung,instalaciones,équipement
P3967,final event,Finale,evento final,événement final
P3014,laws applied,angewendete Gesetze,leyes aplicadas,lois appliquées
P4634,premiere type,Erstaufführungstyp,tipo de estreno,type de première
P1192,connecting service,Linienangehörigkeit,servicio de conexión,service de transport
P8031,perpetrator,Täter,perpetrador,perpétrateur
P4379,youth wing,Jugendorganisation,organización juvenil,section de jeunesse
P4101,dissertation submitted to,Abschlussarbeit eingereicht bei,disertación presentada en,organisme de soutenance
P2563,superhuman feature or ability,übermenschliche Eigenschaft oder Fähigkeit,superpoder,super-pouvoir
P2360,intended public,Zielgruppe,público objetivo,audience cible
P2839,gait,Gangart,andadura,allure
P7084,related category,verwandte Kategorie,categoría relacionada,catégorie liée
P57,director,Regisseur,director,réalisateur ou metteur en scène
P7604,supervised by,Vorgesetzter,supervisor,encadrant
P2922,month of the year,Monat des Jahres,mes del año,mois de l'année
P2408,set in period,Zeit der Handlung,época de ambientación,époque de l'action
P2239,first aid measures,Erste-Hilfe-Maßnahmen,primeros auxilios,premiers secours
P1637,undercarriage,Fahrwerk,tren de aterrizaje,train d'atterrissage
P560,direction,Richtung,dirección,direction
P6241,collection creator,Sammlungsgründer,creador de colección,producteur d'archives
P3015,backup or reserve team or crew,Ersatzmannschaft,equipo de reserva,équipe ou équipage de réserve
P2846,wheelchair accessibility,Rollstuhlzugänglichkeit,accesibilidad para silla de ruedas,accessibilité aux fauteuils roulants
P1596,penalty,Strafe,condena,condamnation
P881,type of variable star,Typ des veränderlichen Sterns,tipo de estrella variable,type d'étoile variable
P5131,possible medical findings,mögliche medizinische Befunde,hallazgos médicos posibles,observation médicale possible
P4387,update method,Aktualisierungsmethode,método de actualización,méthode de mise à jour
P2341,indigenous to,einheimisch,nativo de,autochtone de
P4132,linguistic typology,Sprachtypologie,tipología lingüística,typologie linguistique
P8938,artistic director,Künstlerischer Leiter,director artístico de una organización,directeur artistique d'une organisation
P1027,conferred by,verliehen von,conferido por,décerné par
P4070,identifier shared with,teilt Identifikator mit,identificador compartido con,identifiant partagé avec
P3019,railway signalling system,Zugsicherungssystem,sistema de señalización ferroviaria,système de signalisation ferroviaire
P941,inspired by,inspiriert von,inspirado por,inspiré de
P1877,after a work by,nach einem Werk von,inspirado en la obra de,d'après une œuvre de
P4969,derivative work,Bearbeitung,obra derivada,œuvre dérivée
P9239,affiliated worker organisation,Gewerkschaft im Betrieb,sindicato afiliado,organisation de travailleurs affiliés
P6440,maintenance method,Instandhaltung,método de mantenimiento,méthode d'entretien
P3969,signed form,lautsprachbegleitende Gebärden,forma gestual,forme signée
P6237,real estate developer,Immobilienentwickler,promotor inmobiliario,promoteur immobilier
P92,main regulatory text,Rechtsgrundlage,texto regulador principal,principal texte régulateur
P520,armament,Bewaffnung,armamento,armement
P922,magnetic ordering,magnetische Ordnung,ordenamiento magnético,effet magnétique
P5028,sound designer,Tondesigner,diseñador de sonido,designer sonore
P925,presynaptic connection,präsynaptische Verbindung,conexión presináptica,connexion présynaptique
P4844,research intervention,Forschungsintervention,intervención de investigación,variable de recherche
P8111,recommended unit of measurement,empfohlene Maßeinheit,unidad de medida recomendada,unité de mesure recommandée
P943,programmer,Programmierer,programador,programmeur
P8744,economy of topic,Wirtschaft des Themas,economía del sujeto,économie du sujet
P3773,antagonist of,Antagonist zu,antagonista de,antagoniste de
P7727,legislative committee,Legislativkomitee,comité legislativo,comité législatif
P1028,donated by,gestifted von,donado por,donné par
P8225,is metaclass for,Metaklasse für,es una metaclase para,est une métaclasse pour
P3452,inferred from,abgeleitet von,deducido de,déduit de
P447,review score by,bewertet von,calificado por,noté par
P2392,teaching method,Lehrmethode,método de enseñanza,méthode pédagogique
P2817,appears in the heritage monument list,ist in der Kulturdenkmal-Liste,aparece en la lista de los monumentos clasificados,apparaît dans la liste des monuments classifiés
P2596,culture,Kultur,cultura,culture
P1478,has immediate cause,hat unmittelbare Ursache,causa inmediata,a pour cause immédiate
P1018,language regulatory body,Kontrollorgan der Sprache,institución de normalización,institution de normalisation
P485,archives at,archiviert in,archivado en,archivé par
P2912,distinctive jersey,Wertungstrikot,maillot distintivo,maillot distinctif
P3310,muscle action,Bewegungstyp des Muskels,acción muscular,action du muscle
P6855,emergency services,Notfalleinrichtungen,servicios de emergencia,accueil et traitement des urgences
P3301,broadcast by,ausgestrahlt von,transmitido por,diffusé par
P1654,wing configuration,Flügelanordnung,configuración alar,configuration d'aile
P2681,is recto of,ist Vorderseite von,es recto de,est le recto
P1568,definition domain,Definitionsmenge,dominio,domaine de définition
P5236,prime factor,Primfaktor,factor primo,facteur premier
P2964,right to vote,Wahlrecht,derecho de voto,corps électoral
P3490,muscle origin,Muskelursprung,origen del músculo,origine du muscle
P97,noble title,Adelstitel,título nobiliario,titre de noblesse
P1136,solved by,Gelöst von,resuelto por,résolu par
P1851,input set,Eingabemenge,conjunto de entrada,ensemble de départ
P16,transport network,Straßennetz,red de transporte,réseau de transport
P1622,driving side,Fahrseite,lado de conducción,conduite à
P4082,captured with,aufgenommen mit,tomada con,pris avec
P3093,recovered by,zurückerlangt von,recuperado por,récupéré par
P550,chivalric order,Ritterorden,orden de caballería,ordre de chevalerie
P1202,carries scientific instrument,mitgeführtes wissenschaftliches Gerät,instrumentos científicos a bordo,instruments embarqués
P868,foods traditionally associated,Traditionsgericht,alimentos tradicionalmente asociados,nourriture traditionnellement associée
P437,distribution format,Materialart/Vertriebsweg,distribución,format de distribution
P1853,blood type,Blutgruppe,grupo sanguíneo,groupe sanguin
P3148,repeals,hebt auf,revoca,abroge
P6153,research site,Forschungsort,sitio de investigación,site de recherche
P5642,risk factor,Risikofaktor,factor de riesgo,facteur de risque
P1406,script directionality,Schreibrichtung,dirección de la escritura,sens de l'écriture
P4878,symbolizes,symbolisiert,simboliza,symbolise
P3815,volcano observatory,Vulkanobservatorium,observatorio vulcanológico,observatoire volcanologique
P5072,presented in,aufgeführt bei,presentado en,présenté à
P5658,railway traffic side,Fahrordnung,sentido de circulación de trenes,sens de circulation des trains
P9883,created for,gemacht für,creado para,créé(e) pour
P811,academic minor,Nebenfach im Studium,especialización académica secundaria,seconde spécialité d'études
P19,place of birth,Geburtsort,lugar de nacimiento,lieu de naissance
P4320,mountains classification,Bergwertung,Clasificación de la montaña,classement de la montagne
P501,enclave within,Enklave in,enclave en,enclavé dans
P8258,field of training,Fach der Fachausbildung,campo de estudios profesionales,domaine d'études professionnelles
P9714,taxon range,Verbreitungsgebiet,ámbito de distribución,aire de répartition
P5133,has evaluation,hat Auswertung,tiene evaluación,a pour évaluation
P3091,mount,Reittier,montura,monture
P3440,time signature,Taktart,compás musical,chiffrage de mesure
P1429,has pet,hat Haustier,animal de compañía,animal de compagnie
P3938,named by,benannt durch,acuñado por,dénommé par
P3871,tributary orientation,Richtung als Nebenfluss,orientación del tributario,rive de confluence
P3082,destroyed,zerstört,ha destruido,détruit
P1591,defendant,Angeklagter,imputado,défendeur
P642,of,von,de,de
P1703,is pollinated by,bestäubt durch,polinización,pollinisé par
P6195,funding scheme,Fördertopf,método de financiamiento,plan de financement
P3780,active ingredient in,Wirkstoff in,es el principio activo en,est le principe actif dans
P2414,substrate of,Substrat von,sustrato de,substrat de
P4000,has fruit type,Fruchttyp,tipo de fruto,type de fruit
P2746,production statistics,Produktionsstatistik,estadísticas de producción,statistiques de production
P4444,reward,Prämie,recompensa,récompense
P2852,emergency phone number,Notrufnummer,teléfono de emergencia,numéro d'appel d'urgence
P834,train depot,Zug-Depot,terminal ferroviario,dépôt ferroviaire
P702,encoded by,codiert von,codificado por,codé par
P9899,music created for,Musik gemacht für,música creada para,musique créée pour
P7643,covered period,betroffene Epoche,periodo cubierto,période couverte
P2682,is verso of,ist Rückseite von,es verso de,est le verso
P2279,ambitus,Tonumfang,ámbito,ambitus
P9700,delta of,Flussdelta von,delta de,delta de
P9597,type of lens,Linsentyp,tipo de lente,type de lentille optique
P545,torch lit by,Flamme entzündet von,antorcha encendida por,flamme allumée par
P4151,game mechanics,Spielmechanik,sistema de juego,système de jeu
P725,voice actor,Sprecher,actor de voz,comédien de doublage
P6962,narrative motif,literarisches Motiv,tópico literario,motif narratif
P1620,plaintiff,Kläger,demandante,demandeur
P6840,student organization of,Studentenorganisation von,organización estudiantil de,organisation étudiante de
P397,parent astronomical body,übergeordneter astronomischer Körper,objeto astronómico padre,orbite autour de
P459,determination method,Bestimmungsmethode,método de determinación,méthode de détermination
P1299,depicted by,dargestellt von,representado por,est dépeint par
P3989,members have occupation,Mitglieder haben den Beruf,ocupación de los miembros,occupation des membres
P462,color,Farbe,color,couleur
P1776,circle of,Umkreis von,círculo de,cercle de
P5314,property scope,Anwendungsbereich der Eigenschaft,alcance de la propiedad,champ d'application
P241,military branch,Teilstreitkraft,rama militar,arme
P1064,track gauge,Spurweite,ancho de vía,écartement des rails
P1891,signatory,Unterzeichner,signatario,signataire
P2842,place of marriage,Ort der Eheschließung,lugar de matrimonio,lieu du mariage
P734,family name,Familienname,apellido,nom de famille
P2429,expected completeness,erwartete Vollständigkeit,grado de completitud,degré de complétude
P6587,league system,Ligasystem,sistema de liga,structure pyramidale de la ligue
P3264,radix,Grundzahl,base aritmética,base (arithmétique)
P410,military rank,militärischer Dienstgrad,rango militar alcanzado,grade militaire
P3335,associated hazard,Gefährdung,peligro,danger sur place
P1640,curator,Kurator,conservador o comisario,conservateur ou commissaire
P546,docking port,Andockziel,puerto de atraque o de acople,port d'arrimage
P1046,discovery method,Nachweismethode,método de descubrimiento,méthode de découverte
P942,theme music,Titelmusik,tema musical,thème musical
P8571,external auditor,externer Rechnungsprüfer,auditor externo,auditeur comptable
P8363,study type,Studientyp,tipo de estudio,type d'étude
P2989,has grammatical case,hat grammatischen Fall,tiene el caso gramatical,a comme cas grammatical
P1445,fictional universe described in,fiktives Universum wird beschrieben in,universo ficticio descrito en,univers de fiction décrit dans
P7078,typing discipline,Typisierung,sistema de tipos,système de typage
P1672,this taxon is source of,Ursprung von,este taxón es una fuente de,ce taxon produit
P3701,incarnation of,Inkarnation von,encarnación de,incarnation de
P3438,vehicle normally used,normalerweise verwendetes Fahrzeug,vehículo usado normalmente,véhicule habituellement utilisé
P5132,suggests the existence of,vermutet das Vorhandensein von,sugiere la existencia de,suggère l'existence de
P826,tonality,Tonart,tonalidad,tonalité
P873,phase point,Phasenpunkt,punto de fase,point de phase
P1652,referee,Schiedsrichter,árbitro,arbitre
P3447,mirrors data from,spiegelt Daten von,replica datos de,données miroirs de
P4224,category contains,Kategorie enthält,categoría contiene,type d'élément contenu dans la catégorie
P765,surface played on,Belag,tipo de superficie,type de surface
P376,located on astronomical body,auf astronomischem Körper,en el cuerpo astronómico,sur le corps astronomique
P5026,lighting designer,Lichtgestalter,diseñador de iluminación,éclairagiste
P634,captain,Mannschaftskapitän,capitán,capitaine
P3150,birthday,Geburtstag,cumpleaños,anniversaire
P3489,pregnancy category,Schwangerschaftskategorie,categoría farmacológica en el embarazo,catégorie de grossesse
P7936,business model,Geschäftsmodell,modelo de negocio,modèle d'affaires
P9353,does not have cause,nicht verursacht durch,no tiene como causa,n'a pas pour cause
P101,field of work,Arbeitsgebiet,campo de trabajo,domaine d'activité
P1589,lowest point,tiefster Punkt,punto más bajo,point le plus bas
P2517,category for recipients of this award,Kategorie für Preisträger,categoría para los galardonados con este premio,catégorie pour les lauréats de cette récompense
P5323,attested in,bestätigt in,atestiguado en,attesté dans
P924,possible treatment,medizinische Behandlungen,tratamiento posible,traitements possibles
P3022,flag bearer,Flaggenträger,abanderado,porte-drapeau
P1595,charge,Anklagepunkt,imputación,inculpation
P2894,day of week,Wochentag,día de la semana,jour de la semaine
P1196,manner of death,Todesart,circunstancias de la muerte,circonstances de la mort
P4624,squadron embarked,eingeschifftes Geschwader,escuadrón embarcado,escadron embarqué
P3095,practiced by,praktiziert von,practicado por,pratiqué par
P7514,landscape architect,Landschaftsarchitekt,arquitecto del paisaje,architecte paysagiste
P9660,not found in,nicht nachgewiesen in,no encontrado en,non présent dans
P102,member of political party,Parteizugehörigkeit,miembro del partido político,parti politique
P1880,measurement scale,gemessen mit,medido por,mesuré par
P1536,immediate cause of,direkte Ursache von,causa inmediata de,cause immédiate de
P1479,has contributing factor,hat mitwirkenden Faktor,factor contribuyente,a comme facteur contributif
P9831,release of,Release von,publicación musical de,sortie musciale de
P870,instrumentation,Instrumentation,instrumentación,instrumentation
P6977,review of,Rezension von,reseña sobre,compte-rendu de
P199,business division,Geschäftsbereich,división comercial,division
P669,located on street or square,Straße oder Platz,situado en la calle,voie
P8001,endorsed by,Schirmherrschaft durch,apoyado por,soutenu par
P970,neurological function,neurologische Funktion,función neurológica,fonction neurologique
P209,highest judicial authority,höchstes Gericht,máxima autoridad judicial,Corps judiciaire suprême
P3263,base,Grundfläche,base geométrica,base (géométrie)
P8411,set in environment,Umgebung der Handlung,lugar de ambientación,se déroule dans l'environnement
P5873,place of devotion,Andachtsstätte,lugar de devoción,lieu de culte
P3781,has active ingredient,hat Wirkstoff,contiene el principio activo,contient le principe actif
P612,mother house,Mutterkloster,casa madre,maison mère
P748,appointed by,ernannt durch,designado por,nommé par
P3931,copyright holder,Urheberrechtsinhaber,titular de los derechos de autor,détenteur des droits d'auteur
P8738,permits,erlaubt,permite,permet
P1029,crew member(s),Mannschaftsmitglied,tripulante,équipage
P3679,stock market index,Aktienindex,índice bursátil,indice boursier
P1283,filmography,Filmografie,filmografía,filmographie
P2388,office held by head of the organization,Amt des Leiters,cargo ocupado por el dirigente,fonction à la tête de l'organisation
P3902,had as last meal,letzte Mahlzeit,última comida,dernier repas
P172,ethnic group,Bevölkerungsgruppe,etnia,groupe ethnique
P872,printed by,Drucker,impreso por,imprimé par
P4967,prerequisite,Voraussetzung,prerrequisito,prérequis
P4884,court,Gericht,tribunal,tribunal
P5196,output method,Ausgabemethode,dispositivo de salida,périphérique de sortie
P552,handedness,Händigkeit,lateralidad,latéralisation
P565,crystal habit,Kristallhabitus,hábito cristalino,habitus du cristal
P7779,member of military unit,Mitglied der Militäreinheit,miembro de la unidad militar,unité
P5248,medical evacuation to,medizinische Evakuierung nach,evacuación sanitaria a,lieu d'évacuation des blessés
P6022,"expression, gesture or body pose",Körperhaltung oder -bewegung,"expresión, gesto o postura","expression, geste ou posture"
P5109,has grammatical gender,hat grammatisches Geschlecht,tiene el género gramatical,a pour genre grammatical
P624,guidance system,Lenksystem,sistema de guiado,système de guidage
P789,edibility,Essbarkeit,comestibilidad,comestibilité
P4032,reviewed by,überprüft von,revisado por,examiné par
P832,public holiday,Feiertag,día festivo,jour férié
P2868,subject has role,Subjekt fungiert als,tiene el rol de,tient le rôle de
P2012,cuisine,Küche,cocina,cuisine servie
P194,legislative body,gesetzgebende Körperschaft,órgano legislativo,assemblée délibérante
P567,underlies,Hangend,infrayacente a,toit
P105,taxon rank,taxonomischer Rang,categoría taxonómica,rang taxinomique
P1604,biosafety level,biologische Schutzstufe,nivel de bioseguridad,niveau de sécurité biologique
P3416,end period,Schlussperiode,periodo final,période de fin
P8194,hardiness zone,Winterhärtezone,zona de rusticidad,zone de rusticité
P1290,godparent,Pate,padrino,parrain ou marraine
P1594,judge,Richter,juez,juge
P2975,host,Wirt,huésped,hôte
P5021,assessment,abgelegte Prüfung,examen realizado,examen ou concours effectué
P2384,statement describes,Aussage beschreibt,declaración describe,formule décrivant
P248,stated in,nachgewiesen in,afirmado en,affirmé dans
P6339,reports periodicity,Datenintervall,intervalo de datos,périodicité des relevés
P4622,trophy awarded,ausgezeichnet mit Trophäe,trofeo recibido,trophée remis
P887,based on heuristic,basierend auf Heuristik,basado en la heurística,déterminé par l'heuristique
P4792,dam,Talsperre,presa,barrage
P5623,type of water supply,Art der Wasserversorgung,tipo de suministro de agua,type d'alimentation en eau
P6291,advertises,bewirbt,publicita,promeut
P739,ammunition,Patrone,munición,munition
P607,conflict,Kriegseinsatz,participó en el conflicto,conflit
P1593,defender,Verteidiger,defensor,défenseur
P4791,commanded by,befohlen von,comandado por,commandé par
P1433,published in,veröffentlicht in,publicado en,publié dans
P1582,natural product of taxon,erzeugt aus,producto natural del taxón,produit par le taxon
P937,work location,Wirkungsort,lugar de trabajo,lieu de travail
P610,highest point,höchster Punkt,punto más alto,point culminant
P208,executive body,Exekutivorgan,órgano ejecutivo,exécutif
P790,approved by,anerkannt von,aprobado por,approuvé par
P817,decay mode,Zerfallsart,modo de desintegración,mode de rayonnement radioactif
P3831,object has role,Objekt fungiert als,valor tiene el rol de,rôle de l'objet
P2575,measures,misst,mide,mesure
P1779,possible creator,möglicher Urheber,presunto creador,créateur présumé
P86,composer,Komponist,compositor,compositeur ou compositrice
P3776,inhibitor of,Hemmstoff von,inhibidor de,inhibiteur de
P7781,exonerated of,freigesprochen von,exonerado de,exonéré de
P5769,editor-in-chief,Chefredakteur,redactor en jefe,responsable éditorial
P8627,closing time,Schließzeit,hora de cierre,heure de fermeture
P2770,source of income,Herkunft des Einkommens,fuente de ingreso,source de revenu
P4794,season starts,Saisonstart,inicio de la temporada,début de la saison
P926,postsynaptic connection,postsynaptische Verbindung,conexión postsináptica,connexion postsynaptique
P530,diplomatic relation,diplomatische Beziehung,relación diplomática,relation diplomatique
P47,shares border with,gemeinsame Grenze mit,comparte fronteras con,limitrophe de
P461,opposite of,Gegenteil von,opuesto a,contraire
P460,said to be the same as,eventuell gleichwertig,se dice que es lo mismo que,réputé identique à
P3373,sibling,Geschwister,hermano o hermana,frère ou sœur
P26,spouse,Ehepartner(in),cónyuge,conjoint
P7047,enemy of,Feind von,enemigo de,ennemi de
P451,unmarried partner,Lebenspartner/-in,pareja,partenaire
P1889,different from,verschieden von,diferente de,à ne pas confondre avec
P3403,coextensive with,koexistiert mit,mismo territorio que,a le même territoire que
P190,twinned administrative body,Partnerkommune,ciudad hermana,jumelage ou partenariat
P2152,antiparticle,Antiteilchen,antipartícula,antiparticule
P1382,partially coincident with,teilweise übereinstimmend mit,parcialmente coincidente con,coïncide partiellement avec
P4777,has boundary,hat als Grenze,delimitado por,délimité par
P1038,relative,Verwandte,pariente,parentèle
P197,adjacent station,benachbarte Station,estación adyacente,gare voisine
P833,interchange station,Umsteigebahnhof,estación de intercambio,pôle d'échanges
P2789,connects with,physisch verbunden mit,se conecta con,se connecte avec
P3342,significant person,relevante Person,persona relevante,personne clé
P1327,partner in business or sport,Berufs- oder Sportpartner,en conjunto con,partenaire professionnel ou sportif
P399,companion of,Begleiter,compañero de,compagnon de
P1420,taxon synonym,taxonomische Synonyme,sinónimo taxonómico,synonyme taxinomique
P129,physically interacts with,interagiert physikalisch mit,interactúa físicamente con,interagit physiquement avec
P1322,dual to,dual zu,dual de,dual de
P2375,has superpartner,hat Superpartner,tiene como s-partícula,a comme superpartenaire
P8702,parallel street,Parallelstraße,calle paralela,rue parallèle
P1639,pendant of,Pendant,pendant de,pendant de
P3032,adjacent building,Nachbargebäude,edificio adyacente,bâtiment adjacent
P6185,tautomer of,Tautomer von,tautómero de,tautomère de
P3179,territory overlaps,Territorium überschneidet sich mit,solapamiento territorial,recouvrement territorial
P144,based on,basiert auf,basado en,basé sur
P737,influenced by,beeinflusst von,influenciado por,influencé par
P2444,homoglyph,Homoglyph,homoglifo,homoglyphe
P8865,mathematical inverse,mathematische Umkehroperation,inverso matemático,inverse mathématique
P2329,antagonist muscle,antagonistischer Muskel,músculo antagonista,muscle antagoniste
P684,ortholog,ortholog,ortólogo,gène orthologue
P2652,partnership with,Geschäftsbeziehung zu,en sociedad con,en partenariat avec
P3364,stereoisomer of,Stereoisomer von,estereoisómero de,stéréoisomère de
P53,family,Familie,familia,famille
P1416,affiliation,Zugehörigkeit zu,afiliación,affilié à
P3113,does not have part,enthält nicht,no contiene,ne comprend pas
P514,interleaves with,verzahnt mit,intercalada con,s'imbrique avec
P2860,cites work,zitiert,referencia,cite le document
P8956,compatible with,kompatibel mit,compatible con,compatible avec
P807,separated from,abgetrennt von,separado de,séparé de
P1557,manifestation of,Manifestation von,manifestación de,manifestation de
P2210,relative to,Bezugspunkt,relativo a,relatif à
P4675,appears in the form of,angenommene Gestalt,aparece bajo la forma de,se métamorphose en
P6477,does not have quality,Mangel an,no tiene la cualidad,caractérisé par l'absence de
P2650,interested in,interessiert an,interesado en,intéressé par
P547,commemorates,erinnert an,conmemora,commémore
P5004,in opposition to,in Opposition zu,en oposición a,en opposition à
P1268,represents,repräsentiert,representa,représente
P825,dedicated to,Widmung an,dedicado a,dédicataire
P7719,generalization of,impliziert,implica,généralisation de
P31,instance of,ist ein(e),instancia de,nature de l'élément
P1441,present in work,kommt vor in,presente en la obra,présent dans l'œuvre
P828,has cause,Ursache,causado por,a pour cause
P1542,has effect,Ursache von,causa de,a pour effet
P2737,union of,Vereinigung von,unión de,union de
