_id,en,en_alias,de,de_alias,es,fr,fr_alias,es_alias,count
P1589,lowest point,deepest point,tiefster Punkt,niedrigster Punkt,punto más bajo,point le plus bas,le point le plus bas,punto más profundo,512
P924,possible treatment,therapy,medizinische Behandlungen,medizinische Therapie,tratamiento posible,traitements possibles,traitement éventuel,posibles tratamientos,699
P3095,practiced by,done by,praktiziert von,wird praktiziert von,practicado por,pratiqué par,étudié par,practicada por,4814
P9660,not found in,not attested in,nicht nachgewiesen in,nicht bezeugt in,no encontrado en,non présent dans,non attesté dans,no documentado en,11878
P1536,immediate cause of,has immediate effect,direkte Ursache von,Verursacht,causa inmediata de,cause immédiate de,effet immédiat,tiene efecto inmediato,18761
P1535,used by,played by,verwendet von,benutzt von,utilizado por,utilisé par,utilisateur,utilizada por,9765
P1479,has contributing factor,indirectly caused by,hat mitwirkenden Faktor,mitwirkender Faktor,factor contribuyente,a comme facteur contributif,a comme facteurs contributifs,tiene como factor contribuyente,588
P669,located on street or square,is on,Straße,Strasse,situado en la calle,voie,avenue,situado en la plaza,164995
P8001,endorsed by,supported by,Schirmherrschaft durch,Patron,apoyado por,soutenu par,approuvé par,respaldado por,195
P8411,set in environment,takes place in,Umgebung der Handlung,spielt in,lugar de ambientación,se déroule dans l'environnement,mis en environnement,ambientado en el entorno,15928
P748,appointed by,named by,ernannt durch,ernannt von,designado por,nommé par,désigné par,nombrado por,5538
P8738,permits,does not prohibit,erlaubt,autorisiert,permite,permet,autorise,autoriza,23
P872,printed by,printer,Drucker,Druckerei,impreso por,imprimé par,imprimeur,impresa por,2905
P4967,prerequisite,requirement,Voraussetzung,Erfordernis,prerrequisito,prérequis,condition préalable,condición necesaria,191
P552,handedness,dominant hand,Händigkeit,dominante Hand,lateralidad,latéralisation,latéralité,mano,2257
P1557,manifestation of,realization of,Manifestation von,verkörpert,manifestación de,manifestation de,réalisation de,realización de,2120
P789,edibility,palatiblity,Essbarkeit,Ge­nießbarkeit,comestibilidad,comestibilité,appétence,palatabilidad,792
P4032,reviewed by,examined by,überprüft von,untersucht von,revisado por,examiné par,vérifié par,verificado por,510
P144,based on,derived from,basiert auf,Kopie von,basado en,basé sur,dérivé de,basada en,52294
P50,author,written by,Autor,Verfasser,autor,auteur,romancier,autora,22762513
P1268,represents,stands for,repräsentiert,steht für,representa,représente,organisation représentée,organización representada,5411
P5021,assessment,examination,abgelegte Prüfung,Prüfung abgelegt,examen realizado,examen ou concours effectué,examen effectué,examen efectuado,25144
P1346,winner,won by,Sieger,Gewinner,ganador,vainqueur,vainqueur de l'événement,ganadores,246743
P2384,statement describes,statement about,Aussage beschreibt,Aussage über,declaración describe,formule décrivant,déclaration décrit,afirmación describe,197
P248,stated in,source of claim,nachgewiesen in,steht in,afirmado en,affirmé dans,source originale,declarado en,785
P887,based on heuristic,heuristically based on,basierend auf Heuristik,heuristisch basierend auf,basado en la heurística,déterminé par l'heuristique,heuristique,basado en heurística,1
P9192,sensors,detector,Sensoren,Sensor,sensores,capteur intégré,capteur,detector,174
P6291,advertises,promotes,bewirbt,fördert,publicita,promeut,loue,sirve de publicidad para,866
P1593,defender,attorney,Verteidiger,Rechtsanwalt,defensor,défenseur,avocat,defensora,278
P4791,commanded by,has commander,befohlen von,Kommandant,comandado por,commandé par,commandant,comandante,3546
P175,performer,played by,Interpret,Interpretin,intérprete,interprète,interprète musical,artista musical,499822
P937,work location,working at,Wirkungsort,Arbeitsort,lugar de trabajo,lieu de travail,lieu d'activité,ubicación de trabajo,339031
P8956,compatible with,supports,kompatibel mit,unterstützt,compatible con,compatible avec,supporte,apoya,222
P610,highest point,zenith,höchster Punkt,höchster Berg,punto más alto,point culminant,point le plus haut,punto más elevado,5503
P807,separated from,seceded from,abgetrennt von,Abspaltung von,separado de,séparé de,scission de,separada de,2321
P737,influenced by,has influence,beeinflusst von,Einflüsse,influenciado por,influencé par,a de l'influence,han influido,18552
P1830,owner of,owns,Inhaber von,Eigentümer von,propietario de,propriétaire de,possède,propietaria de,45238
P162,producer,produced by,Produzent,Filmproduzent,productor,producteur,produit par,productor discográfico,181055
P86,composer,composed by,Komponist,Komposition,compositor,compositeur ou compositrice,compositrice,compuesto por,188471
P7047,enemy of,opponent of,Feind von,Gegner von,enemigo de,ennemi de,opposant de,oponente de,3809
P8627,closing time,closes at,Schließzeit,geschlossen um,hora de cierre,heure de fermeture,moment de fermeture,cierra a,7
P2770,source of income,income source,Herkunft des Einkommens,Einkommensherkunft,fuente de ingreso,source de revenu,Origine du revenu,fuente de renta,500
P4794,season starts,season begins,Saisonstart,Saisonbeginn,inicio de la temporada,début de la saison,la saison commence,comienzo de la temporada,2049
