id,en,es,fr,de
P1532,country for sport,nacionalidad deportiva,pays de nationalité sportive,Land (Sport)
P65,site of astronomical discovery,lugar de descubrimiento astronómico,lieu de découverte astronomique,astronomischer Entdeckungsort
P1809,choreographer,coreógrafo,chorégraphe,Choreograf
P522,type of orbit,tipo de órbita,type d'orbite,Umlaufbahn
P344,director of photography,director de fotografía,directeur de la photographie,Kameramann
P2560,GPU,GPU,GPU,GPU
P2319,elector,elector,électeur,Wahlleute
P500,exclave of,exclave de,exclave de,Exklave von
P407,language of work or name,idioma de la obra o del nombre,"langue de l'œuvre, du nom ou du terme","Sprache des Werks, Namens oder Begriffes"
P1981,FSK film rating,clasificación FSK,classification de film FSK,FSK-Altersfreigabe
P489,currency symbol description,descripción del símbolo de divisa,description du symbole monétaire,Währungssymbol (Beschreibung)
P2396,image of function,imagen de la función,image d'une application,Bildmenge
P1454,legal form,forma jurídica,forme juridique,Rechtsform
P467,legislated by,legislado por,législateur,verabschiedet durch
P795,located on linear feature,situado a lo largo de,situé le long de,befindet sich entlang
P375,space launch vehicle,vehículo de lanzamiento espacial,lanceur,Trägerrakete
P7327,OFLC classification,clasificación OFLC,classification OFLC,OFLC-Einstufung
P2363,NMHH film rating,clasificación NMHH,classification de film NMHH,NMHH-Altersfreigabe
P3349,designed to carry,diseñado para transportar,conçu pour transporter,transportiert
P2500,league level below,liga inferior,ligue inférieure,niedrigere Liga
P1372,binding of software library,binding de biblioteca software,liaison de la bibliothèque,Sprachanbindung für
P2851,payment types accepted,métodos de pago aceptados,méthode de paiement acceptée,akzeptierte Zahlungsarten
P264,record label,sello discográfico,label discographique,Plattenlabel
P1312,has facet polytope,faceta del politopo,polytope de facette,Facette des Polytops
P5102,nature of statement,naturaleza de la declaración,nature de la déclaration,Art der Behauptung
P8625,bibliography,bibliografía,bibliographie,Bibliographie
P2098,substitute/deputy/replacement of office/officeholder,suplente del cargo,suppléant de la fonction,Vize-Amt
P736,cover art by,artista de la portada,auteur de la couverture ou de la pochette,Covergestalter
P6112,category for members of a team,categoría para miembros de un equipo,catégorie pour les membres de cette équipe,Kategorie für Vereinsmitglieder
P2820,cardinality of this set,cardinalidad de este conjunto,cardinalité de cet ensemble,Mächtigkeit dieser Menge
P9071,character type,tipo de personaje,personnage type,Charaktertypus
P770,cause of destruction,causa de destrucción,cause de la destruction,Grund der Zerstörung
P1393,proxy,apoderado,fondé de pouvoir,Bevollmächtigte
P1170,transmitted signal type,señal transmitida,signal transmis,übertragenes Signal
P2821,by-product,subproducto,sous-produit,Nebenprodukt
P647,drafted by,convocado por,repêchage par,gedraftet durch
P531,diplomatic mission sent,misión diplomática enviada,mission diplomatique envoyée,diplomatische Vertretung
P6338,colorist,colorista,coloriste,Colorist
P4743,animal breed,raza animal,race animale,Tierrasse
P1313,office held by head of government,cargo ocupado por el jefe de gobierno,poste occupé par le chef de l'exécutif,oberstes Regierungsamt
P3037,spatial reference system,sistema de referencia espacial,système de coordonnées,Koordinatenbezugssystem
P7045,chassis,chasis,châssis,Fahrgestell
P1026,academic thesis,tesis académica,thèse académique,Hochschulschrift
P7261,use restriction status,restricción de uso,restrictions d'utilisation,Status der Verwendungsbeschränkung
P5460,grants,confiere,diplôme ou distinction délivré,verleiht akademischen Grad
P6149,running mate,candidato a la vicepresidencia,candidat à la vice-présidence,Mitkandidat
P1878,Vox-ATypI classification,clasificación Vox-ATypI,classification Vox-Atypi,Formenklassifikation nach Vox
P5023,activity policy in this place,actividad reglamentada en este lugar,politique réglementaire en vigueur sur place,Verhaltensanweisung für den Ort
P4745,is proceedings from,actas de,actes de,ausgehend von
P2629,BBFC rating,clasificación BBFC,classification BBFC,BBFC-Freigabe
P3161,has grammatical mood,tiene como modo gramatical,a comme mode grammatical,hat grammatische Stimmung
P78,top-level Internet domain,dominio de Internet de nivel superior,domaine internet,Top-Level-Domain
P3306,ICAA rating,calificación del ICAA,classification ICAA,ICAA-Filmbewertung
P4312,camera setup,posición de cámara,position de caméra,Filmkameraaufbau
P8791,digitised by,digitalizado por,numérisé par,digitalisiert von
P1194,received signal type,señal recibida,signal capté,empfangenes Signal
P2095,co-driver,copiloto,copilote,Beifahrer
P783,hymenium type,tipo de himenio,type d'hyménium,Hymenium
P537,twinning,macla,macle,Verzwilligung
P720,asteroid spectral type,tipo espectral de asteroide,type spectral de l'astéroïde,Spektraltyp des Asteroiden
P658,tracklist,lista de canciones,liste des chansons,Titelliste
P991,successful candidate,elegido,élu,erfolgreicher Kandidat
P2238,official symbol,símbolo oficial,symbole officiel,offizielles Symbol
P2674,next crossing downstream,próximo cruce río abajo,prochain franchissement en aval,nächste Querung flussabwärts
P8324,funder,financiador,financeur,Stifter
P2701,file format,formato de archivo,format de fichier,Dateiformat
P3771,activator of,activador de,activateur de,Aktivator von
P5024,choral conductor,director de coro,chef de chœur,Chorleiter
P7108,location of the point of view,lugar del punto de vista,position du point de vue,Standort des Beobachters
P1780,school of,escuela de,école de,Schule
P1340,eye color,color de ojos,couleur des yeux,Augenfarbe
P1302,primary destinations,destinos principales,principales localités desservies,Hauptorte
P8047,country of registry,país de registro de navío,État pavillon,Land des Schiffsregistereintrags
P6216,copyright status,estatus de los derechos de autor,statut des droits d'auteur,Urheberrechtsstatus
P928,activating neurotransmitter,neurotransmisor activador,neuro-transmetteur activateur,aktivierender Neurotransmitter
P6568,inscription mentions,mención de la inscripción,mention sur l'inscription,Inschrift erwähnt
P1876,vehicle,nave,vaisseau,Fahrzeug
P3816,film script,guion cinematográfico,scénario,Drehbuch
P2378,issued by,emitido por,délivré par,ausgestellt von
P3195,league points system,sistema de puntos del campeonato,système de point de la ligue,Punktesystem der Liga
P841,feast day,día de festividad,fête,Gedenktag
P4599,monomer of,monómero de,monomère de,Monomer von
P2848,Wi-Fi access,wifi,accès Wi-Fi,WLAN
P608,exhibition history,historial de exposiciones,exposition,Ausstellungen
P2822,by-product of,subproducto de,sous-produit de,Nebenprodukt von
P414,stock exchange,bolsa de valores,place de cotation,Börse
P4424,mandates,requiere,demande,benötigt
P518,applies to part,se aplica a,s'applique à,betroffener Teil des Subjekts
P6439,has lyrics,tiene la letra de,paroles provenant de,Liedtext
P3716,social classification,estatus social,statut social ou civil,gesetzlicher sozialer Status
P7767,serving temperature,temperatura de servido,température de service,Serviertemperatur
P412,voice type,tesitura,tessiture,Stimmlage
P289,vessel class,clase de navío,type de vaisseau,Schiffsklasse
P707,satellite bus,bus satelital,module de service,Satellitenbus
P505,general manager,director general,manager général,Generaldirektor
P369,Sandbox-Item,elemento de prueba,bac à sable - élément,Spielwiese: Datenobjekt
P6365,member category,categoría de miembros,catégorie pour les membres,Kategorie für Mitglieder
P1001,applies to jurisdiction,pertenece a la jurisdicción,ressort territorial,gehört zum Zuständigkeitsbereich
P2499,league level above,liga superior,ligue supérieure,höhere Liga
P6886,writing language,lengua(s) de escritura,langues d'écriture (pour les auteurs publiés seulement),geschriebene Sprache
P1221,compressor type,tipo de compresor,type de compresseur,Kompressortyp
P1002,engine configuration,configuración del motor,architecture du moteur,Motorbauform
P3842,located in present-day administrative territorial entity,ubicado en la entidad territorial administrativa actual,entité territoriale administrative actuelle,liegt in der heutigen Verwaltungseinheit
P693,cleavage,exfoliación,clivage,Spaltbarkeit
P1777,manner of,a la manera de,à la manière de,nach Art von
P1574,exemplar of,ejemplar de,exemplaire de,Exemplar von
P1387,political alignment,posición política,position politique,politische Ausrichtung
P4149,conjugate base,base conjugada,base conjuguée,konjugierte Base
P5444,model year,año del modelo,année modèle,Modelljahr
P91,sexual orientation,orientación sexual,orientation sexuelle,sexuelle Orientierung
P30,continent,continente,continent,Kontinent
P2515,costume designer,diseñador de vestuario,costumier,Kostümbildner
P2577,admissible rule in,regla admisible en,admissible en,gültige Regel in
P2550,recording or performance of,grabación o ejecución de,enregistrement ou interprétation de,Aufnahme oder Ausführung von
P2647,source of material,origen del material,source du matériau,Herkunft des Materials
P611,religious order,orden religiosa,ordre religieux,Ordensgemeinschaft
P2541,operating area,área de operación,zone opérationnelle,Versorgungsgebiet
P1754,category related to list,categoría relacionada con la lista,catégorie relative à la liste,Kategorie in Bezug auf Liste
P3294,encoding,codificación,encodage,Kodierung
P54,member of sports team,miembro del equipo deportivo,membre de l'équipe de sport,Mitglied von Sportteam oder -verein
P479,input method,dispositivo de entrada,périphérique d'entrée,Eingabegerät
P6885,historical region,región histórica,région historique,historische Region
P1533,family name identical to this given name,apellido idéntico a este nombre,nom de famille identique à ce prénom,Familienname identisch zu diesem Vornamen
P417,patron saint,santo patrón,saint patron,Patron
P837,day in year for periodic occurrence,día del año de una ocurrencia periódica,jour de l'année,Jahrestag
P2058,depositary,depositario,dépositaire,Depositar
P110,illustrator,ilustrador,illustrateur,Illustrator
P541,office contested,cargo que elige,poste en jeu,zur Wahl stehendes Amt
P588,coolant,refrigerante,réfrigérant,Kühlmedium
P1576,lifestyle,estilo de vida,style de vie,Lebensstil
P609,terminus location,punto final,localisation de l'extrémité,Endstelle (Standort)
P1558,tempo marking,indicación de tempo,indication de tempo,Tempoangabe
P1774,workshop of,taller de,atelier de,Werkstatt von
P2747,Filmiroda rating,Clasificación Filmiroda,classification Filmiroda,Filmiroda-Altersfreigabe
P931,place served by transport hub,ciudad asociada,localité desservie par cette infrastructure de transport,"Ort, der vom Verkehrsknotenpunkt bedient wird"
P543,oath made by,juramento tomado por,serment prêté par,Eid abgeleistet von
P3493,legal status (medicine),estatus jurídico del medicamento,statut légal (médicament),rechtlicher Status des Medikaments
P504,home port,puerto de origen,port d'attache,Heimathafen
P5304,type locality (biology),localidad tipo (biología),localité type,zoologische Typlokalität
P511,honorific prefix,prefijo honorífico,titre honorifique,ehrende Anrede
P8127,tournament format,formato de torneo,format du tournoi,Turnierformat
P9237,reissue of,reedición de,réédition de,Wiederveröffentlichung
P4908,season,temporada,saison,Staffel
P1199,mode of inheritance,modo de herencia,mode de transmission,Vererbungsgang
P6166,quotes work,cita la obra,cite l'œuvre,wörtlich zitiertes Werk
P193,main building contractor,constructor,maître d'œuvre,Generalbauunternehmer
P1917,posttranslational modification association with,modificación postraduccional,modification translationnelle en association avec,posttranslationale Modifikation assoziiert mit
P1906,office held by head of state,cargo ocupado por el jefe de Estado,fonction occupée par le chef d'État,Amtsbezeichnung des Staatsoberhaupts
P945,allegiance,lealtad,allégeance envers,Treuepflicht
P408,software engine,motor,moteur logiciel,Engine
P5185,grammatical gender,género gramatical,genre grammatical,grammatikalisches Geschlecht
P4647,location of first performance,lugar de primera representación,lieu de la première représentation,Ort der Uraufführung oder Erstausstrahlung
P1079,launch contractor,contratista del lanzamiento,service de lancement,Raketenstart-Auftragnehmer
P1399,convicted of,condenado por,condamné pour,verurteilt wegen
P114,airline alliance,alianza aérea,alliance aérienne,Luftfahrtallianz
P512,academic degree,grado académico,diplôme universitaire,akademischer Grad
P8706,ritual object,objeto ritual,objet rituel,Ritualobjekt
P3279,statistical leader,líder estadístico,auteur de la meilleure performance,Erster in einer Statistik
P2365,Roman cognomen,cognomen,cognomen,römisches Cognomen
P4220,order of battle,orden de batalla,ordre de bataille,Schlachtordnung
P5514,accredited by,acreditación,accrédité par,akkreditiert von
P2501,results,resultados,classement,Klassement
P735,given name,nombre de pila,prénom,Vorname
P126,maintained by,mantenido por,maintenance assurée par,Betreuer
P1408,licensed to broadcast to,licenciado para emitir en,ville de licence,Sendelizenz in
P5137,item for this sense,elemento para este sentido,élément pour ce sens,Objekt für diesen Sinn
P5009,complies with,conforme a,est conforme à,erfüllt
P1437,plea,declaración de culpabilidad,plaidoyer,Plädoyer der Verteidigung
P423,shooting handedness,mano para tirar,tir (gauche/droite),Schusshand (links/rechts)
P8626,opening time,hora de apertura,heure d'ouverture,Öffnungszeit
P533,target,objetivo,cible,Angriffsziel
P2564,Köppen climate classification,clima,classification du climat de Köppen,Köppen-Geiger-Klimaklassifikation
P8193,hardiness of plant,rusticidad de la planta,rusticité de la plante,Winterhärte der Pflanze
P7782,category for ship name,categoría para el nombre de un barco,catégorie pour le nom d'un bateau,Commons-Kategorie für den Schiffsnamen
P306,operating system,sistema operativo,système d'exploitation,Betriebssystem
P816,decays to,se desintegra en,se désintègre spontanément en,zerfällt zu
P2291,charted in,clasificado en,classé dans,Chartplatzierung
P1912,gene deletion association with,supresión asociada con,suppression associée avec,Gendeletion assoziiert mit
P1383,contains settlement,núcleo de población,contient la localité,enthält Siedlung
P2849,produced by,producido por,produit par,produziert durch
P21,sex or gender,sexo o género,sexe ou genre,Geschlecht
P682,biological process,proceso biológico,processus biologique,biologischer Prozess
P6758,supported sports team,equipo deportivo apoyado,supporter de,unterstützt Sportmannschaft
P5817,state of use,estado de uso,état d'usage,Nutzungszustand
P2371,FAO risk status,estado de riesgo FAO,statut FAO,FAO-Bewertung
P5059,modified version of,versión modificada de,version modifiée de,modifizierte Version von
P3005,valid in place,válido en,valide en/à,gilt für Ort
P3643,significant environmental impact,impacto ambiental significativo,problème environnemental,Einfluss auf die Umwelt
P655,translator,traductor,traducteur,Übersetzer
P8196,voting system,sistema de votación,système de vote,Abstimmungssystem
P1840,investigated by,investigado por,investigué par,untersucht von
P2784,Mercalli intensity scale,escala de Mercalli,échelle de Mercalli,Mercalliskala
P9652,personality trait of fictional character,rasgo de personalidad del personaje,trait de personnalité d'un personnage fictif,Persönlichkeitseigenschaft der fiktiven Figur
P5307,display technology,tecnología de visualización,technologie d'affichage,Anzeigetechnik
P5422,has pattern,patrón decorativo,motif décoratif,hat dekoratives Muster
P4321,best combative classification,Clasificación de la combatividad,classement du meilleur combatif,kämpferischster Fahrer
P912,has facility,instalaciones,équipement,verfügt über Einrichtung
P3156,Australian Classification,clasificación ACB,classification australienne,australische Klassifikation
P3967,final event,evento final,événement final,Finale
P7377,tussenvoegsel,tussenvoegsel,tussenvoegsel,Tussenvoegsel
P3014,laws applied,leyes aplicadas,lois appliquées,angewendete Gesetze
P6978,Scandinavian middle family name,nombre intermedio escandinavo,nom de famille intermédiaire scandinave,Skandinavischer mittlerer Familienname
P4634,premiere type,tipo de estreno,type de première,Erstaufführungstyp
P1192,connecting service,servicio de conexión,service de transport,Linienangehörigkeit
P8031,perpetrator,perpetrador,perpétrateur,Täter
P3876,category for alumni of educational institution,categoría para las personas que estudiaron en esta institución,catégorie pour les personnes ayant étudié dans cet établissement,Kategorie für Absolventen einer Bildungseinrichtung
P4379,youth wing,organización juvenil,section de jeunesse,Jugendorganisation
P4101,dissertation submitted to,disertación presentada en,organisme de soutenance,Abschlussarbeit eingereicht bei
P2563,superhuman feature or ability,superpoder,super-pouvoir,übermenschliche Eigenschaft oder Fähigkeit
P2360,intended public,público objetivo,audience cible,Zielgruppe
P5607,located in the ecclesiastical territorial entity,situado en la entidad administrativa eclesiástica,circonscription ecclésiastique,liegt in der religiösen Verwaltungseinheit
P2839,gait,andadura,allure,Gangart
P7084,related category,categoría relacionada,catégorie liée,verwandte Kategorie
P57,director,director,réalisateur ou metteur en scène,Regisseur
P7604,supervised by,supervisor,encadrant,Vorgesetzter
P2922,month of the year,mes del año,mois de l'année,Monat des Jahres
P5970,Medierådet rating,calificación Medierådet,classement Medierådet,Medierådet-Einstufung
P880,CPU,CPU,processeur,CPU
P2408,set in period,época de ambientación,époque de l'action,Zeit der Handlung
P2239,first aid measures,primeros auxilios,premiers secours,Erste-Hilfe-Maßnahmen
P1637,undercarriage,tren de aterrizaje,train d'atterrissage,Fahrwerk
P560,direction,dirección,direction,Richtung
P6241,collection creator,creador de colección,producteur d'archives,Sammlungsgründer
P3015,backup or reserve team or crew,equipo de reserva,équipe ou équipage de réserve,Ersatzmannschaft
P2846,wheelchair accessibility,accesibilidad para silla de ruedas,accessibilité aux fauteuils roulants,Rollstuhlzugänglichkeit
P1596,penalty,condena,condamnation,Strafe
P881,type of variable star,tipo de estrella variable,type d'étoile variable,Typ des veränderlichen Sterns
P2756,EIRIN film rating,clasificación EIRIN,classification EIRIN d'un film,EIRIN-Filmbewertung
P5131,possible medical findings,hallazgos médicos posibles,observation médicale possible,mögliche medizinische Befunde
P2379,deprecated in version,obsoleto desde la versión,obsolète depuis la version,Veraltet in Version
P4387,update method,método de actualización,méthode de mise à jour,Aktualisierungsmethode
P5030,talk show guest,invitado de un talk show,invité d'une émission,Talkshowgast
P2341,indigenous to,nativo de,autochtone de,einheimisch
P6106,uses capitalization for,usa mayúsculas para,utilise les majuscules pour,verwendet Großschreibung für
P4132,linguistic typology,tipología lingüística,typologie linguistique,Sprachtypologie
P8938,artistic director,director artístico de una organización,directeur artistique d'une organisation,Künstlerischer Leiter
P1027,conferred by,conferido por,décerné par,verliehen von
P4070,identifier shared with,identificador compartido con,identifiant partagé avec,teilt Identifikator mit
P3019,railway signalling system,sistema de señalización ferroviaria,système de signalisation ferroviaire,Zugsicherungssystem
P785,hymenium attachment,accesorios del himenio,type d'attache de l'hyménium,Anhaftung des Hymeniums
P941,inspired by,inspirado por,inspiré de,inspiriert von
P1877,after a work by,inspirado en la obra de,d'après une œuvre de,nach einem Werk von
P4969,derivative work,obra derivada,œuvre dérivée,Bearbeitung
P9239,affiliated worker organisation,sindicato afiliado,organisation de travailleurs affiliés,Gewerkschaft im Betrieb
P6658,RCQ classification,Clasificación RCQ,classification RCQ,RCQ-Klassifizierung
P6440,maintenance method,método de mantenimiento,méthode d'entretien,Instandhaltung
P579,IMA status and/or rank,estatus IMA,statut IMA,IMA-Status
P3969,signed form,forma gestual,forme signée,lautsprachbegleitende Gebärden
P6237,real estate developer,promotor inmobiliario,promoteur immobilier,Immobilienentwickler
P6718,music video,videoclip,clip video,Musikvideo
P92,main regulatory text,texto regulador principal,principal texte régulateur,Rechtsgrundlage
P520,armament,armamento,armement,Bewaffnung
P922,magnetic ordering,ordenamiento magnético,effet magnétique,magnetische Ordnung
P5028,sound designer,diseñador de sonido,designer sonore,Tondesigner
P925,presynaptic connection,conexión presináptica,connexion présynaptique,präsynaptische Verbindung
P4844,research intervention,intervención de investigación,variable de recherche,Forschungsintervention
P205,basin country,país de la cuenca,pays souverain sur le bassin versant,Anrainerstaat
P8111,recommended unit of measurement,unidad de medida recomendada,unité de mesure recommandée,empfohlene Maßeinheit
P943,programmer,programador,programmeur,Programmierer
P8744,economy of topic,economía del sujeto,économie du sujet,Wirtschaft des Themas
P3773,antagonist of,antagonista de,antagoniste de,Antagonist zu
P7727,legislative committee,comité legislativo,comité législatif,Legislativkomitee
P1028,donated by,donado por,donné par,gestifted von
P8225,is metaclass for,es una metaclase para,est une métaclasse pour,Metaklasse für
P3452,inferred from,deducido de,déduit de,abgeleitet von
P447,review score by,calificado por,noté par,bewertet von
P7086,start grade,grado inicial,plus bas niveau scolaire,niedrigste Klassenstufe
P6224,level of description,nivel de descripción,niveau de description,Verzeichnungsstufe
P2392,teaching method,método de enseñanza,méthode pédagogique,Lehrmethode
P2817,appears in the heritage monument list,aparece en la lista de los monumentos clasificados,apparaît dans la liste des monuments classifiés,ist in der Kulturdenkmal-Liste
P2596,culture,cultura,culture,Kultur
P468,dan/kyu rank,rango dan/kyu,grade dan/kyu,Dan/Kyū-Rang
P1478,has immediate cause,causa inmediata,a pour cause immédiate,hat unmittelbare Ursache
P1018,language regulatory body,institución de normalización,institution de normalisation,Kontrollorgan der Sprache
P485,archives at,archivado en,archivé par,archiviert in
P2507,corrigendum / erratum,fe de erratas,erratum,Errata
P2912,distinctive jersey,maillot distintivo,maillot distinctif,Wertungstrikot
P7573,IFCO rating,Clasificación IFCO,classification IFCO,IFCO-Freigabe
P3310,muscle action,acción muscular,action du muscle,Bewegungstyp des Muskels
P6855,emergency services,servicios de emergencia,accueil et traitement des urgences,Notfalleinrichtungen
P2974,habitat,hábitat,habitat,Habitat
P3301,broadcast by,transmitido por,diffusé par,ausgestrahlt von
P1654,wing configuration,configuración alar,configuration d'aile,Flügelanordnung
P2681,is recto of,es recto de,est le recto,ist Vorderseite von
P1568,definition domain,dominio,domaine de définition,Definitionsmenge
P5236,prime factor,factor primo,facteur premier,Primfaktor
P2964,right to vote,derecho de voto,corps électoral,Wahlrecht
P4952,safety classification and labelling,clasificación y etiquetado de seguridad,classification et étiquettage de sécurité,Sicherheitseinstufung und -kennzeichnung
P3490,muscle origin,origen del músculo,origine du muscle,Muskelursprung
P916,GSRR rating,clasificación GSRR,cote GSRR,GSRR-Altersfreigabe
P1137,fossil found in this unit,taxones identificados,fossiles trouvés,Fossilien dieser Einheit
P97,noble title,título nobiliario,titre de noblesse,Adelstitel
P1136,solved by,resuelto por,résolu par,Gelöst von
P1851,input set,conjunto de entrada,ensemble de départ,Eingabemenge
P16,transport network,red de transporte,réseau de transport,Straßennetz
P1622,driving side,lado de conducción,conduite à,Fahrseite
P4082,captured with,tomada con,pris avec,aufgenommen mit
P5025,gens,gens,gens,gens
P1897,highest note,nota más alta,note la plus haute,höchste Note
P3093,recovered by,recuperado por,récupéré par,zurückerlangt von
P4661,reservoir created,embalse creado,lac de barrage,dadurch gebildeter Stausee
P550,chivalric order,orden de caballería,ordre de chevalerie,Ritterorden
P1202,carries scientific instrument,instrumentos científicos a bordo,instruments embarqués,mitgeführtes wissenschaftliches Gerät
P868,foods traditionally associated,alimentos tradicionalmente asociados,nourriture traditionnellement associée,Traditionsgericht
P437,distribution format,distribución,format de distribution,Materialart/Vertriebsweg
P1171,approximation algorithm,algoritmo de aproximación,approximé par,Approximationsalgorithmus
P1853,blood type,grupo sanguíneo,groupe sanguin,Blutgruppe
P3148,repeals,revoca,abroge,hebt auf
P3259,intangible cultural heritage status,estatus de un elemento del patrimonio inmaterial,statut d'un élément du patrimoine immatériel,Status des immateriellen Kulturerbes
P6153,research site,sitio de investigación,site de recherche,Forschungsort
P5642,risk factor,factor de riesgo,facteur de risque,Risikofaktor
P1406,script directionality,dirección de la escritura,sens de l'écriture,Schreibrichtung
P4878,symbolizes,simboliza,symbolise,symbolisiert
P3815,volcano observatory,observatorio vulcanológico,observatoire volcanologique,Vulkanobservatorium
P5072,presented in,presentado en,présenté à,aufgeführt bei
P3919,contributed to creative work,contribuyó en la obra publicada,a contribué à une œuvre publiée,Mitarbeit an Publikationen
P5658,railway traffic side,sentido de circulación de trenes,sens de circulation des trains,Fahrordnung
P9883,created for,creado para,créé(e) pour,gemacht für
P811,academic minor,especialización académica secundaria,seconde spécialité d'études,Nebenfach im Studium
P19,place of birth,lugar de nacimiento,lieu de naissance,Geburtsort
P4320,mountains classification,Clasificación de la montaña,classement de la montagne,Bergwertung
P501,enclave within,enclave en,enclavé dans,Enklave in
P8258,field of training,campo de estudios profesionales,domaine d'études professionnelles,Fach der Fachausbildung
P3415,start period,periodo inicial,période de début,Startperiode
P9714,taxon range,ámbito de distribución,aire de répartition,Verbreitungsgebiet
P5133,has evaluation,tiene evaluación,a pour évaluation,hat Auswertung
P3091,mount,montura,monture,Reittier
P3440,time signature,compás musical,chiffrage de mesure,Taktart
P1429,has pet,animal de compañía,animal de compagnie,hat Haustier
P3938,named by,acuñado por,dénommé par,benannt durch
P6087,coach of sports team,entrenador de,équipe sportive entraînée,Trainer von Sportteam oder -verein
P3871,tributary orientation,orientación del tributario,rive de confluence,Richtung als Nebenfluss
P3082,destroyed,ha destruido,détruit,zerstört
P1591,defendant,imputado,défendeur,Angeklagter
P2377,MediaWiki hooks used,hooks de MediaWiki utilizados,point d'entrée Mediawiki,MediaWiki-Hook genutzt
P642,of,de,de,von
P1703,is pollinated by,polinización,pollinisé par,bestäubt durch
P2321,general classification of race participants,clasificación general,classement général,Gesamtwertung
P6195,funding scheme,método de financiamiento,plan de financement,Fördertopf
P3780,active ingredient in,es el principio activo en,est le principe actif dans,Wirkstoff in
P2414,substrate of,sustrato de,substrat de,Substrat von
P4000,has fruit type,tipo de fruto,type de fruit,Fruchttyp
P2746,production statistics,estadísticas de producción,statistiques de production,Produktionsstatistik
P4600,polymer of,polímero de,polymère de,Polymer aus
P4444,reward,recompensa,récompense,Prämie
P3858,route diagram,diagrama de la ruta,modèle Wikipédia pour le diagramme du tracé,Strecken-Diagramm
P2852,emergency phone number,teléfono de emergencia,numéro d'appel d'urgence,Notrufnummer
P834,train depot,terminal ferroviario,dépôt ferroviaire,Zug-Depot
P702,encoded by,codificado por,codé par,codiert von
P9899,music created for,música creada para,musique créée pour,Musik gemacht für
P2831,totem,tótem,totem,Totem
P7643,covered period,periodo cubierto,période couverte,betroffene Epoche
P2682,is verso of,es verso de,est le verso,ist Rückseite von
P660,EC enzyme classification,clasificación EC,classification EC,EC-Klassifikation
P2279,ambitus,ámbito,ambitus,Tonumfang
P3096,KML file,archivo KML,fichier KML,KML-Datei
P1321,place of origin (Switzerland),lugar de origen (Suiza),lieu d'origine (Suisse),Heimatort (Schweiz)
P8203,supported metadata,metadatos admitidos,métadonnées prises en charge,Unterstützte Metadaten
P9700,delta of,delta de,delta de,Flussdelta von
P9597,type of lens,tipo de lente,type de lentille optique,Linsentyp
P545,torch lit by,antorcha encendida por,flamme allumée par,Flamme entzündet von
P4151,game mechanics,sistema de juego,système de jeu,Spielmechanik
P2869,record or record progression,récord de la disciplina,record de la discipline,Rekord oder Rekordverlauf
P725,voice actor,actor de voz,comédien de doublage,Sprecher
P6962,narrative motif,tópico literario,motif narratif,literarisches Motiv
P1620,plaintiff,demandante,demandeur,Kläger
P6840,student organization of,organización estudiantil de,organisation étudiante de,Studentenorganisation von
P397,parent astronomical body,objeto astronómico padre,orbite autour de,übergeordneter astronomischer Körper
P2366,Roman agnomen,agnomen,agnomen,römisches Agnomen
P459,determination method,método de determinación,méthode de détermination,Bestimmungsmethode
P1299,depicted by,representado por,est dépeint par,dargestellt von
P3989,members have occupation,ocupación de los miembros,occupation des membres,Mitglieder haben den Beruf
P7959,historic county,condado histórico,comté historique,historic county
P462,color,color,couleur,Farbe
P2976,patronym or matronym for this name,patronímico o matronímico,patronyme ou matronyme,Patronym oder Matronym
P1776,circle of,círculo de,cercle de,Umkreis von
P128,regulates (molecular biology),proceso biológico regulado,mécanisme biologique,reguliert (Molekularbiologie)
P6540,multi-channel network,red multicanal,réseau multichaîne,Multi-Channel-Network
P5314,property scope,alcance de la propiedad,champ d'application,Anwendungsbereich der Eigenschaft
P241,military branch,rama militar,arme,Teilstreitkraft
P1791,category of people buried here,categoría para las personas enterradas aquí,catégorie pour les personnes enterrées à cet endroit,"Kategorie für Personen, die an diesem Ort begraben sind"
P1064,track gauge,ancho de vía,écartement des rails,Spurweite
P1891,signatory,signatario,signataire,Unterzeichner
P2842,place of marriage,lugar de matrimonio,lieu du mariage,Ort der Eheschließung
P3174,art director,director artístico,directeur artistique,Artdirector
P734,family name,apellido,nom de famille,Familienname
P2429,expected completeness,grado de completitud,degré de complétude,erwartete Vollständigkeit
P421,located in time zone,se encuentra en el huso horario,fuseau horaire,Zeitzone
P6587,league system,sistema de liga,structure pyramidale de la ligue,Ligasystem
P548,version type,tipo de versión,type de version,Entwicklungsstadium (Software)
P3264,radix,base aritmética,base (arithmétique),Grundzahl
P2739,typeface/font used,tipofaz,police d'écriture,Schriftart
P2302,property constraint,restricción de propiedad de Wikidata,contrainte de propriété Wikidata,Eigenschaftseinschränkung
P410,military rank,rango militar alcanzado,grade militaire,militärischer Dienstgrad
P3335,associated hazard,peligro,danger sur place,Gefährdung
P1640,curator,conservador o comisario,conservateur ou commissaire,Kurator
P546,docking port,puerto de atraque o de acople,port d'arrimage,Andockziel
P1046,discovery method,método de descubrimiento,méthode de découverte,Nachweismethode
P942,theme music,tema musical,thème musical,Titelmusik
P8571,external auditor,auditor externo,auditeur comptable,externer Rechnungsprüfer
P8363,study type,tipo de estudio,type d'étude,Studientyp
P2989,has grammatical case,tiene el caso gramatical,a comme cas grammatical,hat grammatischen Fall
