_id,alias,label
P8058,"logo of, flag of, seal of, emblem of",symbol of
P8764,port of call,port calls
P4584,"debut, initial appearance, first episode, first film, introduced in work, appeared first in, present initially in",first appearance
P4446,frequent flyer program,reward program
P551,"lives in, hometown, home town, place of residence, resident of, resided in, resided at, lived in, resident in, has resided in",residence
P641,"sports, sport played, play, plays",sport
P1532,"sporting nationality, sports nationality, sport nationality, sport country, sports country, representative nationality",country for sport
P65,discovery site,site of astronomical discovery
P522,"orbit, orbit type",type of orbit
P9302,"handwriting style, type style, style of script",script style
P5523,PyanxChet,fanqie
P344,"cinematographer, DOP",director of photography
P805,"article, artfor, subject of the claim, subject of the statement, dedicated article, dedicated item, is subject of, subject of, related item of statement, decided by, decided in, decided with",statement is subject of
P2560,graphics processing unit,GPU
P2319,"type of electors, qualified voters, eligible voters",elector
P1889,"different than, different to, is not, distinct from, not the same as, isn't, distinguished from, to be distinguished from, disambiguated from, not same as, confused with, is different from, mistakenly taken for, differs from, differ from, often confused with, rejected match, not to be confused with, ≠, not equal to, is not the same as, do not confuse with, not identical to, different thing from, different entity from, is not same as, different entity than, different thing than",different from
P407,"broadcasting language, audio language, available in, language of work, language of the reference, language of website, language of URL, used language, language of the name, language of name, language of spoken text, named in language, language",language of work or name
P2396,"image, range, function range, function image",image of function
P1454,"type of business entity, legal structure, structured as",legal form
P467,"enacted by, passed by",legislated by
P8745,checkin time,check-in time
P375,"carrier rocket, launch vehicle, rocket used",space launch vehicle
P2363,NMHH movie rating,NMHH film rating
P3349,"cargo, carries, intended to carry, intended cargo, intended payload, design payload",designed to carry
P2500,"relegation to, level below (league)",league level below
P2851,"payment methods accepted, credit cards accepted",payment types accepted
P7137,"acknowledges, has acknowledgment of",acknowledged
P3075,"state religion, established religion",official religion
P264,label,record label
P1312,facet of a polytope,has facet polytope
P726,"electoral candidate, candidate in this election, election has candidate, has election candidate",candidate
P5102,"frequency, nature, condition, status of statement, modality of statement, validity of statement, refine statement",nature of statement
P527,"formed from, formed out of, assembled from, assembled out of, created from, created out of, amalgamation of, set of, consists of, holonym of, parts, comprised of, includes part, has as part, has component, have part, composed of, has ingredient, has ingredients, ingredients, contain, contains, includes, has member, has branch, divided by, incorporates, had part, has parts, has part(s)",has part
P2098,"office of replacement, office of deputy, office of substitute, deputy office, replacement office, substitute office, vice office, vice position",substitute/deputy/replacement of office/officeholder
P736,cover artist,cover art by
P6112,"category for players, category for team members",category for members of a team
P1398,"replacement building, replaces (structure), replaced by (structure)",structure replaces
P9071,"stock character, -dere, dere",character type
P770,"reason of failure, destroyed by",cause of destruction
P1393,"viceroy, regent",proxy
P1170,"transmits, signal transmitted",transmitted signal type
P2821,"byproduct, has by-product, has byproduct, produces by-product, yields by-product, secondary product",by-product
P531,"embassy, resident mission",diplomatic mission sent
P4743,breed,animal breed
P1313,"office of head of government, position of head of government, position held by head of government, title of head of government, head of government's office",office held by head of government
P3037,"SRS, coordinate reference system, CRS",spatial reference system
P1026,"doctoral dissertation, dissertation, thesis, PhD thesis, Ph.D. thesis, Ph. D. thesis, masters thesis, master's thesis, bachelor thesis, bachelor's thesis, undergraduate thesis, B.A. thesis, B.S. thesis, A.B. thesis",academic thesis
P5460,"confers, awards, bestows",grants
P25,"mum, mom, mam, has mother, parent, is son of, is daughter of, is child of, son of, daughter of, child of, mummy",mother
P157,"killer, assassin, murderer, murdered by, executioner, assassinated by, slain by, mortally wounded by, executed by, slaughtered by, shot dead by",killed by
P1878,"font type, typeface variety",Vox-ATypI classification
P4745,"documents event, is conference proceedings from",is proceedings from
P2629,BBFC certificate,BBFC rating
P3161,"mood, grammatical mood, has grammatical mode, mode, grammatical mode",has grammatical mood
P78,"TLD, top level domain, domain, internet domain, gTLD",top-level Internet domain
P8791,"digitized by, scanned by",digitised by
P2095,"codriver, copilot, co-pilot, navigator",co-driver
P466,"tenant, inhabitant, renter, lessee, houses, location of, resident, home team, occupier, occupiers, occupants",occupant
P747,"editions, translation(s), edition, has translation, has edition, version, has version, released as",has edition or translation
P720,spectral type of an asteroid,asteroid spectral type
P658,"track list, track listing, list of tracks, songs, tracks",tracklist
P991,"elected person, winner of election, election winner, elected candidate, elected, election won by",successful candidate
P2238,"official emblem, emblem, floral emblem, symbol, state tartan, official tartan",official symbol
P2674,downstream crossing adjacent,next crossing downstream
P8324,"funded by, donor, has funder, has donor, sponsor, sponsored by, benefactor, financier",funder
P2701,"format, file type, compression format, document format",file format
P115,"ground, home field, arena, home ground, stadium, ballpark, home water, venue",home venue
P5024,choir director,choral conductor
P7108,"location of point of view, view point, point of view, viewpoint location",location of the point of view
P1340,"eyecolor, eyecolour, eye colour, eyes",eye color
P8047,"flag state, flag of convenience, ship's flag",country of registry
P6216,copyright restriction,copyright status
P3342,"notable person, friend, friends, person associated with the subject, associated person, key person, key people, significant people, associated people, sign. person, notable people, relevant person, relevant people, important person, important people, employee",significant person
P928,Ligands,activating neurotransmitter
P5753,"IDSes, IDS",ideographic description sequences
P1876,"orbiter, spaceship, spacecraft, ship, boat, craft, vessel, uses vehicle, used vehicle, vehicle used",vehicle
P7153,"place associated with the subject, sign. place, key place, significant location",significant place
P2378,"assigned by, emitted by, issuing body, issuing agent, assigning body, assigning agent, identifier issuing body, identifier issued by, identifier assigned by",issued by
P5591,"normalised Unicode character, NFC character",normalized Unicode character
P1040,"editor, edited by",film editor
P113,"hub, hub airport",airline hub
P190,"twin town, sister town, twin cities, twin city, partner city, partner town, sister city",twinned administrative body
P1071,"assembly location, place built, place made, location of origin, place of origin, made in, minted at, mint, manufactured in, manufacturing location, location created, creation location, place of production, production place, place of manufacture, location of creation, location of final assembly, created at, written at, place of creation, production location, location of production",location of creation
P3300,"musical director, conductor, choir director, music director, principal conductor",musical conductor
P2848,"wifi, Wi-Fi, WLAN",Wi-Fi access
P608,"salon, exhibited at, shown at, displayed at, shown",exhibition history
P2822,byproduct of,by-product of
P2936,"working languages, working language, languages used, medium of instruction, used language",language used
P7374,student classification,educational stage
P81,"railway line, line connected to, rail line connected to, is on",connecting line
P8500,middle name,Vietnamese middle name
P414,"exchange, listed on, listed on exchange, listed on stock exchange",stock exchange
P4424,"requires, requests",mandates
P518,"valid for part, line item, apply to, applied to, applies to aspect, applies to form, apply to part, in form, when viewed as, of part, limited to part, involved part, for",applies to part
P6439,lyrics that this work has,has lyrics
P3716,"social class, social status",social classification
P112,"co-founder, founders, established by, co-founded by, founder, started by, cofounder, cofounded by",founded by
P170,"artist (non-musical), created by, painter, sculptor, creators, painters, sculptors, made by, created",creator
P412,"vocal type, range of voice, type of voice, register, tessitura, voice category",voice type
P833,"OSI, out of station interchange",interchange station
P289,"ship class, submarine class, spacecraft class, class of vessel, ship type",vessel class
P707,"spacecraft bus, bus",satellite bus
P369,"Sandbox, Sandbox property-item",Sandbox-Item
P1001,"of jurisdiction, linked to jurisdiction, belongs to jurisdiction, jurisdiction, country of jurisdiction, valid in jurisdiction, applies to territorial jurisdiction, applied to jurisdiction, applies to place, applies to area, applies to geographic place, applies to geographic area, applies to region, applicable jurisdiction, applicable geographic place, applicable place, applicable territorial jurisdiction, applicable location, applicable country, applicable area",applies to jurisdiction
P2499,"promotion to, level above (league)",league level above
P108,"employed by, works at, working for, worked for, works for, worked at, working place, working at, organization, organisation",employer
P6886,"writing languages, language for writing, language of writings, languages for writing, languages of writings, language of works, languages of works, language written, languages written",writing language
P2176,"used for treatment, treatment, prescribed drug, treated by",drug or therapy used for treatment
P1002,configuration of engine cylinders,engine configuration
P3842,"today part of, located in present day administrative territorial entity, would today be located in administrative territorial entity, located in the present-day administrative territorial entity, located in the current administrative territorial entity",located in present-day administrative territorial entity
P1365,"forefather, previous job holder, replaced, preceded by, succeeds, predecessor, supersedes, continues from, continues, deprecates",replaces
P1777,"style of, imitator of",manner of
P1574,"includes work, contents, contains work",exemplar of
P797,"executive authority, governing body, governing authority, has authority, has governing body, governed by, issuer, issued by",authority
P22,"dad, daddy, has father, parent, is son of, is daughter of, is child of, son of, daughter of, child of",father
P1387,"political position, alignment",political alignment
P4149,"protonated form of, has conjugate base",conjugate base
P355,"subsidiary company, subsidiary entities, imprint, has imprint, subordinate body, subordinate unit, parent company of, owns, has subsidiary, subsidiary body, subsidiary organization, daughter company, daughter organization",subsidiary
P6,"mayor, prime minister, premier, first minister, head of national government, chancellor, governor, government headed by, executive power headed by, president",head of government
P91,sexuality,sexual orientation
P2550,"recording of, performance of, performance or recording of",recording or performance of
P611,order,religious order
P2541,"area served, area operated, area of responsibility, area of operations, region served, operating region, service area, geographic area operated, geographic region operated, operates in area, operates in geographic area, operates in geographic region, operates in jurisdiction, jurisdiction operated, serves area, serves geographic area, serves geographic region, serves jurisdiction, serves region, geographic area served, geographic region served, jurisdiction served, operates in, serves place, serves location, location served, place of activity, place of operation, operation area",operating area
P1344,"attended, took part, took part in, participated in, competed in, participant of event, takes part, competes in, present at, participant of",participant in
P1754,"list's category, list category, category equivalent to list",category related to list
P54,"member of team, team, played for, teams played for, of team, club played for, player of, part of team, team played for, plays for, sport team",member of sports team
P479,"input, digitiser, input device",input method
P1533,"related surname, related family name, family name identical to this first name, corresponding surname, corresponding family name, surname identical to this given name, surname identical to this first name, last name identical to this first name",family name identical to this given name
P9788,"performance place, performance location, performance venue, gave performance at, location of performance, place of performance, venue of performance",performed at
P837,"day of periodic occurrence, day in year, day, date, recurring event, periodic occurrence, takes place on, takes places during, took place on, take place on",day in year for periodic occurrence
P31,"is a, is an, has class, has type, is a particular, is a specific, is an individual, is a unique, is an example of, member of, unique individual of, distinct member of, unitary element of class, distinct element of, distinct individual member of, rdf:type, type, main type, is a(n), type of, is a type of",instance of
P110,"illustration by, illustrated by, inker, photographer",illustrator
P541,"position contested, contested office, contested position",office contested
P185,"doctoral candidate, supervisee, supervised doctoral student",doctoral student
P1576,"has lifestyle, follows lifestyle, diet",lifestyle
P609,"destination, departure point, from, to, between",terminus location
P1558,"tempo, musical tempo",tempo marking
P1774,studio of,workshop of
P931,"serves city, city served, train station serves",place served by transport hub
P504,homeport,home port
P511,"style prefix, pre-nominal, called, referred to as, honorific title",honorific prefix
P9237,"re-release, repackage, re-edition",reissue of
P4908,"television season, television series, TV season, TV series, series of television program",season
P915,"location of filming, location where filmed, studio where filmed, place of filming, place where filmed, filmed at, shooting location, filming location, film location, shot in, filmed in",filming location
P193,"building contractor, built by, constructed by, builder, main contractor, general contractor, prime contractor",main building contractor
P1906,"state headed by, head of state, position held by head of state",office held by head of state
P945,"fidelity, loyalty",allegiance
P408,"engine of software, game engine, powered by, render engine",software engine
P5185,gender,grammatical gender
P4647,"place of first performance, first performance location, first performance place, first performed at, first broadcasted at",location of first performance
P1079,launch service provider,launch contractor
P1399,"guilty of, found guilty of, conviction",convicted of
P512,"degree, diploma, academic diploma",academic degree
P3279,"statistical leader, record setter, most valuable player, MVP",statistical leader
P406,"has soundtrack album, soundtrack extended play, soundtrack single, soundtrack album, OST",soundtrack release
P2365,cognomen,Roman cognomen
P4220,battle formation,order of battle
P5514,accreditation,accredited by
P735,"forename, first name, personal name, middle name, Christian name, name",given name
P126,"maintenance, administered by, maintainer, custodian, administrator",maintained by
P1408,"city of license, community of license",licensed to broadcast to
P5137,"denotes, sense, means, sense item, item",item for this sense
P1552,"trait, inherent property, attribute, aspect, defining feature, has feature, has characteristic, has property, characterized by, required property, quality, defining parameter, parameter, requirement, defined by",has quality
P5009,"conforms to, built to standard, conforms to standard, complies with standard, standard, technical standard, satisfies standard, specified in, specified by standard",complies with
P423,dominant hand shooting,shooting handedness
P8626,"opening hours, opens at",opening time
P1560,"female version of this male given name, male version of this female given name, gender inflection of given name",given name version for other gender
P533,"military target, target of attack, attack target",target
P7782,Commons category for ship name,category for ship name
P306,OS,operating system
P176,"manufactured by, maker, mfr, built by, builder, made by, producer (of product), product of, provider, provided by, assembler, assembled by",manufacturer
P1383,populated places within,contains settlement
P2849,secreted by,produced by
P21,"gender identity, gender expression, gender, biological sex, man, woman, male, female, intersex, sex",sex or gender
P6569,taxa especially protected in area,taxon especially protected in area
P6758,"fan of sports team, supports sports team, is a fan of team, sports team supported, team supported",supported sports team
P5817,use status,state of use
P2371,FAO status,FAO risk status
P5059,"adaptation of, arrangement of, version of, modification of",modified version of
P3005,"applies to location, valid in location, applies to place, country, true in, valid in territory",valid in place
P655,"translated by, translation by, has translator, is translated by, is translation by",translator
P8196,"electoral system, voting system, type of election",voting system
P9652,"personality trait of fictitious character, fictional character personality trait, fictitious character personality trait, trait of fictional character, trait of fictitious character, personal quality of fictional character, personal quality of fictitious character, fictional character personal quality, fictitious character personal quality, fictional character trait, fictitious character trait, character trait of fictional character, character trait of fictitious character, trait, traits, personality trait, personality",personality trait of fictional character
P9028,CCC clasification,Consejo de Calificación Cinematográfica rating category
P5422,"pattern, motif, decorated with, has decorative pattern",has pattern
P912,"facility, has amenity, amenity, has feature, features",has facility
P3156,"ACB, ACB rating",Australian Classification
P7377,"family name prefix, family name affix",tussenvoegsel
P8045,organised response related to outbreak,organized response related to outbreak
P3014,"law applied, legal base, applied law",laws applied
P1192,halt of,connecting service
P910,"main category, category for this topic, subject category, has category, category, Wikimedia category, Wikipedia category, Wiki category",topic's main category
P3578,sister cell line,autologous cell line
P8031,"criminal, murderer, terrorist, assassin, attacker, torturer, lead by, agressor, perp, culprit, offender, perpetrators, bomber, victimiser, indirect perpetrator, direct perpetrator, criminal perpetrator, thief, robber, killer, suicide bomber, contract killer, spree killer, mass murderer, serial killer, material author, criminals, backpack bomber, domestic terrorist, kidnapper, accomplice, committed by, by, perpetrated by, assailant, wrong-doer",perpetrator
P3876,category for alumnae of educational institution,category for alumni of educational institution
P4379,youth organisation,youth wing
P710,"participants, attendee, player, competitor, party, event participant, agent, belligerents, between, suspect, accused",participant
P4101,"thesis submitted to, submitted to",dissertation submitted to
P2563,"superpower, supernatural abilities, magic",superhuman feature or ability
P2360,"designed for, target group, target market, serving, audience of, for audience of, for market, made for, created for, for, target audience, target demographic, intended audience",intended public
P5607,"Parish, Deanery, Vicariate, located in ecclesiastical territorial entity, ecclesiastical territorial entity",located in the ecclesiastical territorial entity
P57,"directed by, film director, movie director",director
P547,"memorial to, celebrates, in memory of, monument to, honors, honours, in honor of, in honour of, marks, commemorandum",commemorates
P7604,"has supervisor, is supervised by, is supervisee of, supervisee of, supervisor",supervised by
P2922,"month, month of year",month of the year
P793,"key event, key incident, significant incident, notable event, notable incident, major event, big event, main events, fate, outcome, event, known for, significant achievment, sign. event, important event",significant event
P5970,Medieradet,Medierådet rating
P880,"central processing unit, processor",CPU
P2408,"era, set in era, period, set during, narrative period, period covered, narrative time, takes place in time, set in time, setting, time period, features event, significant event, set in, period of setting, period set in, time period of setting, time period set in, era of setting, era set in",set in period
P2239,first aid response,first aid measures
P3032,"located next to, neighboring building, next to",adjacent building
P1637,"landing gear, aircraft landing gear, aircraft undercarriage",undercarriage
P1411,"nominee for, nomination received, nomination to, have nomination to",nominated for
P560,facing,direction
P6241,"creator, archive creator, archive of, archives of, archival collection creator",collection creator
P3015,"backup team, backup crew, reserve team, reserve crew",backup or reserve team or crew
P2846,"accessibility for wheelchair users, disabled accessibility, easy access, step-free access, ADA",wheelchair accessibility
P1596,"judicial sentence, sentence, punishment",penalty
P881,variable type,type of variable star
P2756,EIRIN film rating category,EIRIN film rating
P5131,"medical findings, medical finding",possible medical findings
P885,"river source, stream source, source of a stream, water source, water origin, river head, source of watercourse, origin of the water body, origin of the body of water, water body origin",origin of the watercourse
P1403,protonym,original combination
P3373,"sister, has sister, bro, has brother, brother or sister, sister or brother, sis, sib, siblings, sisters, brother, brothers and sisters, sisters and brothers, has sibling, is sibling of, is the sibling of, brothers, is brother of, is the brother of, is sister of, is the sister of, half-brother, half-sister, half-sibling",sibling
P5804,program committee member,has program committee member
P5030,"show guest, guest, participant in talk show, participant in podcast interview, podcast guest",talk show guest
P2341,"native to, endemic to",indigenous to
P6106,"capitalizes, uses capitalisation for, capitalises",uses capitalization for
P4132,typology,linguistic typology
P1027,"awarded by, bestowed by, given by, granted by, presented by, from, by, degree from, degree conferred by, degree awarded by, officiated by",conferred by
P4070,"ID shared with, shares ID with, shared ID, shares identifier with",identifier shared with
P2127,INES,International Nuclear Event Scale
P3019,"signalling system, signalling type, type of signalling",railway signalling system
P361,"meronym of, section of, system of, subsystem of, subassembly of, merged into, contained within, assembly of, part of-property, merged with, component of, in, within, is part of, subgroup of, collateral branch of, cadet branch of, branch of, element of, chain",part of
P5805,"ISO/OSI Model layer location, OSI layer, OSI Model layer",OSI Model layer location
P941,"source of inspiration, inspiration",inspired by
P971,"combines topics, topics of category, subjects of category, cct, category intersects topics",category combines topics
P1877,"copy of a work by, artist who inspired this, inspiring artist, inspirational artist",after a work by
P4969,"is the basis for, has adaptation, adaptation, adapted as, has derivative, source work of, is source work of, source for, is source for, is source work for, is adapted as, source of adaptation of, has derivative work, has derivation, derived work, has derived work",derivative work
P9239,"union, workers union, trades union, labor union",affiliated worker organisation
P6658,"RCQ, Régie du Cinéma Québécois",RCQ classification
P3969,hand-signed form,signed form
P6718,"song video, videoclip, music clip, MV, has music video",music video
P629,"edition of, version of, translation of",edition or translation of
P92,"legally established by, governing text, governing document, bylaws, by-laws, legal basis, regulated by, statutory authorization, statutory authority, key document, authorizing legislation",main regulatory text
P520,"armed with, weapon, ship armament, wields",armament
P4844,"exposure, intervention, experimental variable, treatment, study intervention, experimental intervention",research intervention
P205,basin countries,basin country
P8111,"unit, unit of measurement, measured in, standard unit of measurement",recommended unit of measurement
P943,"software developer, programmed by",programmer
P1028,"given by, bestowed by, gift from, donation from, donor, gift of",donated by
P8225,"metaclass for, is metaclass of, metaclass of",is metaclass for
P6426,"rights statement, standardized rights statement, RS, rights",RightsStatements.org statement according to source website
P3452,implied by,inferred from
P447,"reviewer, score issuer, publication, scorer",review score by
P40,"son, daughter, kid, has child, children, sons, daughters, kids, has children, has son, has sons, has daughter, has daughters, has kid, has kids, offspring, progeny, issue, parent of, descendants",child
P2596,"civilisation, archaeological culture",culture
P468,"go rank, judo rank, wushu rank, shogi rank, renju rank, kendo rank",dan/kyu rank
P3113,"missing, doesn't have, has part missing, lacks, does not include",does not have part
P1478,"has immediate causes, immediate effect of, immediate result of, immediate outcome of, has proximate cause, has proximate causes, proximate effect of, proximate result of, proximate outcome of, is immediately caused by, is proximately caused by, immediately caused by, proximately caused by, immediate cause",has immediate cause
P706,"takes place in, on geographical feature, on natural feature, is on, is in, location (terrain feature), loc (terr), on, geographical region, terrain feature, located on the terrain feature, located on terrain feature, located on physical feature, landform",located in/on physical feature
P9493,"has artist file at, has artist files at, artist file in, artist files in, has artist file in, has artist files in, artist file held at, artist files held at, artist file held by, artist files held by, artist file at",artist files at
P1018,regulatory body,language regulatory body
P53,"house, royal house, dynasty, noble family",family
P403,"watercourse outflow, watercourse drain, outflow, drain, river mouth, outlet, watercourse ends in, flows into",mouth of the watercourse
P485,"papers at, correspondence at, archive location",archives at
P2507,"corrigendum, errata, erratum, corrigenda, corrected by",corrigendum / erratum
P2912,jersey,distinctive jersey
P3301,"broadcaster, TV channel, TV network, radio channel, radio network, TV station, radio station, streamed by, broadcast on",broadcast by
P2681,verso,is recto of
P1568,"domain, function domain, domain of definition",definition domain
P859,"patron, endorsed by, sponsored by, benefactor",sponsor
P5236,prime factors,prime factor
P2964,suffrage,right to vote
P767,"assistant, contributor, collaborator, contributor(s) to the subject",contributor to the creative work or subject
P916,"CSRR rating, GSRMR rating",GSRR rating
P97,"peerage, title (hereditary), hereditary title, royal title, royal and noble ranks, title of nobility, nobility title",noble title
P16,"system of routes, transport network, routes system, part of network, road type, network, highway system, trail system",transport network
P1622,"drives on the, drive on, traffic side, rule of the road",driving side
P4082,"camera used, photographed with, filmed with, recorded with, camera model, taken with, image captured with, recording device, equipment used",captured with
P98,"compiler, edited by, compiled by, associate editor",editor
P5025,"Roman gens, ancient Roman gens",gens
P3093,"recovery vehicle, recovery group",recovered by
P4661,"lake created, dam created reservoir, creates reservoir, creates lake, impounds",reservoir created
P1202,"scientific equipment, metering equipment",carries scientific instrument
P9566,"nocturnal or diurnal animal, diurnal or nocturnal animal",diel cycle
P437,"media, media type, type of media, form of publication, format, edition, book format, media format, medium, distribution, method of distribution",distribution format
P7309,"normal route, summit trail",climbing route
P127,"is owned by, owner, belongs to, shareholder, stockholder, shareholders, stockholders, owners, provenance, belonged to, is owner of, proprietor",owned by
P1853,blood group,blood type
P3148,"cancels, invalidates, revokes",repeals
P6153,"place researched, where researched, location of research, research location, site of research",research site
P1406,"letter directionality, script direction, letter direction, writing directionality, writing direction, directionality",script directionality
P4878,"a symbol for, symbol for, symbolises",symbolizes
P17,"sovereign state, state, land, host country",country
P3815,"volcano monitored by, eruption monitored by, monitored by",volcano observatory
P6477,"does not have property, does not meet condition, does not have characteristic, lacks quality, lacks property, lacks condition",does not have quality
P5072,screened at,presented in
P3919,"contributor to, contributor, collaborator on, contributed to",contributed to creative work
P5658,handedness of railway traffic,railway traffic side
P9883,"made for, produced for, work created for",created for
P19,"birthplace, born in, POB, birth place, location born, born at, birth location, location of birth, birth city",place of birth
P286,"manager, club manager, senior coach, team manager, coach, coached by, led by, trainer",head coach
P4320,best climber classification,mountains classification
P501,"enclaved by, surrounded by, enclosed by, is enclave within, enitrely surrounded by, entirely enclaved by",enclave within
P3415,since period,start period
P9714,"range, taxon geographic range, geographic range, range of taxon, geographic range of taxon",taxon range
P4675,"transforms into, takes the form of, shapeshifts into, appears as",appears in the form of
P3091,"horse, steed",mount
P3179,"partially contains territorial extent, partly located in territorial entity, partially located in territorial entity, overlaps, partially overlaps, partly overlaps, partially coincident with, partly coincident with",territory overlaps
P206,"on lake, next to lake, located on body of water, on bay, on harbour, on shore of, on the shore of, on the coast of, on coast of, on river, ocean, sea, lake, bay, located next to body of water, loc (water), body of water, borders body of water, water next to the subject, along river",located in or next to body of water
P3440,"meter signature, metre signature, measure signature",time signature
P1429,"pet, owns pet, keeps pet",has pet
P3938,"coined by, namer",named by
P6087,"trainer of sports team, manager of sports team, coach of sports team, club manager of sports team, team manager of sports team, senior coach of sports team, trainer of, manager of, coach of, club manager of, team manager of, senior coach of, head coach of, goalie coach of, co-manager of, coach of sports club",coach of sports team
P3082,"structures destroyed, were destroyed",destroyed
P1591,"respondant, accused",defendant
P642,"scope, in, in the scope of, within the scope of, in scope of, within scope of, applies to, for, of or for or applies to, applicable to, applicable for, used for",of
P1703,"pollination by, pollinator",is pollinated by
P2743,coordinate name,this zoological name is coordinate with
P2321,GC,general classification of race participants
P2579,"science, that studies, domain, researched by, researched in, studied in, in branch of science",studied by
P371,"host, hostess, TV presenter, TV host, presented by, hosted by",presenter
P9901,"issuing agent (work), issuing agency of work, issuing agency (work), issued by, work issued by, issuing body (work), issuing body of work, house publication of, house organ of, house journal of, organ of, official organ of, official publication of, official journal of",issuing agent of work
P184,"advisor, doctoral supervisor, supervisor, PhD advisor, promotor, doctoral student of, PhD supervisor",doctoral advisor
P3858,"RDT, Wikimedia RDT, route template",route diagram
P2852,emergency telephone number,emergency phone number
P834,"railway depot, depot, rail yard",train depot
P9899,"created for, music for, music made for, music for work, is music for work, music written for, music composed for, music written for work, music composed for work, composed for, composed for work, music made for work",music created for
P2682,"Backside, (opposite side to the front side - recto)",is verso of
P1039,"kinship, relationship (kinship), type of relationship, nature of kinship, type of kinship, object has role",kinship to subject
P660,Enzyme Commission classification name,EC enzyme classification
P3096,"KML, Keyhole Markup Language file",KML file
P1321,"lieu d'origine, Heimatort, Bürgerort, luogo d'origine",place of origin (Switzerland)
P4345,"director of excavations, excavation director",director of archaeological fieldwork
P8203,"supported attributes, data stored",supported metadata
P6185,"is a tautomer of, tautomeric with, tautomer",tautomer of
P9700,"river delta of, delta source",delta of
P5004,"opposes, opposed, protests against, protested against, opposition to",in opposition to
P9597,"lens, has lens, Fresnel",type of lens
P2869,"world record, olympic record",record or record progression
P2512,"spin-offs, has spin-off, television series spin-off, television series spinoff, TV spin-off, TV spinoff, TV series spin-off, TV series spinoff, series spinoff",series spin-off
P725,"voice dubber, dubbed by, VO, voiced by, CV, VA, voice actress, voice actors, voice actresses, seiyu, vocal role as",voice actor
P6962,motif,narrative motif
P1620,"claimant, pursuer, litigant",plaintiff
P460,"same as, the same as, equivalent to, equivalent of, is the same as, is said to be the same as, similar to, close to, same, see also, conspecific with, said to be equal to, equal to, could be equal to, may be equal to, could be, may be, said to be same as",said to be the same as
P6840,student organisation of,student organization of
P397,"parent body, orbits, star, planetary system, primary",parent astronomical body
P2366,agnomen,Roman agnomen
P459,"determined by, method, methodology, method of determination, standard, rationale, justification, measured by",determination method
P1299,"portrayed by, played by, acted by, appears in, depicted in",depicted by
P3989,"member occupation, occupation of members, member profession, profession of members, members have profession, group of, consists of, organization of, organization for, organisation of, organisation for, members are",members have occupation
P7959,"ancient or geographic county, traditional county, located in historic UK county, located in historic county of Ireland",historic county
P462,"colour, colors, colours, has color, has colour, pigment, dye, has the colour, has the color, of the color, of the colour, with the colour, with the color",color
P749,"parent organisation, owned by (company or organisation), holding, holding company, part of, parent unit, parent agency, superior formation, owned by (company or organization), subsidiary of, parent company",parent organization
P6534,"rear suspension, suspension (rear)",type of rear suspension
P2976,"patronym, matronym",patronym or matronym for this name
P5314,scope,property scope
P241,"branch, formation, service branch, unit branch",military branch
P1791,"category for place of burial, category for people buried here, buried here: Wikimedia category for, category for burials",category of people buried here
P1064,gauge,track gauge
P1891,"signed by, ratified by, signatories, first signatories",signatory
P360,"main topic of list, list of, main article of list, lists",is a list of
P2842,"location of marriage, marriage location, married at, married in, wedding location, wed at",place of marriage
P3174,artistic director,art director
P734,"last name, surname",family name
P2429,"completeness, expected level of completion",expected completeness
P4552,"range, located in mountain range, parent range, mountain system, located on mountain range, system of mountains, hill range, mountain belt",mountain range
P421,"timezone, time zone, TZ",located in time zone
P548,"release type, software version type",version type
P10019,"closest concept in higher taxon, equivalent in higher taxon, term in larger group, term in higher-order taxon, equivalent in larger group, term in higher taxon, subclass of higher-taxon concept",term in higher taxon
P2739,"font, typeface, is sample of, lettering",typeface/font used
P2302,"constraint, rdfs:domain, rdfs:range",property constraint
P410,"rank, naval rank",military rank
P3335,"hazard on site, hazardousness",associated hazard
P1269,"aspect of, subitem of, topic of, subtopic of, main topic, subject in, section in",facet of
P1640,"has curator, keeper, curation authority, biocurator, digital curator, curated by",curator
P366,"function, role, mission, purpose, utility, used for, used in, usage, used as, as, unit mission, use",has use
P1046,detection method,discovery method
P1441,"from work, from narrative, featured in work, in work, in narrative, appears in, is shown in, appeared in, appears in work, character in",present in work
P942,theme song,theme music
P9969,"artist catalog, artist catalogue",catalogue raisonné
P8571,"statutory auditor, auditor, external",external auditor
P2989,"has case, cases",has grammatical case
P1427,"flight origin, start location, from, journey start, journey origin, launch location, launch site, launch pad, start place",start point
P279,"rdfs:subClassOf, hyponym of, has superclass, is also a, subtype of, is a subtype of, subcategory of, is a category of, is thereby also a, is necessarily also a, whose instances are among, whose instances ⊆ those of, ⊆, ⊂, is a type of, is a class of, subset of, type of, form of, sc, way of",subclass of
P676,"lyricist, words by, writer (of song lyrics), author",lyrics by
P7078,"type system, typing",typing discipline
P1672,"this taxon is the source of, this taxon is a source of, has natural product, produces natural product, produces, secretes, natural product",this taxon is source of
P3701,"reincarnation of, avatar of",incarnation of
P3438,"drives this car, automobile used, motorcycle driven by subject, cars normally used, trains normally used",vehicle normally used
P9600,"oral histories at, oral history in collection at, oral history in collection of, oral history held by",oral history at
P2702,format,dataset distribution
P514,interbedded with,interleaves with
P826,"musical key, key of musical composition, in key, key used, written in key, musical tonality",tonality
P8872,"lineage marker, has       lineage marker",has marker
P1652,umpire,referee
P4224,is set of,category contains
